data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,4853.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-4037.0
2015-03-31,T1,3.03,Resultado Bruto,816.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-39014.0
2015-03-31,T1,3.04.01,Despesas com Vendas,0.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-20446.0
2015-03-31,T1,3.04.02.01,Despesas com Geologia e Geofísica,-76.0
2015-03-31,T1,3.04.02.02,Despesas com Pessoal,-6698.0
2015-03-31,T1,3.04.02.03,Despesas Gerais e Administrativas,-6445.0
2015-03-31,T1,3.04.02.04,Despesas com Serviços de Terceiros,-5812.0
2015-03-31,T1,3.04.02.05,Impostos e Taxas,-601.0
2015-03-31,T1,3.04.02.06,Despesa de Depreciação,-814.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,-18568.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,0.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-38198.0
2015-03-31,T1,3.06,Resultado Financeiro,-15804.0
2015-03-31,T1,3.06.01,Receitas Financeiras,59949.0
2015-03-31,T1,3.06.02,Despesas Financeiras,-75753.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,-54002.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,463.0
2015-03-31,T1,3.08.01,Corrente,-882.0
2015-03-31,T1,3.08.02,Diferido,1345.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,-53539.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,-53539.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,-53539.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,-1.799724
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-03-31,T1,3.99.02.01,ON,-1.799724
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,96808.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-116241.0
2015-06-30,T2,3.03,Resultado Bruto,-19433.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,13167.0
2015-06-30,T2,3.04.01,Despesas com Vendas,0.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-19857.0
2015-06-30,T2,3.04.02.01,Despesas com Geologia e Geofísica,-170.0
2015-06-30,T2,3.04.02.02,Despesas com Pessoal,-5910.0
2015-06-30,T2,3.04.02.03,Despesas Gerais e Administrativas,-2540.0
2015-06-30,T2,3.04.02.04,Despesas com Serviços de Terceiros,-9555.0
2015-06-30,T2,3.04.02.05,Impostos e Taxas,-825.0
2015-06-30,T2,3.04.02.06,Despesa de Depreciação,-857.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,18416.0
2015-06-30,T2,3.04.03.01,Reversão de impairment em ativo não circulante mantido para venda,18416.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,14608.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,0.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-6266.0
2015-06-30,T2,3.06,Resultado Financeiro,-12127.0
2015-06-30,T2,3.06.01,Receitas Financeiras,55127.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-67254.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,-18393.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,2158.0
2015-06-30,T2,3.08.01,Corrente,866.0
2015-06-30,T2,3.08.02,Diferido,1292.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,-16235.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,-16235.0
2015-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,-16235.0
2015-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2015-06-30,T2,3.99.01.01,ON,-0.546
2015-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2015-06-30,T2,3.99.02.01,ON,-0.546
2015-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,127941.0
2015-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-156809.0
2015-09-30,T3,3.03,Resultado Bruto,-28868.0
2015-09-30,T3,3.04,Despesas/Receitas Operacionais,-2912.0
2015-09-30,T3,3.04.01,Despesas com Vendas,0.0
2015-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-15987.0
2015-09-30,T3,3.04.02.01,Despesas com Geologia e Geofísica,-1064.0
2015-09-30,T3,3.04.02.02,Despesas com Pessoal,-4513.0
2015-09-30,T3,3.04.02.03,Despesas Gerais e Administrativas,-1683.0
2015-09-30,T3,3.04.02.04,Despesas com Serviços de Terceiros,-7000.0
2015-09-30,T3,3.04.02.05,Impostos e Taxas,-916.0
2015-09-30,T3,3.04.02.06,Despesa de Depreciação,-811.0
2015-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-18416.0
2015-09-30,T3,3.04.03.01,Reversão de impairment em ativo não circulante mantido para venda,-18416.0
2015-09-30,T3,3.04.04,Outras Receitas Operacionais,31491.0
2015-09-30,T3,3.04.05,Outras Despesas Operacionais,0.0
2015-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-31780.0
2015-09-30,T3,3.06,Resultado Financeiro,29111.0
2015-09-30,T3,3.06.01,Receitas Financeiras,162810.0
2015-09-30,T3,3.06.02,Despesas Financeiras,-133699.0
2015-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,-2669.0
2015-09-30,T3,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,2690.0
2015-09-30,T3,3.08.01,Corrente,-6.0
2015-09-30,T3,3.08.02,Diferido,2696.0
2015-09-30,T3,3.09,Resultado Líquido das Operações Continuadas,21.0
2015-09-30,T3,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-09-30,T3,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-09-30,T3,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-09-30,T3,3.11,Lucro/Prejuízo Consolidado do Período,21.0
2015-09-30,T3,3.11.01,Atribuído a Sócios da Empresa Controladora,35.0
2015-09-30,T3,3.11.02,Atribuído a Sócios Não Controladores,-14.0
2015-09-30,T3,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-09-30,T3,3.99.01,Lucro Básico por Ação,0.0
2015-09-30,T3,3.99.01.01,ON,0.001159278
2015-09-30,T3,3.99.02,Lucro Diluído por Ação,0.0
2015-09-30,T3,3.99.02.01,ON,0.001159278
2016-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,41509.0
2016-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-66577.0
2016-03-31,T1,3.03,Resultado Bruto,-25068.0
2016-03-31,T1,3.04,Despesas/Receitas Operacionais,-17740.0
2016-03-31,T1,3.04.01,Despesas com Vendas,0.0
2016-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-15572.0
2016-03-31,T1,3.04.02.01,Despesas com Geologia e Geofísica,-178.0
2016-03-31,T1,3.04.02.02,Despesas com Pessoal,-5903.0
2016-03-31,T1,3.04.02.03,Despesas Gerais e Administrativas,-2262.0
2016-03-31,T1,3.04.02.04,Despesas com Serviços de Terceiros,-6550.0
2016-03-31,T1,3.04.02.05,Impostos e Taxas,-352.0
2016-03-31,T1,3.04.02.06,Despesa de Depreciação,-327.0
2016-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-03-31,T1,3.04.04,Outras Receitas Operacionais,-2168.0
2016-03-31,T1,3.04.05,Outras Despesas Operacionais,0.0
2016-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2016-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-42808.0
2016-03-31,T1,3.06,Resultado Financeiro,-22219.0
2016-03-31,T1,3.06.01,Receitas Financeiras,89896.0
2016-03-31,T1,3.06.02,Despesas Financeiras,-112115.0
2016-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,-65027.0
2016-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-360.0
2016-03-31,T1,3.08.01,Corrente,0.0
2016-03-31,T1,3.08.02,Diferido,-360.0
2016-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,-65387.0
2016-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
