cd_conta,conta,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,121565.000,117040.000,140695.000,173054.000,182406.000,192752.000,200024.000,198706.000,207986.000,224864.000,242316.000,239903.000,239541.000,366641.000,345657.000,328500.000,336630.000,337385.000,351897.000,358453.000,374377.000,410440.000,475059.000,598258.000,619939.000,762751.000,726263.000,724061.000,837004.000,872201.000,914999.000,1192938.000,1229162.000,1413379.000,1429335.000,1555688.000
2.01,Passivo Circulante,63213.000,56569.000,70156.000,75589.000,89663.000,106524.000,101471.000,108174.000,114810.000,131132.000,92451.000,101252.000,95180.000,70044.000,69380.000,68301.000,66608.000,74266.000,91576.000,104317.000,106361.000,127042.000,170646.000,202843.000,259122.000,289881.000,238720.000,247400.000,277072.000,257940.000,264726.000,395917.000,546806.000,406194.000,391239.000,385309.000
2.01.01,Obrigações Sociais e Trabalhistas,12771.000,14027.000,17213.000,27149.000,21510.000,26582.000,36642.000,34914.000,28385.000,31788.000,35377.000,34811.000,24967.000,21521.000,21683.000,21661.000,17778.000,23144.000,33303.000,41306.000,32982.000,40932.000,55515.000,71069.000,69116.000,74887.000,82899.000,97465.000,78670.000,75311.000,77802.000,119224.000,100936.000,110759.000,110951.000,118566.000
2.01.02,Fornecedores,5113.000,2432.000,2062.000,6477.000,9632.000,11537.000,9585.000,9888.000,13246.000,14953.000,12713.000,12764.000,9761.000,8681.000,6606.000,7124.000,11478.000,12157.000,12457.000,13559.000,17250.000,18095.000,26499.000,29798.000,33383.000,36383.000,33689.000,29052.000,38577.000,20957.000,21204.000,60039.000,44567.000,38515.000,37830.000,33220.000
2.01.03,Obrigações Fiscais,3191.000,3466.000,3518.000,5497.000,4050.000,4518.000,3969.000,3500.000,4281.000,4743.000,4553.000,4466.000,4615.000,4585.000,6672.000,4106.000,4321.000,4420.000,4753.000,4978.000,4580.000,7843.000,12641.000,17911.000,16216.000,14864.000,15293.000,13934.000,17007.000,9752.000,13350.000,27543.000,16443.000,14651.000,14657.000,14533.000
2.01.04,Empréstimos e Financiamentos,14751.000,12010.000,22747.000,28186.000,43774.000,53759.000,43836.000,46112.000,53735.000,58322.000,14408.000,13815.000,21968.000,23944.000,29629.000,28405.000,27424.000,27208.000,30997.000,31542.000,35207.000,35917.000,42216.000,44870.000,40208.000,45125.000,53584.000,65484.000,82146.000,95950.000,99514.000,103406.000,273175.000,133736.000,128139.000,116419.000
2.01.05,Outras Obrigações,27387.000,24634.000,24616.000,8280.000,10697.000,8445.000,4773.000,11573.000,11990.000,16179.000,22253.000,29890.000,26640.000,4390.000,338.000,3536.000,1352.000,1466.000,1663.000,2127.000,6569.000,11829.000,21128.000,26020.000,84575.000,98919.000,33140.000,19363.000,31373.000,29922.000,32030.000,61972.000,81802.000,78712.000,84381.000,88385.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,1683.000,2666.000,2187.000,3173.000,5147.000,3147.000,5506.000,7229.000,6923.000,4452.000,3469.000,4255.000,5871.000,8403.000,10805.000,9773.000,12426.000,12647.000,13175.000,15624.000,19703.000,20115.000,22102.000,29299.000,26048.000,20826.000,23733.000,29883.000,29821.000,15281.000,14186.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,2562.000,2294.000,13535.000,34656.000,37969.000,30999.000,36686.000,29857.000,27047.000,28108.000,86949.000,78678.000,69752.000,61206.000,58108.000,50536.000,44436.000,38564.000,31843.000,23668.000,38936.000,48629.000,52771.000,103833.000,139055.000,243550.000,248156.000,234640.000,321228.000,287662.000,330477.000,449391.000,327706.000,647084.000,679063.000,655316.000
2.02.01,Empréstimos e Financiamentos,1928.000,882.000,12069.000,20403.000,21702.000,13952.000,16906.000,16338.000,13902.000,17393.000,77832.000,72901.000,64062.000,55691.000,49047.000,42790.000,36715.000,30007.000,23276.000,16927.000,31847.000,40481.000,43345.000,93124.000,117005.000,213438.000,222085.000,207066.000,291823.000,264536.000,301811.000,350229.000,215333.000,538413.000,601997.000,577396.000
2.02.02,Outras Obrigações,0.000,180.000,177.000,6593.000,8680.000,10851.000,14512.000,8444.000,8351.000,5664.000,3618.000,450.000,432.000,419.000,4224.000,2924.000,3628.000,4449.000,4399.000,2824.000,2816.000,3817.000,4948.000,5232.000,16344.000,23605.000,19481.000,20487.000,20452.000,13423.000,20316.000,91542.000,104881.000,101299.000,69294.000,70392.000
2.02.03,Tributos Diferidos,0.000,0.000,0.000,2479.000,2098.000,680.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.04,Provisões,634.000,1232.000,1289.000,5181.000,5489.000,5516.000,5268.000,5075.000,4794.000,5051.000,5499.000,5327.000,5258.000,5096.000,4837.000,4822.000,4093.000,4108.000,4168.000,3917.000,4273.000,4331.000,4478.000,5477.000,5706.000,6507.000,6590.000,7087.000,8953.000,9703.000,8350.000,7620.000,7492.000,7372.000,7772.000,7528.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,55790.000,58177.000,57004.000,62809.000,54774.000,55229.000,61867.000,60675.000,66129.000,65624.000,62916.000,59973.000,74609.000,235391.000,218169.000,209663.000,225586.000,224555.000,228478.000,230468.000,229080.000,234769.000,251642.000,291582.000,221762.000,229320.000,239387.000,242021.000,238704.000,326599.000,319796.000,347630.000,354650.000,360101.000,359033.000,515063.000
2.03.01,Capital Social Realizado,41861.000,41861.000,41861.000,41861.000,41867.000,41867.000,53367.000,53367.000,53367.000,53367.000,53367.000,53367.000,73367.000,230879.000,230774.000,233049.000,233146.000,233146.000,233451.000,233451.000,233451.000,233681.000,233681.000,233681.000,233681.000,233681.000,233681.000,233681.000,233681.000,318397.000,318378.000,318378.000,318284.000,318284.000,318284.000,468278.000
2.03.02,Reservas de Capital,1555.000,1734.000,1914.000,2096.000,2298.000,2298.000,2298.000,2298.000,2298.000,2298.000,2298.000,2298.000,2298.000,2298.000,2298.000,8104.000,8104.000,8104.000,5518.000,3728.000,1523.000,1523.000,-1199.000,-3874.000,-3874.000,-3874.000,-3874.000,-3874.000,-3874.000,-3874.000,-3874.000,18356.000,19790.000,21224.000,21799.000,23110.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,14328.000,14264.000,14264.000,14264.000,2453.000,2453.000,2453.000,2453.000,5494.000,5494.000,4772.000,4772.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7452.000,7452.000,7452.000,7452.000,18102.000,18102.000,18102.000,18102.000,28549.000,28549.000,28549.000,28549.000,36289.000,36289.000,36289.000,36289.000
2.03.05,Lucros/Prejuízos Acumulados,-1954.000,318.000,-1035.000,-4235.000,0.000,1154.000,-2616.000,-3368.000,0.000,128.000,-1163.000,-3155.000,-1337.000,2707.000,-13977.000,-18901.000,-3473.000,-4185.000,1952.000,5857.000,0.000,5188.000,12586.000,33403.000,0.000,7070.000,13419.000,12896.000,0.000,1571.000,-3428.000,-1281.000,0.000,1803.000,-289.000,-3383.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-11278.000,-12090.000,-12090.000,-12090.000,-12090.000,-12090.000,-12090.000,-12090.000,-12090.000,-31058.000,-33621.000,-32365.000,-32365.000,-33621.000,-33621.000,-33621.000,-33621.000,-33621.000,-33621.000,-35772.000,-33621.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1256.000,-1256.000,-1256.000,-1256.000,-1256.000,0.000,-1256.000,-1256.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-486.000
2.03.09,Participação dos Acionistas Não Controladores,0.000,0.000,0.000,8823.000,8156.000,7457.000,6365.000,5925.000,4970.000,4337.000,3642.000,2691.000,281.000,-493.000,-926.000,-1311.000,-101.000,-420.000,-353.000,-478.000,0.000,271.000,12468.000,34266.000,6167.000,7962.000,11680.000,14837.000,13969.000,15577.000,13792.000,17249.000,13908.000,16122.000,18722.000,24876.000
