data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,22597135.0
2015-03-31,T1,1.01,Ativo Circulante,16505333.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,1251911.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,6487847.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,6487847.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,5654720.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,833127.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.01.03,Contas a Receber,6698528.0
2015-03-31,T1,1.01.03.01,Clientes,6698528.0
2015-03-31,T1,1.01.03.01.01,Prêmios a receber de segurados,2945346.0
2015-03-31,T1,1.01.03.01.02,Operações de crédito,1058474.0
2015-03-31,T1,1.01.03.01.03,Títulos e créditos a receber,2644776.0
2015-03-31,T1,1.01.03.01.04,Recebíveis de prestação de serviços,49932.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.01.04,Estoques,0.0
2015-03-31,T1,1.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,51563.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,51563.0
2015-03-31,T1,1.01.06.01.01,Impostos e contribuições a recuperar,51563.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,2015484.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,2015484.0
2015-03-31,T1,1.01.08.03.01,Bens à Venda,199568.0
2015-03-31,T1,1.01.08.03.02,Ativos de resseguro,85192.0
2015-03-31,T1,1.01.08.03.03,Custos de aquisição diferidos,1115351.0
2015-03-31,T1,1.01.08.03.04,Outros Ativos,615373.0
2015-03-31,T1,1.02,Ativo Não Circulante,6091802.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,3184485.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,2107126.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,911.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,2106215.0
2015-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.02.01.03,Contas a Receber,265848.0
2015-03-31,T1,1.02.01.03.01,Clientes,265074.0
2015-03-31,T1,1.02.01.03.02,Outras Contas a Receber,774.0
2015-03-31,T1,1.02.01.04,Estoques,0.0
2015-03-31,T1,1.02.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.02.01.06,Tributos Diferidos,430707.0
2015-03-31,T1,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,424428.0
2015-03-31,T1,1.02.01.06.02,Impostos e contribuições a recuperar,6279.0
2015-03-31,T1,1.02.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.02.01.08,Créditos com Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.08.01,Créditos com Coligadas,0.0
2015-03-31,T1,1.02.01.08.03,Créditos com Controladores,0.0
2015-03-31,T1,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.09,Outros Ativos Não Circulantes,380804.0
2015-03-31,T1,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.02.01.09.03,Ativos de Resseguro,708.0
2015-03-31,T1,1.02.01.09.04,Custos de aquisição diferidos,6492.0
