cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Prêmios Retidos,0.0,3650453.0,3876377.0,7930352.0,3976009.0,3896293.0,4113864.0,4148400.0,4025801.0,4103341.0,4270999.0,4493961.0,4341394.0,4416005.0,4444943.0,4619616.0,4333812.0,4326673.0,4562842.0,4857365.0,4461369.0,4173016.0,4767324.0,5218251.0,4800704.0,4901965.0,5536432.0,5986532.0,5833141.0,6722303.0,7493275.0,7675022.0,7610291.0,7878984.0,8306273.0,8599529.0,8669719.0,8983730.0,9339120.0,8250897.0,9705869.0,10047836.0,10487450.0
3.02,Sinistros Ocorridos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.03,Resultado Bruto (Margem),0.0,3650453.0,3876377.0,7930352.0,3976009.0,3896293.0,4113864.0,4148400.0,4025801.0,4103341.0,4270999.0,4493961.0,4341394.0,4416005.0,4444943.0,4619616.0,4333812.0,4326673.0,4562842.0,4857365.0,4461369.0,4173016.0,4767324.0,5218251.0,4800704.0,4901965.0,5536432.0,5986532.0,5833141.0,6722303.0,7493275.0,7675022.0,7610291.0,7878984.0,8306273.0,8599529.0,8669719.0,8983730.0,9339120.0,8250897.0,9705869.0,10047836.0,10487450.0
3.04.01,Custos de Aquisição (Vendas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.02,Despesas Administrativas,0.0,-794693.0,-826932.0,-1642543.0,-816587.0,-837810.0,-833067.0,-905490.0,-834128.0,-883674.0,-918615.0,-952912.0,-755576.0,-850706.0,-806385.0,-923757.0,-894690.0,-934857.0,-855023.0,-972520.0,-868567.0,-1006824.0,-892923.0,-1026275.0,-983319.0,-1039566.0,-1118654.0,-1077636.0,-967073.0,-1101652.0,-1169251.0,-1357379.0,-1280588.0,-1430180.0,-1430808.0,-1501315.0,-1513489.0,-1547748.0,-1643990.0,-1686383.0,-1705760.0,-1791407.0,-1855331.0
3.05,Resultado Operacional (EBIT),0.0,154736.0,49074.0,138746.0,47909.0,-5074.0,67719.0,8952.0,61427.0,64032.0,101735.0,174750.0,242783.0,351826.0,343201.0,302342.0,218226.0,264607.0,250500.0,254621.0,379180.0,490483.0,543748.0,270745.0,302111.0,620038.0,161747.0,163144.0,93352.0,65049.0,103825.0,445271.0,422088.0,610845.0,875399.0,898359.0,758624.0,771078.0,819167.0,750617.0,836945.0,820410.0,795869.0
3.06,Resultado Financeiro,0.0,281290.0,210226.0,578059.0,352838.0,310856.0,284191.0,270621.0,305859.0,197328.0,473572.0,153983.0,235803.0,168063.0,224551.0,297510.0,271072.0,246172.0,252291.0,269567.0,-1537.0,497671.0,125063.0,299875.0,193706.0,174078.0,-37060.0,137987.0,149770.0,88990.0,159886.0,205667.0,176501.0,305127.0,70110.0,184602.0,273944.0,115208.0,208625.0,247303.0,412034.0,412452.0,401182.0
3.07,Equivalência Patrimonial,0.0,436026.0,259300.0,716805.0,400747.0,305782.0,351910.0,279573.0,367286.0,261360.0,575307.0,328733.0,478586.0,519889.0,567752.0,599852.0,489298.0,510779.0,502791.0,524188.0,377643.0,988154.0,668811.0,570620.0,495817.0,794116.0,124687.0,301131.0,243122.0,154039.0,263711.0,650938.0,598589.0,915972.0,945509.0,1082961.0,1032568.0,886286.0,1027792.0,997920.0,1248979.0,1232862.0,1197051.0
3.08,Lucro Antes Impostos (LAIR),0.0,436026.0,259300.0,716805.0,400747.0,305782.0,351910.0,279573.0,367286.0,261360.0,575307.0,328733.0,478586.0,519889.0,567752.0,599852.0,489298.0,510779.0,502791.0,524188.0,377643.0,988154.0,668811.0,570620.0,495817.0,794116.0,124687.0,301131.0,243122.0,154039.0,263711.0,650938.0,598589.0,915972.0,945509.0,1082961.0,1032568.0,886286.0,1027792.0,997920.0,1248979.0,1232862.0,1197051.0
3.11,Lucro Líquido,0.0,273266.0,204453.0,520623.0,237408.0,171596.0,201569.0,300773.0,213449.0,234866.0,382431.0,267492.0,275849.0,332951.0,315869.0,384708.0,297508.0,377529.0,333167.0,370905.0,226533.0,654817.0,399592.0,407274.0,294671.0,656664.0,60098.0,532830.0,175105.0,131455.0,276482.0,569248.0,355476.0,693354.0,570281.0,695746.0,661634.0,594814.0,750915.0,683419.0,845446.0,889710.0,842650.0
