cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Prêmios Ganhos,0.0,3650453.0,3876377.0,7930352.0,3976009.0,3896293.0,4113864.0,4148400.0,4025801.0,4103341.0,4270999.0,4493961.0,4341394.0,4416005.0,4444943.0,4619616.0,4333812.0,4326673.0,4562842.0,4857365.0,4461369.0,4173016.0,4767324.0,5218251.0,4800704.0,4901965.0,5536432.0,5986532.0,5833141.0,6722303.0,7493275.0,7675022.0,7610291.0,7878984.0,8306273.0,8599529.0,8669719.0,8983730.0,9339120.0,8250897.0,9705869.0,10047836.0,10487450.0
3.01.01,Prêmios Emitidos,0.0,3168571.0,3425229.0,6973832.0,3495736.0,3406060.0,3604110.0,3593199.0,3463476.0,3540202.0,3708623.0,3868708.0,3706316.0,3777032.0,3824704.0,3963275.0,3709621.0,3690373.0,3928403.0,4141970.0,3743944.0,3488561.0,4095325.0,4477121.0,4035714.0,4042972.0,4632149.0,5001235.0,4797062.0,5425250.0,6200792.0,6305747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.01.04,Variação das Provisões Técnicas,0.0,-9020.0,-38965.0,-41059.0,-18741.0,229378.0,245245.0,500747.0,256441.0,267858.0,274749.0,285248.0,279170.0,282775.0,262493.0,267983.0,252783.0,254541.0,255228.0,266663.0,274526.0,263618.0,283183.0,313078.0,316865.0,324453.0,334678.0,333723.0,351446.0,555197.0,543732.0,522823.0,655737.0,673675.0,643066.0,674170.0,709435.0,766353.0,779542.0,828786.0,872837.0,874666.0,910356.0
3.02,Sinistros Retidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.03,Custos de Aquisição,0.0,3650453.0,3876377.0,7930352.0,3976009.0,3896293.0,4113864.0,4148400.0,4025801.0,4103341.0,4270999.0,4493961.0,4341394.0,4416005.0,4444943.0,4619616.0,4333812.0,4326673.0,4562842.0,4857365.0,4461369.0,4173016.0,4767324.0,5218251.0,4800704.0,4901965.0,5536432.0,5986532.0,5833141.0,6722303.0,7493275.0,7675022.0,7610291.0,7878984.0,8306273.0,8599529.0,8669719.0,8983730.0,9339120.0,8250897.0,9705869.0,10047836.0,10487450.0
3.04,Despesas Administrativas,0.0,-3495717.0,-3827303.0,-7791606.0,-3928100.0,-3901367.0,-4046145.0,-4139448.0,-3964374.0,-4039309.0,-4169264.0,-4319211.0,-4098611.0,-4064179.0,-4101742.0,-4317274.0,-4115586.0,-4062066.0,-4312342.0,-4602744.0,-4082189.0,-3682533.0,-4223576.0,-4947506.0,-4498593.0,-4281927.0,-5374685.0,-5823388.0,-5739789.0,-6657254.0,-7389450.0,-7229751.0,-7188203.0,-7268139.0,-7430874.0,-7701170.0,-7911095.0,-8212652.0,-8519953.0,-7500280.0,-8868924.0,-9227426.0,-9691581.0
3.05,Despesas com Tributos,0.0,154736.0,49074.0,138746.0,47909.0,-5074.0,67719.0,8952.0,61427.0,64032.0,101735.0,174750.0,242783.0,351826.0,343201.0,302342.0,218226.0,264607.0,250500.0,254621.0,379180.0,490483.0,543748.0,270745.0,302111.0,620038.0,161747.0,163144.0,93352.0,65049.0,103825.0,445271.0,422088.0,610845.0,875399.0,898359.0,758624.0,771078.0,819167.0,750617.0,836945.0,820410.0,795869.0
3.06,Resultado Financeiro,0.0,281290.0,210226.0,578059.0,352838.0,310856.0,284191.0,270621.0,305859.0,197328.0,473572.0,153983.0,235803.0,168063.0,224551.0,297510.0,271072.0,246172.0,252291.0,269567.0,-1537.0,497671.0,125063.0,299875.0,193706.0,174078.0,-37060.0,137987.0,149770.0,88990.0,159886.0,205667.0,176501.0,305127.0,70110.0,184602.0,273944.0,115208.0,208625.0,247303.0,412034.0,412452.0,401182.0
3.07,Resultado Operacional,0.0,436026.0,259300.0,716805.0,400747.0,305782.0,351910.0,279573.0,367286.0,261360.0,575307.0,328733.0,478586.0,519889.0,567752.0,599852.0,489298.0,510779.0,502791.0,524188.0,377643.0,988154.0,668811.0,570620.0,495817.0,794116.0,124687.0,301131.0,243122.0,154039.0,263711.0,650938.0,598589.0,915972.0,945509.0,1082961.0,1032568.0,886286.0,1027792.0,997920.0,1248979.0,1232862.0,1197051.0
3.08,Resultado Antes dos Tributos sobre o Lucro,0.0,-162760.0,-54847.0,-196182.0,-163339.0,-134186.0,-150341.0,21200.0,-153837.0,-26494.0,-192876.0,-61241.0,-202737.0,-186938.0,-251883.0,-215144.0,-191790.0,-133250.0,-169624.0,-153283.0,-151110.0,-333337.0,-269219.0,-163346.0,-201146.0,-137452.0,-64589.0,231699.0,-68017.0,-22584.0,12771.0,-81690.0,-243113.0,-222618.0,-375228.0,-387215.0,-370934.0,-291472.0,-276877.0,-314501.0,-403533.0,-343152.0,-354401.0
