cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,567422.000,588796.000,572033.000,579969.000,575502.000,579481.000,635131.000,664108.000,695321.000,747398.000,835542.000,903592.000,904908.000,907441.000,946804.000,1034174.000,1132348.000,1260450.000,1177139.000,1240964.000,1351893.000,1329592.000,1356772.000,1332718.000,1237360.000,1249505.000,1253835.000,1265778.000,1252008.000,1257954.000,1685217.000,1604126.000,1622155.000,1750625.000,1753028.000,1822286.000,1836292.000,2039745.000,1966315.000,2023353.000,2034288.000,1996073.000,1975018.000,2223585.000,2157347.000,2083970.000,2219926.000,2263209.000,2479770.000,2751985.000,3058120.000,3035534.000,3296008.000,3253681.000,3329250.000,3245858.000,3346770.000,3611335.000,3625763.000,3567099.000
1.01,Ativo Circulante,214527.000,234306.000,216404.000,229996.000,215923.000,214400.000,261135.000,286185.000,328230.000,360814.000,393201.000,448051.000,433732.000,412043.000,439532.000,477192.000,497839.000,585354.000,473782.000,531220.000,639604.000,608388.000,630160.000,625071.000,535369.000,543226.000,547021.000,538914.000,522623.000,511204.000,710067.000,623427.000,563867.000,656778.000,612907.000,872190.000,854556.000,956947.000,847857.000,887703.000,916703.000,876402.000,851685.000,1043809.000,906131.000,989211.000,1026505.000,1035469.000,1103098.000,1264635.000,1290932.000,1191138.000,1331755.000,1233935.000,1174279.000,1112935.000,1016380.000,1347152.000,1258454.000,1266473.000
1.01.01,Caixa e Equivalentes de Caixa,12802.000,30736.000,13423.000,10080.000,10065.000,6987.000,23276.000,15609.000,58870.000,67097.000,73347.000,120444.000,57677.000,24330.000,56234.000,78636.000,92383.000,137503.000,27133.000,51174.000,87664.000,89493.000,91116.000,159123.000,105745.000,118662.000,98389.000,87230.000,94379.000,65099.000,234307.000,132199.000,82624.000,151166.000,54221.000,329372.000,275378.000,324782.000,282076.000,289229.000,326325.000,242893.000,174192.000,332911.000,189718.000,224219.000,190606.000,134185.000,256088.000,389746.000,409032.000,325731.000,486472.000,324996.000,233549.000,180983.000,79440.000,412042.000,286666.000,247131.000
1.01.02,Aplicações Financeiras,1120.000,929.000,953.000,267.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100478.000,82466.000,85260.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5340.000
1.01.03,Contas a Receber,101491.000,95592.000,103734.000,118557.000,107867.000,112132.000,117722.000,147571.000,142678.000,145830.000,166513.000,164325.000,163801.000,163214.000,177627.000,196544.000,187918.000,206659.000,210198.000,240664.000,208367.000,198947.000,217557.000,229488.000,215379.000,205252.000,227126.000,232120.000,218412.000,225585.000,246649.000,257615.000,239463.000,229761.000,251324.000,249823.000,251773.000,243240.000,219941.000,307655.000,289090.000,320140.000,343392.000,379410.000,375624.000,358149.000,412889.000,426652.000,314507.000,315599.000,314648.000,312785.000,269041.000,282503.000,287334.000,287709.000,282050.000,262853.000,278692.000,296347.000
1.01.04,Estoques,93745.000,99593.000,89268.000,84787.000,90553.000,88628.000,109855.000,114544.000,120045.000,133156.000,137701.000,147184.000,177847.000,201447.000,190030.000,184355.000,192292.000,195773.000,199494.000,197433.000,205291.000,202728.000,207665.000,199520.000,185880.000,186649.000,181939.000,175919.000,179323.000,189706.000,200419.000,206212.000,213791.000,237238.000,248777.000,236266.000,243413.000,285884.000,254744.000,217040.000,204562.000,218327.000,224946.000,250965.000,285364.000,325813.000,370076.000,418664.000,455038.000,469243.000,474983.000,467928.000,489041.000,525865.000,544818.000,536114.000,559645.000,570601.000,584527.000,608751.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,2154.000,4109.000,4488.000,8535.000,2682.000,2023.000,2355.000,1957.000,2064.000,2514.000,2568.000,3053.000,17883.000,11978.000,7265.000,7362.000,15648.000,16887.000,21913.000,18975.000,22775.000,19237.000,15606.000,24549.000,19079.000,13015.000,24379.000,20112.000,15922.000,10371.000,10559.000,9833.000,10201.000,10337.000,30069.000,29752.000,52172.000,50513.000,55531.000,42836.000,77822.000,72162.000,80137.000,52947.000,27454.000,10945.000,11418.000,20180.000,37533.000,32315.000,42156.000,39539.000,31798.000,34568.000,41980.000,46525.000,35674.000,41426.000,48571.000,55264.000
1.01.07,Despesas Antecipadas,193.000,689.000,757.000,817.000,491.000,1776.000,1692.000,1126.000,0.000,2764.000,0.000,0.000,0.000,0.000,0.000,0.000,1535.000,0.000,0.000,4313.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1598.000,6983.000,6405.000,4821.000,3487.000,12664.000,10199.000,6869.000,4164.000,3058.000,3911.000,5058.000,5447.000,4988.000,5659.000,8232.000,13811.000,28298.000,16643.000,16252.000,17488.000,31934.000,36946.000,34571.000,39011.000,39018.000,34012.000,33864.000
1.01.08,Outros Ativos Circulantes,3022.000,2658.000,3781.000,6953.000,4265.000,2854.000,6235.000,5378.000,4573.000,9453.000,13072.000,13045.000,16524.000,11074.000,8376.000,10295.000,8063.000,28532.000,15044.000,18661.000,15029.000,15517.000,12956.000,12391.000,9286.000,19648.000,15188.000,23533.000,14587.000,20443.000,18133.000,17568.000,16190.000,21293.000,22111.000,22156.000,28333.000,39864.000,25366.000,24074.000,14740.000,19822.000,25107.000,22518.000,22524.000,65097.000,35857.000,27556.000,26121.000,29434.000,33470.000,28903.000,37915.000,34069.000,29652.000,27033.000,20560.000,21212.000,25986.000,19776.000
