# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-17 20:15:24
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2010,3.01,511415.000,511415.000,0.000,0.000,OK
2010,3.02,-347971.000,-347971.000,0.000,0.000,OK
2010,3.03,163444.000,163444.000,0.000,0.000,OK
2010,3.04,-94055.000,-94055.000,0.000,0.000,OK
2010,3.04.02,-16985.000,-16985.000,0.000,0.000,OK
2010,3.04.05,-16561.000,-16561.000,0.000,0.000,OK
2010,3.04.05.02,-1358.000,-1358.000,0.000,0.000,OK
2010,3.04.06,0.000,0.000,0.000,0.000,OK
2010,3.05,69389.000,69389.000,0.000,0.000,OK
2010,3.06,-25991.000,-25991.000,0.000,0.000,OK
2010,3.06.01,15706.000,15706.000,0.000,0.000,OK
2010,3.06.02,-41697.000,-41697.000,0.000,0.000,OK
2010,3.07,43398.000,43398.000,0.000,0.000,OK
2010,3.08,-2669.000,-2669.000,0.000,0.000,OK
2010,3.09,40729.000,40729.000,0.000,0.000,OK
2010,3.10,-8425.000,-8425.000,0.000,0.000,OK
2010,3.11,32304.000,32304.000,0.000,0.000,OK
2010,3.11.01,32295.000,32295.000,0.000,0.000,OK
2010,3.11.02,9.000,9.000,0.000,0.000,OK
2011,3.01,586806.000,586806.000,0.000,0.000,OK
2011,3.02,-400653.000,-400653.000,0.000,0.000,OK
2011,3.03,186153.000,186153.000,0.000,0.000,OK
2011,3.04,-119804.000,-119804.000,0.000,0.000,OK
2011,3.04.02,-18675.000,-18675.000,0.000,0.000,OK
2011,3.04.05,-15031.000,-15031.000,0.000,0.000,OK
2011,3.04.05.02,0.000,0.000,0.000,0.000,OK
2011,3.04.06,0.000,0.000,0.000,0.000,OK
2011,3.05,66349.000,66349.000,0.000,0.000,OK
2011,3.06,-29247.000,-29247.000,0.000,0.000,OK
2011,3.06.01,18369.000,18369.000,0.000,0.000,OK
2011,3.06.02,-47616.000,-47616.000,0.000,0.000,OK
2011,3.07,37102.000,37102.000,0.000,0.000,OK
2011,3.08,-12164.000,-12164.000,0.000,0.000,OK
2011,3.09,24938.000,24938.000,0.000,0.000,OK
2011,3.10,-548.000,-548.000,0.000,0.000,OK
2011,3.11,24390.000,24390.000,0.000,0.000,OK
2011,3.11.01,24381.000,24381.000,0.000,0.000,OK
2011,3.11.02,9.000,9.000,0.000,0.000,OK
2012,3.01,706471.000,706471.000,0.000,0.000,OK
2012,3.02,-456052.000,-456052.000,0.000,0.000,OK
2012,3.03,250419.000,250419.000,0.000,0.000,OK
