data_fim,trimestre,cd_conta,ds_conta,valor_mil
2017-12-31,T4,2,Passivo Total,93042.0
2017-12-31,T4,2.01,Passivo Circulante,36588.0
2017-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,2039.0
2017-12-31,T4,2.01.01.01,Obrigações Sociais,2039.0
2017-12-31,T4,2.01.01.02,Obrigações Trabalhistas,0.0
2017-12-31,T4,2.01.02,Fornecedores,9892.0
2017-12-31,T4,2.01.02.01,Fornecedores Nacionais,9892.0
2017-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2017-12-31,T4,2.01.03,Obrigações Fiscais,470.0
2017-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,470.0
2017-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,470.0
2017-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2017-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2017-12-31,T4,2.01.04,Empréstimos e Financiamentos,13269.0
2017-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,13269.0
2017-12-31,T4,2.01.04.01.01,Em Moeda Nacional,13269.0
2017-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2017-12-31,T4,2.01.04.02,Debêntures,0.0
2017-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2017-12-31,T4,2.01.05,Outras Obrigações,9015.0
2017-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2017-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2017-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2017-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2017-12-31,T4,2.01.05.02,Outros,9015.0
2017-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,1794.0
2017-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2017-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2017-12-31,T4,2.01.05.02.04,Outras Contas a Pagar,1882.0
2017-12-31,T4,2.01.05.02.05,Adiantamento de Clientes,2867.0
2017-12-31,T4,2.01.05.02.06,Obrigações Tributárias,1594.0
2017-12-31,T4,2.01.05.02.07,Receitas Antecipadas,878.0
2017-12-31,T4,2.01.06,Provisões,1903.0
2017-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,1903.0
2017-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2017-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2017-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2017-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2017-12-31,T4,2.01.06.01.05,Provisões Diversas,1903.0
