cd_conta,conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,96515.0,100648.0,114159.0,108922.0,102871.0,124634.0,130240.0,125660.0,131989.0,127204.0,134963.0,138880.0,138733.0,135515.0,167262.0,176650.0,179043.0,202712.0,215248.0,221901.0,225961.0,225500.0,255965.0,248087.0,239799.0,269409.0,284913.0,298099.0,282425.0,260712.0,283981.0
2.01,Passivo Circulante,32091.0,36271.0,42290.0,37464.0,32867.0,40806.0,46822.0,46654.0,53866.0,50393.0,54584.0,54116.0,56173.0,49885.0,65606.0,74150.0,64379.0,76086.0,87615.0,97152.0,96695.0,90988.0,95545.0,105745.0,100533.0,115490.0,115074.0,121775.0,109829.0,95190.0,107576.0
2.01.01,Obrigações Sociais e Trabalhistas,2055.0,2456.0,2924.0,2443.0,2343.0,2821.0,3410.0,2908.0,2537.0,2510.0,3222.0,2402.0,2890.0,3437.0,4097.0,4241.0,4713.0,5595.0,6404.0,5495.0,5834.0,6819.0,7767.0,6542.0,7753.0,7780.0,8811.0,7627.0,8133.0,9045.0,10613.0
2.01.02,Fornecedores,7110.0,7466.0,13090.0,11943.0,7762.0,11398.0,14151.0,11927.0,12771.0,6278.0,10056.0,12499.0,11304.0,9655.0,14526.0,17944.0,18272.0,20144.0,20597.0,18380.0,16228.0,21861.0,21507.0,18782.0,18208.0,23166.0,25418.0,26239.0,22588.0,24426.0,34169.0
2.01.03,Obrigações Fiscais,1271.0,1912.0,1139.0,0.0,0.0,1636.0,1862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.04,Empréstimos e Financiamentos,13678.0,17432.0,17064.0,13765.0,13841.0,16992.0,16405.0,19074.0,27449.0,27881.0,27415.0,24181.0,29451.0,23742.0,30535.0,30154.0,25806.0,34629.0,36924.0,32945.0,37377.0,30916.0,36106.0,40211.0,46304.0,53749.0,37817.0,46751.0,48556.0,38019.0,36221.0
2.01.05,Outras Obrigações,6927.0,5917.0,6826.0,7411.0,6283.0,4899.0,7413.0,8699.0,8212.0,11039.0,11665.0,11481.0,10000.0,9778.0,12723.0,18163.0,12152.0,11513.0,18646.0,34228.0,33304.0,26541.0,24875.0,31285.0,24259.0,25587.0,37467.0,32579.0,23827.0,19605.0,20854.0
2.01.06,Provisões,1050.0,1088.0,1247.0,1902.0,2638.0,3060.0,3581.0,4046.0,2897.0,2685.0,2226.0,3553.0,2528.0,3273.0,3725.0,3648.0,3436.0,4205.0,5044.0,6104.0,3952.0,4851.0,5290.0,8925.0,4009.0,5208.0,5561.0,8579.0,6725.0,4095.0,5719.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,17599.0,17577.0,32111.0,30276.0,29200.0,41965.0,39109.0,31922.0,31313.0,31586.0,34199.0,35825.0,32067.0,32082.0,36943.0,38616.0,49066.0,58021.0,52101.0,47243.0,46629.0,47893.0,63766.0,64712.0,56586.0,67635.0,74871.0,74758.0,66954.0,61648.0,63296.0
2.02.01,Empréstimos e Financiamentos,15772.0,15699.0,30153.0,28293.0,26414.0,39152.0,36306.0,31442.0,28655.0,31705.0,32129.0,34311.0,30136.0,30306.0,30192.0,31365.0,42728.0,51910.0,46847.0,41790.0,40450.0,43396.0,59612.0,61538.0,53655.0,64094.0,70834.0,71090.0,63574.0,56627.0,58318.0
2.02.02,Outras Obrigações,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,231.0,231.0,185.0,774.0,711.0,727.0,562.0,1458.0,1716.0,1416.0,1398.0,1115.0,850.0,605.0,803.0,675.0,583.0,2002.0,1818.0
2.02.03,Tributos Diferidos,0.0,0.0,1035.0,0.0,0.0,1956.0,1971.0,-322.0,1856.0,-915.0,1323.0,635.0,968.0,803.0,4269.0,3899.0,2935.0,2589.0,1897.0,994.0,1675.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,785.0,839.0,923.0,1983.0,853.0,857.0,832.0,802.0,802.0,796.0,747.0,765.0,732.0,742.0,2297.0,2578.0,2692.0,2795.0,2795.0,3001.0,2788.0,2854.0,2756.0,2059.0,2081.0,2936.0,3234.0,2993.0,2797.0,3019.0,3160.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,1042.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,1933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
