data_fim,trimestre,cd_conta,ds_conta,valor_mil
2011-12-31,T4,2,Passivo Total,3168308.0
2011-12-31,T4,2.01,Passivo Circulante,791232.0
2011-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,92460.0
2011-12-31,T4,2.01.01.01,Obrigações Sociais,16553.0
2011-12-31,T4,2.01.01.02,Obrigações Trabalhistas,75907.0
2011-12-31,T4,2.01.02,Fornecedores,536399.0
2011-12-31,T4,2.01.02.01,Fornecedores Nacionais,536399.0
2011-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2011-12-31,T4,2.01.03,Obrigações Fiscais,30035.0
2011-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,11496.0
2011-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,865.0
2011-12-31,T4,2.01.03.01.02,Outras Obrigações Fiscais Federais,10631.0
2011-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,17332.0
2011-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,1207.0
2011-12-31,T4,2.01.04,Empréstimos e Financiamentos,50325.0
2011-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,50325.0
2011-12-31,T4,2.01.04.01.01,Em Moeda Nacional,50325.0
2011-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2011-12-31,T4,2.01.04.02,Debêntures,0.0
2011-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2011-12-31,T4,2.01.05,Outras Obrigações,72935.0
2011-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2011-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2011-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2011-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2011-12-31,T4,2.01.05.02,Outros,72935.0
2011-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,3662.0
2011-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2011-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2011-12-31,T4,2.01.05.02.04,Aluguéis,12815.0
2011-12-31,T4,2.01.05.02.05,Luvas Comerciais,699.0
2011-12-31,T4,2.01.05.02.06,Demais Contas a Pagar,55759.0
2011-12-31,T4,2.01.06,Provisões,9078.0
2011-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,1730.0
2011-12-31,T4,2.01.06.01.01,Provisões Fiscais,93.0
2011-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2011-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2011-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2011-12-31,T4,2.01.06.01.05,Provisões para Demandas Judiciais,1637.0
2011-12-31,T4,2.01.06.02,Outras Provisões,7348.0
2011-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2011-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2011-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2011-12-31,T4,2.01.06.02.04,Provisões p/Campanhas Internas,1180.0
2011-12-31,T4,2.01.06.02.05,Provisões p/Despesas Extraordinárias,708.0
2011-12-31,T4,2.01.06.02.06,Provisões p/Obrigações Diversas,5460.0
2011-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2011-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2011-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2011-12-31,T4,2.02,Passivo Não Circulante,175902.0
2011-12-31,T4,2.02.01,Empréstimos e Financiamentos,111985.0
2011-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,111985.0
2011-12-31,T4,2.02.01.01.01,Em Moeda Nacional,111985.0
2011-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,0.0
2011-12-31,T4,2.02.01.02,Debêntures,0.0
2011-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0
2011-12-31,T4,2.02.02,Outras Obrigações,8930.0
2011-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2011-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2011-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2011-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2011-12-31,T4,2.02.02.02,Outros,8930.0
2011-12-31,T4,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2011-12-31,T4,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0
2011-12-31,T4,2.02.02.02.03,Outras,8930.0
2011-12-31,T4,2.02.03,Tributos Diferidos,51715.0
2011-12-31,T4,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,51715.0
2011-12-31,T4,2.02.04,Provisões,3272.0
2011-12-31,T4,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,3272.0
2011-12-31,T4,2.02.04.01.01,Provisões Fiscais,0.0
2011-12-31,T4,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2011-12-31,T4,2.02.04.01.03,Provisões para Benefícios a Empregados,0.0
2011-12-31,T4,2.02.04.01.04,Provisões Cíveis,0.0
2011-12-31,T4,2.02.04.01.05,Provisões para Demandas Judiciais,3272.0
2011-12-31,T4,2.02.04.02,Outras Provisões,0.0
2011-12-31,T4,2.02.04.02.01,Provisões para Garantias,0.0
2011-12-31,T4,2.02.04.02.02,Provisões para Reestruturação,0.0
2011-12-31,T4,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2011-12-31,T4,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2011-12-31,T4,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2011-12-31,T4,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2011-12-31,T4,2.02.06,Lucros e Receitas a Apropriar,0.0
2011-12-31,T4,2.02.06.01,Lucros a Apropriar,0.0
2011-12-31,T4,2.02.06.02,Receitas a Apropriar,0.0
2011-12-31,T4,2.02.06.03,Subvenções de Investimento a Apropriar,0.0
2011-12-31,T4,2.03,Patrimônio Líquido Consolidado,2201174.0
2011-12-31,T4,2.03.01,Capital Social Realizado,908639.0
2011-12-31,T4,2.03.02,Reservas de Capital,1039935.0
2011-12-31,T4,2.03.02.01,Ágio na Emissão de Ações,0.0
2011-12-31,T4,2.03.02.02,Reserva Especial de Ágio na Incorporação,0.0
2011-12-31,T4,2.03.02.03,Alienação de Bônus de Subscrição,0.0
2011-12-31,T4,2.03.02.04,Opções Outorgadas,0.0
2011-12-31,T4,2.03.02.05,Ações em Tesouraria,0.0
2011-12-31,T4,2.03.02.06,Adiantamento para Futuro Aumento de Capital,0.0
2011-12-31,T4,2.03.03,Reservas de Reavaliação,13325.0
2011-12-31,T4,2.03.04,Reservas de Lucros,239275.0
2011-12-31,T4,2.03.04.01,Reserva Legal,14375.0
2011-12-31,T4,2.03.04.02,Reserva Estatutária,215162.0
2011-12-31,T4,2.03.04.03,Reserva para Contingências,0.0
2011-12-31,T4,2.03.04.04,Reserva de Lucros a Realizar,0.0
2011-12-31,T4,2.03.04.05,Reserva de Retenção de Lucros,0.0
2011-12-31,T4,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2011-12-31,T4,2.03.04.07,Reserva de Incentivos Fiscais,0.0
2011-12-31,T4,2.03.04.08,Dividendo Adicional Proposto,9738.0
