cd_conta,ds_conta,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,2729392.000,2729392.000,2729392.000,2729392.000,1237074.000,1323432.000,1396211.000,1424011.000,1388442.000,1538969.000,1625537.000,1679971.000,2582205.750,3484440.500,4386675.250,5288910.000,6191144.750,7093379.500,7995614.250,8897849.000,2515427.000,2783211.000,2900930.000,3056997.000,3057110.000,3237259.000,3416840.000,3501296.000,3433578.000,3613988.000,3756814.000,3997065.000,3953351.000,4225493.000,4601641.000,4785115.000,4949871.000,4469774.000,5093453.000,5553742.000,5620051.000,5868264.000,6164862.000,6473825.000,6562510.000,7178761.000,7489866.000,7836243.000,7931346.000,8442315.000,8675809.000,8924320.000,9100494.000,9687220.000,9989122.000,10094686.000,10051010.000,10831043.000,11264916.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-2011471.000,-2011471.000,-2011471.000,-2011471.000,-911508.000,-936510.000,-1015727.000,-1024334.000,-1007501.000,-1115931.000,-1173752.000,-1215559.000,-1836525.250,-2457491.500,-3078457.750,-3699424.000,-4320390.250,-4941356.500,-5562322.750,-6183289.000,-1758487.000,-1858386.000,-2000895.000,-2134654.000,-2135486.000,-2237538.000,-2396444.000,-2455037.000,-2406819.000,-2509789.000,-2640038.000,-2799277.000,-2791688.000,-2936209.000,-3265229.000,-3374113.000,-3508021.000,-3149652.000,-3598455.000,-3919580.000,-3978199.000,-4071213.000,-4349401.000,-4522021.000,-4634073.000,-4860664.000,-5265093.000,-5498082.000,-5609603.000,-5832248.000,-6085664.000,-6238911.000,-6441230.000,-6755221.000,-7018210.000,-7100080.000,-7167745.000,-7630157.000,-7949110.000
3.03,Resultado Bruto,717921.000,717921.000,717921.000,717921.000,325566.000,386922.000,380484.000,399677.000,380941.000,423038.000,451785.000,464412.000,745680.500,1026949.000,1308217.500,1589486.000,1870754.500,2152023.000,2433291.500,2714560.000,756940.000,924825.000,900035.000,922343.000,921624.000,999721.000,1020396.000,1046259.000,1026759.000,1104199.000,1116776.000,1197788.000,1161663.000,1289284.000,1336412.000,1411002.000,1441850.000,1320122.000,1494998.000,1634162.000,1641852.000,1797051.000,1815461.000,1951804.000,1928437.000,2318097.000,2224773.000,2338161.000,2321743.000,2610067.000,2590145.000,2685409.000,2659264.000,2931999.000,2970912.000,2994606.000,2883265.000,3200886.000,3315806.000
3.04,Despesas/Receitas Operacionais,-638364.000,-638364.000,-638364.000,-638364.000,-301351.000,-319778.000,-334694.000,-376202.000,-356540.000,-366704.000,-422376.000,-424722.000,-648343.875,-871965.750,-1095587.625,-1319209.500,-1542831.375,-1766453.250,-1990075.125,-2213697.000,-627031.000,-686624.000,-716529.000,-768421.000,-757288.000,-780145.000,-810693.000,-847290.000,-850612.000,-894059.000,-930546.000,-1048795.000,-1005292.000,-1053232.000,-844482.000,-1176886.000,-1200024.000,-1197994.000,-1216027.000,-1361103.000,-1323758.000,-1363631.000,-1493186.000,-1659121.000,-1652642.000,-1672490.000,-1765685.000,-1879327.000,-1889060.000,-1967088.000,-2060006.000,-2210721.000,-2131682.000,-2277963.000,-2291911.000,-2503119.000,-2403359.000,-2483721.000,-2464589.000
3.04.02,Despesas Gerais e Administrativas,-143898.000,-143898.000,-143898.000,-143898.000,-71011.000,-75406.000,-69953.000,-79407.000,-79717.000,-79959.000,-85914.000,-89609.000,-136256.125,-182903.250,-229550.375,-276197.500,-322844.625,-369491.750,-416138.875,-462786.000,-125398.000,-139781.000,-145106.000,-161878.000,-155986.000,-163245.000,-168293.000,-179054.000,-175772.000,-183552.000,-99552.000,56308.000,-112336.000,-118746.000,-140577.000,-161734.000,-153223.000,-165514.000,-158053.000,-202530.000,-190493.000,-205760.000,-234713.000,-281438.000,-277239.000,-296302.000,-323104.000,-353202.000,-331766.000,-366796.000,-388125.000,-416839.000,-364330.000,-380789.000,-389501.000,-436008.000,-378137.000,-373416.000,-392492.000
3.04.05,Outras Despesas Operacionais,-30354.000,-30354.000,-30354.000,-30354.000,-6624.000,-2718.000,-3486.000,-21090.000,-10163.000,-8132.000,-14300.000,-14471.000,-13764.375,-13057.750,-12351.125,-11644.500,-10937.875,-10231.250,-9524.625,-8818.000,0.000,0.000,0.000,-7677.000,-2160.000,0.000,0.000,2372.000,0.000,-6240.000,-3502.000,-49806.000,-5205.000,-13116.000,-93257.000,-35414.000,-12458.000,-33216.000,-965.000,-22811.000,-1590.000,-6886.000,-2726.000,-26227.000,-1033.000,31505.000,11686.000,-5739.000,3219.000,2535.000,-4294.000,-167768.000,251.000,-9237.000,-79587.000,-39283.000,-57943.000,-9191.000,75555.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4316.000,-3551.000,-1515.000,-1486.000,180.000,1694.000,30.000,283.000,188.000,-1322.000,-2581.000,-829.000,-1909.000,-7190.000,340.000,-587.000,-213.000,1529.000,-1274.000,-434.000,1027.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,79557.000,79557.000,79557.000,79557.000,24215.000,67144.000,45790.000,23475.000,24401.000,56334.000,29409.000,39690.000,97336.625,154983.250,212629.875,270276.500,327923.125,385569.750,443216.375,500863.000,129909.000,238201.000,183506.000,153922.000,164336.000,219576.000,209703.000,198969.000,176147.000,210140.000,186230.000,148993.000,156371.000,236052.000,491930.000,234116.000,241826.000,122128.000,278971.000,273059.000,318094.000,433420.000,322275.000,292683.000,275795.000,645607.000,459088.000,458834.000,432683.000,642979.000,530139.000,474688.000,527582.000,654036.000,679001.000,491487.000,479906.000,717165.000,851217.000
3.06,Resultado Financeiro,11648.000,11648.000,11648.000,11648.000,1814.000,-1396.000,-1564.000,-1404.000,-3615.000,-3048.000,-2640.000,-1144.000,-9121.125,-17098.250,-25075.375,-33052.500,-41029.625,-49006.750,-56983.875,-64961.000,-17189.000,-24636.000,-30561.000,-37936.000,-29490.000,-29141.000,-28968.000,-18441.000,-16138.000,-25863.000,-26750.000,-13903.000,-55241.000,-59666.000,-68251.000,-151143.000,-74227.000,-72884.000,-76705.000,-75800.000,-72535.000,-82158.000,-96759.000,-127758.000,-135361.000,-157899.000,-186818.000,-166037.000,-229148.000,-226625.000,-228328.000,-179695.000,-247530.000,-238132.000,-238126.000,-209324.000,-279507.000,-317240.000,-306661.000
3.06.01,Receitas Financeiras,22447.000,22447.000,22447.000,22447.000,6691.000,3154.000,3086.000,3421.000,2010.000,1840.000,2183.000,3830.000,14449.500,25069.000,35688.500,46308.000,56927.500,67547.000,78166.500,88786.000,25705.000,23282.000,29281.000,31165.000,28219.000,28807.000,28231.000,21626.000,16467.000,18336.000,19468.000,17512.000,17654.000,15903.000,22097.000,21291.000,15859.000,14936.000,9786.000,13601.000,10712.000,13491.000,23015.000,32798.000,46762.000,66566.000,88287.000,91971.000,91421.000,100245.000,95160.000,141909.000,102545.000,105836.000,97337.000,138871.000,104456.000,134411.000,155948.000
3.06.02,Despesas Financeiras,-10799.000,-10799.000,-10799.000,-10799.000,-4877.000,-4550.000,-4650.000,-4825.000,-5625.000,-4888.000,-4823.000,-4974.000,-23570.625,-42167.250,-60763.875,-79360.500,-97957.125,-116553.750,-135150.375,-153747.000,-42894.000,-47918.000,-59842.000,-69101.000,-57709.000,-57948.000,-57199.000,-40067.000,-32605.000,-44199.000,-46218.000,-31415.000,-72895.000,-75569.000,-90348.000,-172434.000,-90086.000,-87820.000,-86491.000,-89401.000,-83247.000,-95649.000,-119774.000,-160556.000,-182123.000,-224465.000,-275105.000,-258008.000,-320569.000,-326870.000,-323488.000,-321604.000,-350075.000,-343968.000,-335463.000,-348195.000,-383963.000,-451651.000,-462609.000
3.07,Resultado Antes dos Tributos sobre o Lucro,91205.000,91205.000,91205.000,91205.000,26029.000,65748.000,44226.000,22071.000,20786.000,53286.000,26769.000,38546.000,88215.500,137885.000,187554.500,237224.000,286893.500,336563.000,386232.500,435902.000,112720.000,213565.000,152945.000,115986.000,134846.000,190435.000,180735.000,180528.000,160009.000,184277.000,159480.000,135090.000,101130.000,176386.000,423679.000,82973.000,167599.000,49244.000,202266.000,197259.000,245559.000,351262.000,225516.000,164925.000,140434.000,487708.000,272270.000,292797.000,203535.000,416354.000,301811.000,294993.000,280052.000,415904.000,440875.000,282163.000,200399.000,399925.000,544556.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-22509.000,-22509.000,-22509.000,-22509.000,-6643.000,-16415.000,-9497.000,-20664.000,-6507.000,-13016.000,-8151.000,-10728.000,-21401.625,-32075.250,-42748.875,-53422.500,-64096.125,-74769.750,-85443.375,-96117.000,-22589.000,-56498.000,-36062.000,-28815.000,-30844.000,-52465.000,-44242.000,-46340.000,-38721.000,-46621.000,-30643.000,-13558.000,-10651.000,-35641.000,38906.000,11953.000,-43563.000,-3027.000,-47249.000,-26996.000,-69330.000,-97480.000,-67037.000,10718.000,3475.000,-124221.000,-52294.000,-5201.000,-5517.000,-73273.000,-33666.000,-17094.000,-86751.000,-87232.000,-101756.000,68118.000,-35320.000,-16980.000,-82875.000
3.09,Resultado Líquido das Operações Continuadas,68696.000,68696.000,68696.000,68696.000,19386.000,49333.000,34729.000,1407.000,14279.000,40270.000,18618.000,27818.000,66813.875,105809.750,144805.625,183801.500,222797.375,261793.250,300789.125,339785.000,90131.000,157067.000,116883.000,87171.000,104002.000,137970.000,136493.000,134188.000,121288.000,137656.000,128837.000,121532.000,90479.000,140745.000,462585.000,94926.000,124036.000,46217.000,155017.000,170263.000,176229.000,253782.000,158479.000,175643.000,143909.000,363487.000,219976.000,287596.000,198018.000,343081.000,268145.000,277899.000,193301.000,328672.000,339119.000,350281.000,165079.000,382945.000,461681.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,68696.000,68696.000,68696.000,68696.000,19386.000,49333.000,34729.000,1407.000,14279.000,40270.000,18618.000,27818.000,66813.875,105809.750,144805.625,183801.500,222797.375,261793.250,300789.125,339785.000,90131.000,157067.000,116883.000,87171.000,104002.000,137970.000,136493.000,134188.000,121288.000,137656.000,128837.000,121532.000,90479.000,140745.000,462585.000,94926.000,124036.000,46217.000,155017.000,170263.000,176229.000,253782.000,158479.000,175643.000,143909.000,363487.000,219976.000,287596.000,198018.000,343081.000,268145.000,277899.000,193301.000,328672.000,339119.000,350281.000,165079.000,382945.000,461681.000
3.11.01,Atribuído a Sócios da Empresa Controladora,68696.000,68696.000,68696.000,68696.000,19386.000,49333.000,34729.000,1407.000,14279.000,40270.000,18618.000,27818.000,66866.500,105915.000,144963.500,184012.000,223060.500,262109.000,301157.500,340206.000,90001.000,155281.000,115844.000,86559.000,103856.000,137481.000,136060.000,133766.000,120954.000,136458.000,127947.000,117088.000,88503.000,138443.000,459341.000,85953.000,123320.000,44675.000,154725.000,161724.000,174296.000,252755.000,154532.000,170351.000,140640.000,354835.000,215409.000,285228.000,192260.000,338188.000,263685.000,260840.000,187814.000,326631.000,335016.000,350403.000,163967.000,374004.000,453972.000
