data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-03-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,100941193.0
2020-03-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-96101622.0
2020-03-31,T4,3.03,Resultado Bruto,4839571.0
2020-03-31,T4,3.04,Despesas/Receitas Operacionais,-1045537.0
2020-03-31,T4,3.04.01,Despesas com Vendas,-2252046.0
2020-03-31,T4,3.04.02,Despesas Gerais e Administrativas,-612683.0
2020-03-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2020-03-31,T4,3.04.04,Outras Receitas Operacionais,1813776.0
2020-03-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2020-03-31,T4,3.04.06,Resultado de Equivalência Patrimonial,5416.0
2020-03-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,3794034.0
2020-03-31,T4,3.06,Resultado Financeiro,-702560.0
2020-03-31,T4,3.06.01,Receitas Financeiras,3547514.0
2020-03-31,T4,3.06.01.01,Receitas financeiras,311438.0
2020-03-31,T4,3.06.01.02,"Variações cambiais, líquidas",0.0
2020-03-31,T4,3.06.01.03,Efeito líquido dos derivativos,3236076.0
2020-03-31,T4,3.06.02,Despesas Financeiras,-4250074.0
2020-03-31,T4,3.06.02.01,Despesas Financeiras,-838930.0
2020-03-31,T4,3.06.02.02,"Variações cambiais, líquidas",-3411144.0
2020-03-31,T4,3.06.02.03,Efeito líquido dos derivativos,0.0
2020-03-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,3091474.0
2020-03-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-990590.0
2020-03-31,T4,3.08.01,Corrente,-1080555.0
2020-03-31,T4,3.08.02,Diferido,89965.0
2020-03-31,T4,3.09,Resultado Líquido das Operações Continuadas,2100884.0
2020-03-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2020-03-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2020-03-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2020-03-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,2100884.0
2020-03-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,2056092.0
2020-03-31,T4,3.11.02,Atribuído a Sócios Não Controladores,44792.0
2020-03-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2020-03-31,T4,3.99.01,Lucro Básico por Ação,0.0
2020-03-31,T4,3.99.01.01,ON,1.24
2020-03-31,T4,3.99.02,Lucro Diluído por Ação,0.0
