cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1632347.0,1600600.0,1679614.0,1658591.0,1593178.0,1561751.0,1700296.0,1679951.0,1606154.0,1567649.0,1565982.0,1501839.0,1513906.0,1513421.0,1550085.0,1526664.0,1494508.0,1479451.0,1614747.0,1579546.0,1563835.0,1568964.0,1824428.0,1814117.0,1899665.0,1974864.0,2094360.0,2365300.0,2412537.0,2629642.0,2707188.0,3515338.0,3577859.0,3777363.0,3473583.0,3467066.0,3480534.0,3505715.0,3483185.0,3620637.0,3681575.0,3768111.0,3780942.0
1.01,Ativo Circulante,356694.0,299414.0,386745.0,377185.0,312743.0,329465.0,464104.0,444287.0,380343.0,333813.0,333907.0,345461.0,354364.0,350479.0,396501.0,386646.0,331453.0,315098.0,456557.0,503864.0,490402.0,504490.0,765603.0,771598.0,852135.0,841626.0,818868.0,958723.0,856468.0,924091.0,832233.0,1505181.0,1464032.0,1407326.0,1153546.0,1134869.0,1151281.0,1174045.0,1145828.0,1230009.0,1308974.0,1243755.0,1262957.0
1.01.01,Caixa e Equivalentes de Caixa,95309.0,58767.0,130449.0,125732.0,40751.0,46952.0,129096.0,103885.0,46942.0,27425.0,36947.0,76949.0,87180.0,88112.0,127245.0,132219.0,41962.0,30546.0,19003.0,80822.0,68719.0,108208.0,86424.0,54260.0,46406.0,34894.0,41720.0,30410.0,42974.0,37691.0,48397.0,735194.0,493889.0,368120.0,440770.0,484152.0,505444.0,599309.0,508948.0,604232.0,667138.0,613937.0,681453.0
1.01.02,Aplicações Financeiras,4272.0,1107.0,5506.0,19722.0,26735.0,15785.0,79384.0,94198.0,69275.0,43040.0,23416.0,8732.0,0.0,0.0,0.0,0.0,0.0,0.0,61728.0,29165.0,29869.0,0.0,290947.0,291972.0,353414.0,339711.0,321457.0,475858.0,366225.0,441706.0,350107.0,314014.0,539930.0,493835.0,97310.0,116829.0,102071.0,15049.0,77141.0,0.0,0.0,13168.0,0.0
1.01.03,Contas a Receber,149284.0,138440.0,147231.0,135854.0,147558.0,155168.0,156439.0,154227.0,172671.0,171061.0,177096.0,168124.0,169363.0,157994.0,174395.0,168705.0,187712.0,180715.0,180025.0,162252.0,184420.0,179639.0,179854.0,202470.0,235806.0,261345.0,278677.0,255345.0,259963.0,271559.0,263592.0,258472.0,252948.0,252318.0,268226.0,264092.0,268579.0,274193.0,280629.0,281757.0,313645.0,303610.0,298069.0
1.01.04,Estoques,66677.0,70042.0,71470.0,67219.0,67180.0,73601.0,78217.0,67051.0,64977.0,69106.0,69781.0,72152.0,74520.0,81000.0,78844.0,71859.0,81607.0,84756.0,77188.0,76845.0,77391.0,81602.0,80357.0,92977.0,95394.0,117627.0,109131.0,123058.0,116790.0,105226.0,108387.0,133758.0,135660.0,128101.0,119101.0,121525.0,127513.0,131011.0,132713.0,147851.0,134364.0,132485.0,135584.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,8820.0,10239.0,9543.0,9245.0,7402.0,4833.0,6176.0,5297.0,6695.0,5397.0,9109.0,5758.0,7542.0,8223.0,4422.0,5018.0,5961.0,6613.0,66084.0,79421.0,73632.0,73125.0,72417.0,73167.0,66259.0,37327.0,17164.0,20898.0,25682.0,22271.0,20059.0,28639.0,28999.0,150998.0,214357.0,137449.0,135364.0,129528.0,130415.0,183509.0,165868.0,171601.0,139830.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,32332.0,20819.0,22546.0,19413.0,23117.0,33126.0,14792.0,19629.0,19783.0,17784.0,17558.0,13746.0,15759.0,15150.0,11595.0,8845.0,14211.0,12468.0,52529.0,75359.0,56371.0,61916.0,55604.0,56752.0,54856.0,50722.0,50719.0,53154.0,44834.0,45638.0,41691.0,35104.0,12606.0,13954.0,13782.0,10822.0,12310.0,24955.0,15982.0,12660.0,27959.0,8954.0,8021.0
1.02,Ativo Não Circulante,1275653.0,1301186.0,1292869.0,1281406.0,1280435.0,1232286.0,1236192.0,1235664.0,1225811.0,1233836.0,1232075.0,1156378.0,1159542.0,1162942.0,1153584.0,1140018.0,1163055.0,1164353.0,1158190.0,1075682.0,1073433.0,1064474.0,1058825.0,1042519.0,1047530.0,1133238.0,1275492.0,1406577.0,1556069.0,1705551.0,1874955.0,2010157.0,2113827.0,2370037.0,2320037.0,2332197.0,2329253.0,2331670.0,2337357.0,2390628.0,2372601.0,2524356.0,2517985.0
1.02.01,Ativo Realizável a Longo Prazo,287417.0,312829.0,308482.0,290838.0,292836.0,248204.0,249158.0,254994.0,248767.0,259416.0,263061.0,200067.0,197863.0,198467.0,204764.0,196541.0,198083.0,196713.0,286448.0,235908.0,229866.0,226956.0,225025.0,210218.0,198540.0,213385.0,259522.0,264341.0,297364.0,325260.0,375488.0,427807.0,464363.0,621093.0,553050.0,571564.0,560899.0,557298.0,546431.0,579002.0,584079.0,701156.0,682208.0
1.02.02,Investimentos,4043.0,3999.0,3955.0,19137.0,19014.0,18892.0,18770.0,18644.0,18518.0,18391.0,18264.0,17470.0,17296.0,17170.0,17044.0,3398.0,3321.0,5693.0,5648.0,5575.0,5531.0,5488.0,5426.0,21541.0,21498.0,21454.0,21411.0,21367.0,21323.0,21279.0,18524.0,18524.0,18524.0,18490.0,18490.0,2432.0,2432.0,2432.0,2432.0,1459.0,1459.0,1459.0,1459.0
1.02.03,Imobilizado,871324.0,871762.0,868002.0,860410.0,857861.0,854737.0,854925.0,849124.0,846031.0,842912.0,837601.0,826218.0,827544.0,826993.0,807142.0,809353.0,824502.0,822680.0,726983.0,692210.0,695133.0,689014.0,686472.0,670022.0,687496.0,759753.0,857148.0,984530.0,1102004.0,1222440.0,1345634.0,1429789.0,1492917.0,1593190.0,1608659.0,1619021.0,1626356.0,1633937.0,1652268.0,1674750.0,1649807.0,1684628.0,1698629.0
1.02.04,Intangível,112869.0,112596.0,112430.0,111021.0,110724.0,110453.0,113339.0,112902.0,112495.0,113117.0,113149.0,112623.0,116839.0,120312.0,124634.0,130726.0,137149.0,139267.0,139111.0,141989.0,142903.0,143016.0,141902.0,140738.0,139996.0,138646.0,137411.0,136339.0,135378.0,136572.0,135309.0,134037.0,138023.0,137264.0,139838.0,139180.0,139566.0,138003.0,136226.0,135417.0,137256.0,137113.0,135689.0
