cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,182771.0,185276.0,196781.0,193930.0,191407.0,196314.0,195484.0,193590.0,195337.0,208859.0,224355.0,230618.0,225357.0,218835.0,248019.0,240606.0,231024.0,245056.0,238913.0,183786.0,236323.0,240984.0,261363.0,290935.0,356161.0,403137.0,432468.0,414068.0,407944.0,428907.0,441405.0,408410.0,406884.0,394470.0,407855.0,385036.0,383601.0,393459.0,426376.0,424034.0,423078.0,413774.0,433463.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-127423.0,-123798.0,-133186.0,-152480.0,-137088.0,-137920.0,-147450.0,-143570.0,-152602.0,-136919.0,-151864.0,-191887.0,-159900.0,-153026.0,-168641.0,-188135.0,-163226.0,-185258.0,-166151.0,-115744.0,-159002.0,-162060.0,-183550.0,-199677.0,-225803.0,-249441.0,-252571.0,-245995.0,-206998.0,-221745.0,-234214.0,-215637.0,-212192.0,-214700.0,-217310.0,-263445.0,-227587.0,-236356.0,-270412.0,-267669.0,-249163.0,-197813.0,-276098.0
3.03,Resultado Bruto,55348.0,61478.0,63595.0,41450.0,54319.0,58394.0,48034.0,50020.0,42735.0,71940.0,72491.0,38731.0,65457.0,65809.0,79378.0,52471.0,67798.0,59798.0,72762.0,68042.0,77321.0,78924.0,77813.0,91258.0,130358.0,153696.0,179897.0,168073.0,200946.0,207162.0,207191.0,192773.0,194692.0,179770.0,190545.0,121591.0,156014.0,157103.0,155964.0,156365.0,173915.0,215961.0,157365.0
3.04,Despesas/Receitas Operacionais,-30019.0,-31057.0,-32766.0,-34494.0,-35617.0,-30422.0,-32782.0,-40012.0,-32264.0,-47928.0,-45263.0,-94707.0,-41647.0,-34659.0,-28144.0,-40830.0,-36481.0,-39966.0,-35278.0,-48447.0,-38135.0,-38747.0,-34177.0,-48742.0,-40186.0,-45304.0,-53278.0,-57432.0,-44938.0,-65178.0,-53869.0,-64224.0,-58147.0,-87158.0,-63641.0,-73761.0,-72514.0,-66827.0,-70811.0,-97360.0,-68140.0,-46211.0,-62204.0
3.04.02,Despesas Gerais e Administrativas,-11492.0,-11842.0,-11451.0,-11630.0,-14426.0,-13392.0,-12926.0,-11898.0,-12806.0,-18746.0,-12992.0,-14200.0,-13058.0,-14032.0,-14337.0,-16886.0,-14417.0,-14739.0,-13103.0,-19646.0,-17087.0,-15920.0,-15943.0,-21710.0,-16977.0,-19022.0,-18482.0,-26613.0,-20653.0,-21178.0,-23339.0,-28799.0,-27608.0,-25852.0,-25308.0,-29578.0,-28856.0,-28359.0,-29791.0,-33792.0,-28909.0,-28103.0,-27559.0
3.04.05,Outras Despesas Operacionais,-775.0,-842.0,-1723.0,-2628.0,-3108.0,-53044.0,-469.0,-7403.0,-573.0,-6684.0,-11311.0,-92422.0,-7947.0,-1379.0,-8541.0,-2007.0,-845.0,-1508.0,-4830.0,-7183.0,0.0,0.0,0.0,0.0,0.0,0.0,-5147.0,-1395.0,0.0,-8911.0,0.0,-8911.0,0.0,0.0,-5295.0,-5295.0,-9571.0,-2508.0,-3944.0,-16023.0,-4684.0,0.0,-4745.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,25329.0,30421.0,30829.0,6956.0,18702.0,27972.0,15252.0,10008.0,10471.0,24012.0,27228.0,-55976.0,23810.0,31150.0,51234.0,11641.0,31317.0,19832.0,108040.0,45933.0,39186.0,40177.0,43636.0,42516.0,90172.0,108392.0,126619.0,110641.0,156008.0,141984.0,153322.0,128549.0,136545.0,266928.0,126904.0,21036.0,83500.0,90276.0,85153.0,59005.0,105775.0,169750.0,95161.0
3.06,Resultado Financeiro,-24435.0,-17518.0,-28502.0,-22118.0,-26075.0,-24926.0,-27691.0,-28354.0,-28903.0,-26328.0,-24324.0,-26751.0,-21565.0,-23824.0,-26758.0,-30065.0,-35801.0,-31574.0,-89434.0,-77838.0,-19586.0,-17206.0,-11303.0,-7506.0,-7003.0,-16549.0,-8828.0,-13231.0,-16420.0,-15853.0,-15055.0,-14175.0,-19178.0,36986.0,-35916.0,-27466.0,-28613.0,-29124.0,-28819.0,-23851.0,-30169.0,-37398.0,-33776.0
3.06.01,Receitas Financeiras,8217.0,8704.0,9530.0,8777.0,10752.0,12273.0,4824.0,12083.0,8356.0,5685.0,6849.0,1052.0,4943.0,6524.0,8746.0,6032.0,7057.0,3264.0,70737.0,3773.0,3296.0,6610.0,13877.0,4470.0,12889.0,3639.0,23794.0,12939.0,19789.0,19042.0,19978.0,44016.0,41159.0,99172.0,27170.0,25612.0,23058.0,24321.0,22840.0,35822.0,26329.0,32381.0,33332.0
3.06.02,Despesas Financeiras,-32652.0,-26222.0,-38032.0,-30895.0,-36827.0,-37199.0,-32515.0,-40437.0,-37259.0,-32013.0,-31173.0,-27803.0,-26508.0,-30348.0,-35504.0,-36097.0,-42858.0,-34838.0,-160171.0,-74065.0,-22882.0,-23816.0,-25180.0,-11976.0,-19892.0,-20188.0,-32622.0,-26170.0,-36209.0,-34895.0,-35033.0,-58191.0,-60337.0,-62186.0,-63086.0,-53078.0,-51671.0,-53445.0,-51659.0,-59673.0,-56498.0,-69779.0,-67108.0
