data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,35212.0
2015-12-31,T4,2.01,Passivo Circulante,77428.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,4383.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,4383.0
2015-12-31,T4,2.01.02,Fornecedores,5729.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,5729.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,35783.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,19890.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0
2015-12-31,T4,2.01.03.01.02,Obrigações Fiscais Federais ,7096.0
2015-12-31,T4,2.01.03.01.03,Parcelamento Lei 11.941 ,12794.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,13379.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,2514.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,12806.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,12806.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,12806.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.01.04.02,Debêntures,0.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,17909.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.02,Outros,17909.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Adiantamento a Clientes ,4628.0
2015-12-31,T4,2.01.05.02.06,Credores Plano de Parcelamento,10271.0
2015-12-31,T4,2.01.05.02.07,Honorários Administradores ,2162.0
2015-12-31,T4,2.01.05.02.08,Outras Contas a Pagar ,848.0
2015-12-31,T4,2.01.06,Provisões,818.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,818.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,818.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.01.06.02,Outras Provisões,0.0
2015-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2015-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,2.02,Passivo Não Circulante,61931.0
2015-12-31,T4,2.02.01,Empréstimos e Financiamentos,3356.0
2015-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,3356.0
2015-12-31,T4,2.02.01.01.01,Em Moeda Nacional,3356.0
2015-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.02.01.02,Debêntures,0.0
2015-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.02.02,Outras Obrigações,55023.0
2015-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.02,Outros,55023.0
