data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-2407.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,-16749.0
2015-12-31,T4,6.01.01.01,Resultado do Exercício,-17093.0
2015-12-31,T4,6.01.01.02,Depreciação e Amortização ,357.0
2015-12-31,T4,6.01.01.03,Resultado Na Venda de Ativo Permanente,0.0
2015-12-31,T4,6.01.01.05,Provisão para Contingências,0.0
2015-12-31,T4,6.01.01.06,Reversão de Provisões ,0.0
2015-12-31,T4,6.01.01.07,Participação de Não Controladores ,-13.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,11037.0
2015-12-31,T4,6.01.02.01,Variação de Clientes ,882.0
2015-12-31,T4,6.01.02.02,Variação de Estoques,372.0
2015-12-31,T4,6.01.02.03,Variação de Impostos a Recuperar Circulante ,-20.0
2015-12-31,T4,6.01.02.04,Variação Títulos a Receber ,0.0
2015-12-31,T4,6.01.02.05,Variação de Adiantamento a Fornecedores,227.0
2015-12-31,T4,6.01.02.06,Variação de Outros Ativos ,100.0
2015-12-31,T4,6.01.02.07,Variação de Impostos a Recuperar Não Circulante,0.0
2015-12-31,T4,6.01.02.08,Variação Depósitos Judiciais,0.0
2015-12-31,T4,6.01.02.09,Variação Outras Contas Não Circulante,0.0
2015-12-31,T4,6.01.02.10,Variação de Fornecedores,-263.0
2015-12-31,T4,6.01.02.11,Variação de Impostos e Contribuições,2517.0
2015-12-31,T4,6.01.02.12,Variação de Adiantamento de Clientes,535.0
2015-12-31,T4,6.01.02.13,Variação Credores por Produtos a Entregar,0.0
2015-12-31,T4,6.01.02.14,Variação Débitos Trabalhistas/Cíveis,1676.0
2015-12-31,T4,6.01.02.15,Variação de Honorários Administradores ,33.0
2015-12-31,T4,6.01.02.16,Variação da Lei 11.941 Circulante,0.0
2015-12-31,T4,6.01.02.17,Variação da Lei 12.996 Circulante,3435.0
2015-12-31,T4,6.01.02.18,Variação de Outros Passivos Circulante,21.0
2015-12-31,T4,6.01.02.19,Variação de Impostos e Contribuições Não Circulante ,0.0
2015-12-31,T4,6.01.02.20,Variação da Lei 11.941 e 12.996,1522.0
2015-12-31,T4,6.01.03,Outros,3305.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,0.0
2015-12-31,T4,6.02.01,Adições do Investimentos,0.0
2015-12-31,T4,6.02.02,Variação do Ativo Imobilizado,0.0
2015-12-31,T4,6.02.03,Variação de ativo intangivel ,0.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,2403.0
2015-12-31,T4,6.03.01,Adiantamento p/Aumento de Capital ,0.0
2015-12-31,T4,6.03.02,Integralização de Capital ,0.0
2015-12-31,T4,6.03.03,Variação Credores Plano de Recuperação,564.0
2015-12-31,T4,6.03.05,Variação Instituições Financeiras ,1839.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-4.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,4.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,0.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-38584.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,-26952.0
2016-12-31,T4,6.01.01.01,Resultado do Exercício,-29806.0
2016-12-31,T4,6.01.01.02,Depreciação e Amortização ,334.0
2016-12-31,T4,6.01.01.03,Resultado Na Venda de Ativo Permanente,0.0
2016-12-31,T4,6.01.01.05,Provisão para Contingências,2537.0
2016-12-31,T4,6.01.01.06,Reversão de Provisões ,0.0
2016-12-31,T4,6.01.01.07,Participação de Não Controladores ,-17.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-7472.0
2016-12-31,T4,6.01.02.01,Variação de Clientes ,0.0
2016-12-31,T4,6.01.02.02,Variação de Estoques,62.0
2016-12-31,T4,6.01.02.03,Variação de Impostos a Recuperar Circulante ,-18.0
2016-12-31,T4,6.01.02.04,Variação Títulos a Receber ,0.0
2016-12-31,T4,6.01.02.05,Variação de Adiantamento a Fornecedores,0.0
2016-12-31,T4,6.01.02.06,Variação de Outros Ativos ,212.0
2016-12-31,T4,6.01.02.07,Variação de Impostos a Recuperar Não Circulante,0.0
2016-12-31,T4,6.01.02.08,Variação Depósitos Judiciais,0.0
2016-12-31,T4,6.01.02.09,Variação Outras Contas Não Circulante,-13360.0
2016-12-31,T4,6.01.02.10,Variação de Fornecedores,-205.0
2016-12-31,T4,6.01.02.11,Variação de Impostos e Contribuições,1884.0
2016-12-31,T4,6.01.02.12,Variação de Adiantamento de Clientes,-1763.0
2016-12-31,T4,6.01.02.13,Variação Credores por Produtos a Entregar,0.0
2016-12-31,T4,6.01.02.14,Variação Débitos Trabalhistas/Cíveis,1417.0
2016-12-31,T4,6.01.02.15,Variação de Honorários Administradores ,-1720.0
2016-12-31,T4,6.01.02.16,Variação da Lei 11.941 Circulante,0.0
2016-12-31,T4,6.01.02.17,Variação da Lei 12.996 Circulante,2908.0
2016-12-31,T4,6.01.02.18,Variação de Outros Passivos Circulante,317.0
2016-12-31,T4,6.01.02.19,Variação de Impostos e Contribuições Não Circulante ,0.0
2016-12-31,T4,6.01.02.20,Variação da Lei 11.941 e 12.996,2794.0
2016-12-31,T4,6.01.03,Outros,-4160.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,0.0
2016-12-31,T4,6.02.01,Adições do Investimentos,0.0
2016-12-31,T4,6.02.02,Variação do Ativo Imobilizado,0.0
2016-12-31,T4,6.02.03,Variação de ativo intangivel ,0.0
2016-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,38586.0
2016-12-31,T4,6.03.01,Adiantamento p/Aumento de Capital ,52498.0
2016-12-31,T4,6.03.02,Integralização de Capital ,0.0
2016-12-31,T4,6.03.03,Variação Credores Plano de Recuperação,-3970.0
2016-12-31,T4,6.03.05,Variação Instituições Financeiras ,-9942.0
2016-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2016-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,2.0
2016-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,0.0
2016-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,2.0
2017-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-20365.0
2017-12-31,T4,6.01.01,Caixa Gerado nas Operações,-67735.0
2017-12-31,T4,6.01.01.01,Resultado do Exercício,-36900.0
2017-12-31,T4,6.01.01.02,Depreciação e Amortização ,319.0
2017-12-31,T4,6.01.01.03,Resultado Na Venda de Ativo Permanente,-28606.0
2017-12-31,T4,6.01.01.05,Provisão para Contingências,-2537.0
2017-12-31,T4,6.01.01.06,Reversão de Provisões ,0.0
2017-12-31,T4,6.01.01.07,Participação de Não Controladores ,-11.0
2017-12-31,T4,6.01.02,Variações nos Ativos e Passivos,19657.0
2017-12-31,T4,6.01.02.01,Variação de Clientes ,0.0
2017-12-31,T4,6.01.02.02,Variação de Estoques,-17.0
2017-12-31,T4,6.01.02.03,Variação de Impostos a Recuperar Circulante ,17.0
2017-12-31,T4,6.01.02.04,Variação Títulos a Receber ,0.0
2017-12-31,T4,6.01.02.05,Variação de Adiantamento a Fornecedores,0.0
2017-12-31,T4,6.01.02.06,Variação de Outros Ativos ,360.0
2017-12-31,T4,6.01.02.07,Variação de Impostos a Recuperar Não Circulante,0.0
2017-12-31,T4,6.01.02.08,Variação Depósitos Judiciais,1.0
2017-12-31,T4,6.01.02.09,Variação Outras Contas Não Circulante,19969.0
2017-12-31,T4,6.01.02.10,Variação de Fornecedores,-1191.0
2017-12-31,T4,6.01.02.11,Variação de Impostos e Contribuições,-5235.0
2017-12-31,T4,6.01.02.12,Variação de Adiantamento de Clientes,-234.0
2017-12-31,T4,6.01.02.13,Variação Credores por Produtos a Entregar,3681.0
2017-12-31,T4,6.01.02.14,Variação Débitos Trabalhistas/Cíveis,-6114.0
2017-12-31,T4,6.01.02.15,Variação de Honorários Administradores ,26.0
2017-12-31,T4,6.01.02.16,Variação da Lei 12.996 Circulante,0.0
2017-12-31,T4,6.01.02.17,Variação Parcelamentos Federais Circulante,-10401.0
2017-12-31,T4,6.01.02.18,Variação de Outros Passivos Circulante,2031.0
2017-12-31,T4,6.01.02.19,Variação de Impostos e Contribuições Não Circulante ,0.0
2017-12-31,T4,6.01.02.20,Variação Parcelamentos Federais Circulante,16764.0
2017-12-31,T4,6.01.03,Outros,27713.0
2017-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,0.0
2017-12-31,T4,6.02.01,Adições do Investimentos,0.0
2017-12-31,T4,6.02.02,Variação do Ativo Imobilizado,0.0
2017-12-31,T4,6.02.03,Variação de ativo intangivel ,0.0
2017-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,20364.0
2017-12-31,T4,6.03.01,Adiantamento p/Aumento de Capital ,0.0
2017-12-31,T4,6.03.02,Integralização de Capital ,0.0
2017-12-31,T4,6.03.03,Variação Credores Plano de Recuperação,12001.0
2017-12-31,T4,6.03.04,Variação Débito de Partes Relacionada,7837.0
2017-12-31,T4,6.03.05,Variação Instituições Financeiras ,526.0
2017-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2017-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-1.0
2017-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,2.0
2017-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,1.0
2018-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-39688.0
2018-12-31,T4,6.01.01,Caixa Gerado nas Operações,-12749.0
2018-12-31,T4,6.01.01.01,Resultado do Exercício,-13047.0
2018-12-31,T4,6.01.01.02,Depreciação e Amortização ,303.0
2018-12-31,T4,6.01.01.03,Resultado Na Venda de Ativo Permanente,0.0
2018-12-31,T4,6.01.01.05,Provisão para Contingências,0.0
2018-12-31,T4,6.01.01.06,Reversão de Provisões ,0.0
2018-12-31,T4,6.01.01.07,Participação de Não Controladores ,-5.0
2018-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-5765.0
2018-12-31,T4,6.01.02.01,Variação de Clientes ,-2543.0
2018-12-31,T4,6.01.02.02,Variação de Estoques,-325.0
2018-12-31,T4,6.01.02.03,Variação de Impostos a Recuperar Circulante ,-522.0
2018-12-31,T4,6.01.02.04,Variação Títulos a Receber ,-7443.0
2018-12-31,T4,6.01.02.05,Variação de Adiantamento a Fornecedores,-488.0
2018-12-31,T4,6.01.02.06,Variação de Outros Ativos ,0.0
2018-12-31,T4,6.01.02.07,Variação de Impostos a Recuperar Não Circulante,0.0
2018-12-31,T4,6.01.02.08,Variação Depósitos Judiciais,-76.0
2018-12-31,T4,6.01.02.09,Variação Outras Contas Não Circulante,10613.0
2018-12-31,T4,6.01.02.10,Variação de Fornecedores,-2758.0
2018-12-31,T4,6.01.02.11,Variação de Impostos e Contribuições,2180.0
2018-12-31,T4,6.01.02.12,Variação de Adiantamento de Clientes,-53.0
2018-12-31,T4,6.01.02.13,Variação Credores por Produtos a Entregar,-3681.0
2018-12-31,T4,6.01.02.14,Variação Débitos Trabalhistas/Cíveis,55.0
2018-12-31,T4,6.01.02.15,Variação de Honorários Administradores ,7.0
2018-12-31,T4,6.01.02.16,Variação da Lei 12.996 Circulante,0.0
2018-12-31,T4,6.01.02.17,Variação Parcelamentos Federais Circulante,-1420.0
2018-12-31,T4,6.01.02.18,Variação de Outros Passivos Circulante,0.0
2018-12-31,T4,6.01.02.19,Variação de Impostos e Contribuições Não Circulante ,-2236.0
2018-12-31,T4,6.01.02.20,Variação Parcelamentos Federais Não Circulante,2925.0
2018-12-31,T4,6.01.03,Outros,-21174.0
2018-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-191.0
2018-12-31,T4,6.02.01,Adições do Investimentos,0.0
2018-12-31,T4,6.02.02,Variação do Ativo Imobilizado,-191.0
2018-12-31,T4,6.02.03,Variação de ativo intangivel ,0.0
2018-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,42716.0
2018-12-31,T4,6.03.01,Integralização de Capital ,65481.0
2018-12-31,T4,6.03.03,Variação Credores Plano de Recuperação,-8312.0
2018-12-31,T4,6.03.04,Variação Débito de Partes Relacionada,-7707.0
2018-12-31,T4,6.03.05,Variação Instituições Financeiras ,-6746.0
2018-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2018-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,2837.0
2018-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,1.0
2018-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,2838.0
2019-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-2723.0
2019-12-31,T4,6.01.01,Caixa Gerado nas Operações,-2799.0
2019-12-31,T4,6.01.01.01,Resultado do Exercicio,-3463.0
2019-12-31,T4,6.01.01.02,Depreciação e Amortização,669.0
2019-12-31,T4,6.01.01.03,Resultado na Venda de Ativo Permanete,0.0
2019-12-31,T4,6.01.01.05,Provisões Para Contingencias,0.0
2019-12-31,T4,6.01.01.07,Participação de Não Controladores,-5.0
2019-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-8.0
2019-12-31,T4,6.01.02.01,Variação de Clientes,333.0
2019-12-31,T4,6.01.02.02,Variação de Estoques,798.0
2019-12-31,T4,6.01.02.03,Variação de Impostos a Recuperar Circulante,594.0
2019-12-31,T4,6.01.02.04,Variação de Titulos a Receber,-1449.0
2019-12-31,T4,6.01.02.05,Variação de Adiantamento a Fornecedores,1941.0
2019-12-31,T4,6.01.02.06,Variação de Despesas Antecipadas,709.0
2019-12-31,T4,6.01.02.07,Variação de Impostos a Recuperar Não Circulante,428.0
2019-12-31,T4,6.01.02.08,Variação de Depósitos Judiciais,158.0
2019-12-31,T4,6.01.02.09,Variação de Outros Ativos Não Circulante,-4789.0
2019-12-31,T4,6.01.02.10,Variação de Fornecedores,-776.0
2019-12-31,T4,6.01.02.11,Variação de Impostos e Contribuições Passivo Circulante,812.0
2019-12-31,T4,6.01.02.12,Variação de Adiantamento a Clientes,-1694.0
2019-12-31,T4,6.01.02.13,Variação de Credores por Produtos a Entregar,0.0
2019-12-31,T4,6.01.02.14,Variação de Débitos Trabalhistas/Civis,-64.0
2019-12-31,T4,6.01.02.15,Variação de Honorários Administradores,-6.0
2019-12-31,T4,6.01.02.17,Variação de Parcelamentos Federais Passivo Circulante,-61.0
2019-12-31,T4,6.01.02.18,Variação de Outros Passivos Circulantes,-23.0
2019-12-31,T4,6.01.02.19,Variação de Impostos e Contribuições Não Circulantes,0.0
2019-12-31,T4,6.01.02.20,Variação de Parcelamentos Federais Não Circulantes,3081.0
2019-12-31,T4,6.01.03,Outros,84.0
2019-12-31,T4,6.01.03.01,Variação de Outros Passivos Não Circulantes,84.0
2019-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,69.0
2019-12-31,T4,6.02.01,Investimentos,1763.0
2019-12-31,T4,6.02.02,Variação de Ativo Imobilizado,-44.0
2019-12-31,T4,6.02.03,Aquisição de Direiro de Uso,-1650.0
2019-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,9.0
2019-12-31,T4,6.03.01,Integralização de Capital,187.0
2019-12-31,T4,6.03.03,Variação de Credores Plano de Parcelamento,-186.0
2019-12-31,T4,6.03.04,Variação de Débito de Partes Relacionadas,-85.0
2019-12-31,T4,6.03.05,Variação de Instituições Financeiras,93.0
2019-12-31,T4,6.03.06,Adiantamento para Aumento de Capital,0.0
2019-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2019-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-2645.0
2019-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,2838.0
