codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,-72.6771,-3.9385,-7.21,179.3712,4659.9915,-2119.253,-40.0235,731.012,-10.3292,-2.2981,-13.9949
P_VPA,P/VPA,Valuation,x,-0.7401,-22.9445,-1.25,-1.472,-9.337,-57.2244,-49.3118,-90.8071,,,-3.6672,-22.3324
EV_EBITDA,EV/EBITDA,Valuation,x,,-307.3081,-5.8526,-19.4848,690.7887,2617.2899,1183.6402,62.2711,,,-7.2073,-43.9232
EV_EBIT,EV/EBIT,Valuation,x,,-291.4268,-5.7816,-18.301,2616.3621,5606.2191,2435.5674,72.3095,,,-6.6372,-40.4493
EV_RECEITA,EV/Receita,Valuation,x,,,4346.2838,20.4543,33.651,130.1531,34.0221,6.9381,,,30.4903,185.8166
DY,Dividend Yield,Valuation,%,,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,,-33.2295,-37.2618,-14.4839,-5.2793,-2.0721,-3.0832,-54.1963,-198.8088,-231.9337,-110.4664,-110.4664
ROA,ROA,Rentabilidade,%,,71.1707,86.388,33.2751,8.6793,3.3039,2.9658,20.423,8.7118,36.6889,46.2713,46.2713
ROIC,ROIC,Rentabilidade,%,,5.6423,15.8509,4.9297,-0.2351,-0.6621,-1.2016,-64.8685,2613.8276,56.1049,36.315,36.315
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,,-74262.8571,-104.9753,4.8714,4.9728,2.8744,11.1417,-1.7041,-68.8728,-423.0487,-423.0487
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,,105460.0,292.5146,18.5584,4.801,2.7451,17.1397,9.1177,99.32,622.3753,622.3753
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-1.0145,-0.2595,0.6059,-0.11,-0.7863,-2.6367,-0.1884,0.5491,0.0004,0.0064,0.0064
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1529,-0.076,-0.058,0.0444,0.0015,0.0172,0.1096,0.2739,-1.1226,0.0003,0.0033,0.0033
ICJ,ICJ,Endividamento,x,,-0.2692,-1.9703,-0.6183,0.0643,0.3209,0.3371,0.3602,-0.7967,-3.0591,-2.8195,-2.8195
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,77.8179,42.1222,44.7673,,100.0,100.0,100.0,,,,,
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.0212,0.0121,0.026,0.5148,0.5564,0.7717,1.1501,1.3151,1.3434,0.6358,0.368,0.368
LIQ_SECA,Liquidez Seca,Liquidez,x,0.006,0.0006,0.0092,0.4784,0.4893,0.4878,0.6741,0.7316,0.6536,0.2139,0.0976,0.0976
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.0343,0.1322,0.2314,0.3736,0.3325,0.3674,0.5031,0.5976,0.6579,0.3991,0.3121,0.3121
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.0,0.0009,0.1089,0.4807,0.6473,0.8996,1.274,0.936,0.4236,0.0847,0.0847
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,,,158.5743,82.7609,134.7267,120.0879,98.4632,127.6949,165.9452,1053.0765,1053.0765
PME,PME,Eficiência,dias,,,,102.573,47.4168,110.3383,98.9286,72.2634,102.5929,193.4879,1075.8002,1075.8002
NCG_RECEITA,NCG/Receita,Eficiência,%,,,-116962.8571,-387.4496,-67.2562,-23.6893,-0.0789,7.422,11.6693,-42.47,-717.2329,-717.2329
