cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2171424.000,2325255.000,2075871.000,2047604.000,2031159.000,2048861.000,2111576.000,1752446.000,2009138.000,2000703.000,2126447.000,2252908.000,2156964.000,1867946.000,1901657.000,1925987.000,1975190.000,1940003.000,1826423.000,1761525.000,1705574.000,1783505.000,1651641.000,1734093.000,1578022.000,1477165.000,1311872.000,1232375.000,1160096.000,1155410.000,1165002.000,1158025.000,1191637.000,1254456.000,1265845.000,1321745.000,1446538.000,1476297.000,1559446.000,1554276.000,1579829.000,1716392.000,1752870.000,1812553.000,1936890.000,1959632.000,2102416.000,2166023.000,2211773.000,2247567.000,2305417.000,2344012.000,1924679.000,1776127.000,1708945.000,1660837.000,1613887.000,1333119.000,1334680.000,1178144.000
2.01,Passivo Circulante,968494.000,768621.000,572726.000,580967.000,521776.000,596157.000,639516.000,469629.000,683818.000,712252.000,695836.000,681758.000,643345.000,517347.000,607296.000,607297.000,574361.000,520021.000,516171.000,444741.000,467720.000,442774.000,418868.000,462817.000,364705.000,358864.000,348344.000,357839.000,382864.000,378583.000,263259.000,208860.000,225921.000,218358.000,267069.000,208721.000,190612.000,235665.000,347656.000,338211.000,302088.000,364000.000,367000.000,410255.000,467976.000,471635.000,467729.000,495527.000,471291.000,476279.000,410970.000,432932.000,456503.000,449734.000,440939.000,464736.000,403330.000,365233.000,402819.000,386049.000
2.01.01,Obrigações Sociais e Trabalhistas,19209.000,33860.000,9966.000,11195.000,20024.000,19216.000,20439.000,20669.000,28533.000,23802.000,21908.000,23799.000,8468.000,9400.000,10424.000,11719.000,7879.000,19651.000,18290.000,9409.000,7918.000,14562.000,15456.000,10504.000,7487.000,17060.000,5836.000,5486.000,3942.000,4014.000,4615.000,5300.000,5693.000,5826.000,5556.000,7506.000,7557.000,8066.000,7102.000,6666.000,8183.000,8855.000,8871.000,10606.000,15555.000,17087.000,12508.000,14266.000,20116.000,20807.000,14020.000,13186.000,9079.000,10569.000,11824.000,12209.000,8840.000,10375.000,11854.000,11383.000
2.01.02,Fornecedores,50670.000,60919.000,56808.000,71138.000,51093.000,46625.000,37842.000,33398.000,45478.000,41169.000,36324.000,41039.000,33598.000,39625.000,46162.000,43169.000,26895.000,38618.000,38395.000,40758.000,30775.000,30552.000,31397.000,28618.000,21018.000,20195.000,19469.000,19396.000,12820.000,16463.000,14506.000,16616.000,15642.000,18238.000,19518.000,22701.000,17665.000,23003.000,25277.000,28948.000,25681.000,37150.000,34360.000,28146.000,48476.000,59015.000,64399.000,53611.000,51019.000,49246.000,40757.000,43176.000,51582.000,36108.000,39060.000,35977.000,32582.000,33822.000,51174.000,47227.000
2.01.03,Obrigações Fiscais,0.000,0.000,12553.000,10054.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11828.000,13176.000,11788.000,12894.000,10902.000,0.000,0.000,9764.000,7345.000,0.000,0.000,4798.000,4606.000,0.000,8075.000,4007.000,4491.000,2804.000,1983.000,2731.000,2157.000,2242.000,6167.000,2205.000,2716.000,3519.000,4934.000,2802.000,4059.000,3579.000,3829.000,4307.000,5781.000,7411.000,7460.000,5347.000,5504.000,5589.000,6187.000,5106.000,12316.000,4511.000,4636.000,6393.000,5488.000,4533.000,3765.000,4969.000
2.01.04,Empréstimos e Financiamentos,393675.000,295709.000,249716.000,238209.000,174044.000,252994.000,304952.000,146660.000,183030.000,189543.000,214326.000,214527.000,288735.000,176600.000,230994.000,224307.000,204634.000,163985.000,192069.000,180174.000,241440.000,229652.000,220471.000,280416.000,224666.000,231208.000,239926.000,250473.000,254852.000,223542.000,115326.000,80722.000,98475.000,103251.000,130086.000,120185.000,93208.000,118476.000,163841.000,156223.000,143363.000,109320.000,101242.000,104058.000,84766.000,139553.000,196092.000,231630.000,218629.000,211087.000,181970.000,191627.000,185186.000,206176.000,187263.000,228331.000,156305.000,139195.000,152342.000,152436.000
2.01.05,Outras Obrigações,489567.000,364033.000,230247.000,243292.000,266096.000,266149.000,262795.000,256284.000,409833.000,438669.000,407893.000,383890.000,278331.000,253401.000,290175.000,295313.000,297458.000,276647.000,251741.000,188746.000,162360.000,150193.000,136128.000,123007.000,90214.000,74019.000,61017.000,64794.000,93732.000,118666.000,115712.000,92531.000,93522.000,79286.000,96940.000,47036.000,61076.000,74887.000,138497.000,134797.000,112100.000,196216.000,210126.000,255727.000,305177.000,240324.000,178485.000,180969.000,165494.000,178438.000,156928.000,168585.000,189533.000,183251.000,188708.000,171935.000,190048.000,166995.000,174065.000,161196.000
2.01.06,Provisões,13320.000,14100.000,13436.000,7079.000,10519.000,11173.000,13488.000,12618.000,16944.000,19069.000,15385.000,18503.000,22385.000,25145.000,17753.000,19895.000,26593.000,21120.000,15676.000,15890.000,17882.000,17815.000,15416.000,15474.000,16714.000,16382.000,14021.000,13683.000,13027.000,13094.000,11117.000,10960.000,10432.000,9515.000,8802.000,9088.000,8390.000,7714.000,8005.000,8775.000,8702.000,8880.000,8572.000,7411.000,8221.000,8245.000,8785.000,9704.000,10529.000,11112.000,11108.000,11252.000,8807.000,9119.000,9448.000,9891.000,10067.000,10313.000,9619.000,8838.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,2053.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,525422.000,812223.000,766947.000,754427.000,796443.000,715915.000,703984.000,500083.000,426548.000,366834.000,485740.000,612217.000,554242.000,405304.000,351954.000,376736.000,482888.000,530294.000,419507.000,425544.000,385550.000,480945.000,403486.000,459047.000,459207.000,393472.000,278537.000,204614.000,127201.000,138036.000,270865.000,313978.000,339413.000,420389.000,382127.000,493623.000,632337.000,624680.000,603008.000,604302.000,652269.000,722377.000,752456.000,765454.000,830790.000,843770.000,985292.000,1009715.000,1079284.000,1108609.000,1250153.000,1310031.000,1007023.000,949624.000,915409.000,854413.000,919087.000,723632.000,713722.000,601048.000
