data_fim,trimestre,cd_conta,ds_conta,valor_mil
2018-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,788822.0
2018-12-31,T4,6.01.01,Caixa Gerado nas Operações,3151485.0
2018-12-31,T4,6.01.01.01,Lucro antes do imposto de renda e contribuição social,1645384.0
2018-12-31,T4,6.01.01.02,Depreciação e amortização,393269.0
2018-12-31,T4,6.01.01.03,Ganho na alienação de imóvel,-3920.0
2018-12-31,T4,6.01.01.04,Valor justo da dívida,39461.0
2018-12-31,T4,6.01.01.05,"Juros e variações monetárias e cambiais, líquidos",400195.0
2018-12-31,T4,6.01.01.06,Pagamento baseado em ações,40662.0
2018-12-31,T4,6.01.01.07,Provisão para contigências,-1676.0
2018-12-31,T4,6.01.01.08,Resultado de equvalencia patrimonial,-23572.0
2018-12-31,T4,6.01.01.09,Provisão para crédito de liquidação duvidosa e para glosas,661682.0
2018-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-1447726.0
2018-12-31,T4,6.01.02.01,Contas a receber,-917821.0
2018-12-31,T4,6.01.02.02,Estoques,-37294.0
2018-12-31,T4,6.01.02.03,Impostos a receber,956.0
2018-12-31,T4,6.01.02.04,Depósitos judiciais,-20684.0
2018-12-31,T4,6.01.02.05,Outros ativos,77773.0
2018-12-31,T4,6.01.02.06,Fornecedores,-62255.0
2018-12-31,T4,6.01.02.07,"Salários, provisões e encargos sociais",13540.0
2018-12-31,T4,6.01.02.08,Obrigações fiscais,-115965.0
2018-12-31,T4,6.01.02.09,Partes relacionadas,13979.0
2018-12-31,T4,6.01.02.10,Provisão para contigencias,-4759.0
2018-12-31,T4,6.01.02.11,Outras passivos,-395196.0
2018-12-31,T4,6.01.03,Outros,-914937.0
2018-12-31,T4,6.01.03.01,Pagamento de juros,-520912.0
2018-12-31,T4,6.01.03.02,Pagamento de imposto de renda e contribuição social,-394025.0
2018-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-2757894.0
2018-12-31,T4,6.02.01,"Pagamento em aquisição de negócios, liquido do caixa adquirido",-933058.0
2018-12-31,T4,6.02.02,Aquisições de imobilizado,-1460781.0
2018-12-31,T4,6.02.03,Alienação de imobilizado,250680.0
2018-12-31,T4,6.02.04,Aquisições de intangível,-92526.0
2018-12-31,T4,6.02.05,Aquisições de títulos e valores mobiliários,-30944905.0
2018-12-31,T4,6.02.06,Resgates de títulos e valores mobiliários,30418808.0
2018-12-31,T4,6.02.07,Recebimentos de dividendos e juros sobre capital próprio,3888.0
2018-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,2020697.0
2018-12-31,T4,6.03.01,Ações em tesouraria,-133725.0
2018-12-31,T4,6.03.02,Aquisição de participação de não controladores,-53573.0
2018-12-31,T4,6.03.03,Pagamento de dividendos e juros sobre o capital próprio,-1265137.0
2018-12-31,T4,6.03.04,"Captações de empréstimos, financiamentos e debêntures",6537131.0
2018-12-31,T4,6.03.05,"Pagamentos de empréstimos, financiamento e debêntures",-3057531.0
2018-12-31,T4,6.03.06,Liquidação de swap,40923.0
2018-12-31,T4,6.03.07,Contas a pagar por aquisições,-47391.0
2018-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2018-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,51625.0
2018-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,140383.0
2018-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,192008.0
2019-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,781971.0
2019-12-31,T4,6.01.01,Caixa Gerado nas Operações,4292297.0
2019-12-31,T4,6.01.01.01,Lucro antes do imposto de renda e contribuição social,1698956.0
2019-12-31,T4,6.01.01.02,Depreciação e amortização,708797.0
2019-12-31,T4,6.01.01.03,Ganho na alienação de imóvel,-3920.0
2019-12-31,T4,6.01.01.04,Valor justo da dívida,165916.0
2019-12-31,T4,6.01.01.05,"Juros e variações monetárias e cambiais, líquidos",834073.0
2019-12-31,T4,6.01.01.06,Pagamento baseado em ações,40656.0
2019-12-31,T4,6.01.01.07,Provisão para contigências,18394.0
2019-12-31,T4,6.01.01.08,Resultado de equvalencia patrimonial,-4427.0
2019-12-31,T4,6.01.01.09,Provisão para crédito de liquidação duvidosa e para glosas,833852.0
2019-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-2247648.0
2019-12-31,T4,6.01.02.01,Contas a receber,-1642736.0
2019-12-31,T4,6.01.02.02,Estoques,-43031.0
2019-12-31,T4,6.01.02.03,Impostos a receber,47110.0
2019-12-31,T4,6.01.02.04,Depósitos judiciais,-32626.0
2019-12-31,T4,6.01.02.05,Outros ativos,-27371.0
2019-12-31,T4,6.01.02.06,Fornecedores,-71424.0
2019-12-31,T4,6.01.02.07,"Salários, provisões e encargos sociais",54103.0
2019-12-31,T4,6.01.02.08,Obrigações fiscais,-192192.0
2019-12-31,T4,6.01.02.09,Partes relacionadas,-17181.0
2019-12-31,T4,6.01.02.10,Provisão para contigencias,-1989.0
2019-12-31,T4,6.01.02.11,Outras passivos,58473.0
2019-12-31,T4,6.01.02.12,Arrendamentos,-378784.0
2019-12-31,T4,6.01.03,Outros,-1262678.0
2019-12-31,T4,6.01.03.01,Pagamento de juros,-773909.0
2019-12-31,T4,6.01.03.02,Pagamento de imposto de renda e contribuição social,-488769.0
2019-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-4109206.0
2019-12-31,T4,6.02.01,"Pagamento em aquisição de negócios, liquido do caixa adquirido",-320912.0
2019-12-31,T4,6.02.02,Aquisições de imobilizado,-1792270.0
2019-12-31,T4,6.02.03,Alienação de imobilizado,0.0
2019-12-31,T4,6.02.04,Aquisições de intangível,-247854.0
2019-12-31,T4,6.02.05,Aquisições de títulos e valores mobiliários,-19264665.0
2019-12-31,T4,6.02.06,Resgates de títulos e valores mobiliários,18603190.0
2019-12-31,T4,6.02.07,Recebimentos de dividendos e juros sobre capital próprio,14538.0
2019-12-31,T4,6.02.08,Aquisição de participação societária,-1090701.0
2019-12-31,T4,6.02.09,Adiantamento para futuro aumento de capital,-10532.0
2019-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,3203911.0
2019-12-31,T4,6.03.01,Ações em tesouraria,-1269.0
2019-12-31,T4,6.03.02,Aquisição de participação de não controladores,-1033.0
2019-12-31,T4,6.03.03,Pagamento de dividendos e juros sobre o capital próprio,-12808.0
2019-12-31,T4,6.03.04,"Captações de empréstimos, financiamentos e debêntures",5174450.0
2019-12-31,T4,6.03.05,"Pagamentos de empréstimos, financiamento e debêntures",-1903403.0
2019-12-31,T4,6.03.06,Liquidação de swap,-15149.0
2019-12-31,T4,6.03.07,Contas a pagar por aquisições,-36877.0
2019-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2019-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-123324.0
