data_fim,trimestre,cd_conta,ds_conta,valor_mil
2018-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,10914892.0
2018-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-8109528.0
2018-12-31,T4,3.03,Resultado Bruto,2805364.0
2018-12-31,T4,3.04,Despesas/Receitas Operacionais,-528382.0
2018-12-31,T4,3.04.01,Despesas com Vendas,-24216.0
2018-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-412022.0
2018-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2018-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2018-12-31,T4,3.04.05,Outras Despesas Operacionais,-115716.0
2018-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,23572.0
2018-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,2276982.0
2018-12-31,T4,3.06,Resultado Financeiro,-631598.0
2018-12-31,T4,3.06.01,Receitas Financeiras,943503.0
2018-12-31,T4,3.06.02,Despesas Financeiras,-1575101.0
2018-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,1645384.0
2018-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-465766.0
2018-12-31,T4,3.08.01,Corrente,-465766.0
2018-12-31,T4,3.08.02,Diferido,0.0
2018-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,1179618.0
2018-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2018-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2018-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2018-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,1179618.0
2018-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,1169964.0
2018-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,9654.0
2018-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2018-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2018-12-31,T4,3.99.01.01,ON,1.3273
2018-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2018-12-31,T4,3.99.02.01,ON,1.3207
2019-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,13319835.0
2019-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-9838962.0
2019-12-31,T4,3.03,Resultado Bruto,3480873.0
2019-12-31,T4,3.04,Despesas/Receitas Operacionais,-705021.0
2019-12-31,T4,3.04.01,Despesas com Vendas,-24033.0
2019-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-474102.0
2019-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2019-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2019-12-31,T4,3.04.05,Outras Despesas Operacionais,-211313.0
2019-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,4427.0
2019-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,2775852.0
2019-12-31,T4,3.06,Resultado Financeiro,-1076896.0
2019-12-31,T4,3.06.01,Receitas Financeiras,1567286.0
2019-12-31,T4,3.06.02,Despesas Financeiras,-2644182.0
2019-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,1698956.0
2019-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-507439.0
2019-12-31,T4,3.08.01,Corrente,-507439.0
2019-12-31,T4,3.08.02,Diferido,0.0
2019-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,1191517.0
2019-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2019-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2019-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2019-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,1191517.0
2019-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,1167071.0
2019-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,24446.0
2019-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2019-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2019-12-31,T4,3.99.01.01,ON,0.662
2019-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2019-12-31,T4,3.99.02.01,ON,0.6594
2020-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,14029408.0
2020-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-11462348.0
2020-12-31,T4,3.03,Resultado Bruto,2567060.0
2020-12-31,T4,3.04,Despesas/Receitas Operacionais,-929834.0
2020-12-31,T4,3.04.01,Despesas com Vendas,-24360.0
2020-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-720831.0
2020-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2020-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2020-12-31,T4,3.04.05,Outras Despesas Operacionais,-178552.0
2020-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-6091.0
2020-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,1637226.0
2020-12-31,T4,3.06,Resultado Financeiro,-1153769.0
2020-12-31,T4,3.06.01,Receitas Financeiras,8168082.0
2020-12-31,T4,3.06.02,Despesas Financeiras,-9321851.0
2020-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,483457.0
2020-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-24034.0
2020-12-31,T4,3.08.01,Corrente,-156985.0
2020-12-31,T4,3.08.02,Diferido,132951.0
2020-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,459423.0
2020-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2020-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2020-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2020-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,459423.0
2020-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,428329.0
2020-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,31094.0
2020-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2020-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2020-12-31,T4,3.99.01.01,ON,0.2205
2020-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2020-12-31,T4,3.99.02.01,ON,0.2198
2021-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,20381883.0
2021-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-15572114.0
2021-12-31,T4,3.03,Resultado Bruto,4809769.0
2021-12-31,T4,3.04,Despesas/Receitas Operacionais,-1141402.0
2021-12-31,T4,3.04.01,Despesas com Vendas,-37070.0
2021-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-919056.0
2021-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2021-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2021-12-31,T4,3.04.05,Outras Despesas Operacionais,-264614.0
2021-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,79338.0
