cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,3033250.0,3412961.0,3445320.0,3428304.0,3299494.0,2753851.0,3807799.0,4168264.0,4719725.0,5218686.0,5307919.0,5135553.0,5373283.0,5799204.0,6063258.0,5751698.0,11249972.0,11581050.0,11835088.0,11842448.0,12195029.0,12504108.0,13023160.0,12848964.0,12973032.0,13960847.0,14415537.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-2248760.0,-2450383.0,-2553919.0,-2585900.0,-2664263.0,-2747121.0,-2906255.0,-3144709.0,-3528549.0,-3918031.0,-4057438.0,-4068096.0,-4275921.0,-4427636.0,-4556041.0,-4526064.0,-9657407.0,-9681545.0,-9969981.0,-9628143.0,-9969805.0,-10107579.0,-10580670.0,-10450655.0,-10259364.0,-11041151.0,-11054613.0
3.03,Resultado Bruto,784490.0,962578.0,891401.0,842404.0,635231.0,6730.0,901544.0,1023555.0,1191176.0,1300655.0,1250481.0,1067457.0,1097362.0,1371568.0,1507217.0,1225634.0,1592565.0,1899505.0,1865107.0,2214305.0,2225224.0,2396529.0,2442490.0,2398309.0,2713668.0,2919696.0,3360924.0
3.04,Despesas/Receitas Operacionais,-183153.0,-147601.0,-176672.0,-197595.0,-225458.0,-356605.0,-131207.0,-216564.0,-327075.0,-356918.0,-314075.0,-143334.0,-303826.0,-307886.0,-344110.0,-347119.0,-468960.0,-505247.0,-375563.0,-656441.0,-539925.0,-589654.0,-255238.0,-637305.0,-507391.0,-648178.0,-612513.0
3.04.02,Despesas Gerais e Administrativas,-134745.0,-106349.0,-125692.0,-107316.0,-150031.0,-372954.0,-81220.0,-116626.0,-217910.0,-252679.0,-229033.0,-219434.0,-212321.0,-227867.0,-253893.0,-232364.0,-339862.0,-430522.0,-116450.0,-428123.0,-430796.0,-530023.0,-512617.0,-485522.0,-484231.0,-570877.0,-532955.0
3.04.05,Outras Despesas Operacionais,-52005.0,-39411.0,-47674.0,-72223.0,-63892.0,-15178.0,-59793.0,-39689.0,-99669.0,-99464.0,-97018.0,-31537.0,-95028.0,-91590.0,-97087.0,-102471.0,-98197.0,-67924.0,-123586.0,-193927.0,-80916.0,-76291.0,-241562.0,-354609.0,-7148.0,-121670.0,-46170.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,7105.0,4626.0,1902.0,-9206.0,-8201.0,6571.0,16353.0,-20814.0,-2301.0,1058.0,20592.0,59989.0,9078.0,15438.0,12078.0,9486.0,-18666.0,7637.0,8851.0,-3495.0,-9736.0,23903.0,19976.0,14721.0,-2900.0,15398.0,16301.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,601337.0,814977.0,714729.0,644809.0,409773.0,-349875.0,770337.0,806991.0,864101.0,943737.0,936406.0,924123.0,793536.0,1063682.0,1163107.0,878515.0,1123605.0,1394258.0,1489544.0,1557864.0,1685299.0,1806875.0,2187252.0,1761004.0,2206277.0,2271518.0,2748411.0
3.06,Resultado Financeiro,-253963.0,-257689.0,-315783.0,-249461.0,-248077.0,-305346.0,-255876.0,-344470.0,-391387.0,-327876.0,-453470.0,-463018.0,-559085.0,-628629.0,-684317.0,-701545.0,-783674.0,-978507.0,-641883.0,-610863.0,-672546.0,-588060.0,-661725.0,-620050.0,-861785.0,-1071744.0,-849391.0
