data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,1,Ativo Total,12589137.0
2010-12-31,T4,1.01,Ativo Circulante,3021438.0
2010-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,759663.0
2010-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2010-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.01.03,Contas a Receber,1590943.0
2010-12-31,T4,1.01.03.01,Clientes,1553793.0
2010-12-31,T4,1.01.03.01.01,Consumidores,1553793.0
2010-12-31,T4,1.01.03.02,Outras Contas a Receber,37150.0
2010-12-31,T4,1.01.03.02.01,Títulos a receber,37150.0
2010-12-31,T4,1.01.04,Estoques,45158.0
2010-12-31,T4,1.01.04.01,Almoxarifado,45158.0
2010-12-31,T4,1.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.01.06,Tributos a Recuperar,216598.0
2010-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,216598.0
2010-12-31,T4,1.01.06.01.01,Imposto de Renda e Contribuição Social a Recuperar,88378.0
2010-12-31,T4,1.01.06.01.02,Outros Tributos a Recuperar,128220.0
2010-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2010-12-31,T4,1.01.08,Outros Ativos Circulantes,409076.0
2010-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.01.08.03,Outros,409076.0
2010-12-31,T4,1.01.08.03.01,Serviços em Curso,127804.0
2010-12-31,T4,1.01.08.03.02,Aquisição de Combustível p/conta da CCC,73279.0
2010-12-31,T4,1.01.08.03.03,Redução de Receita Baixa Renda,29621.0
2010-12-31,T4,1.01.08.03.04,Sub-rogação da CCC,22618.0
2010-12-31,T4,1.01.08.03.05,Operações de Swap,0.0
2010-12-31,T4,1.01.08.03.06,Operações com Opções,0.0
2010-12-31,T4,1.01.08.03.07,Outros,155754.0
2010-12-31,T4,1.02,Ativo Não Circulante,9567699.0
2010-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,3814815.0
2010-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.02.01.03,Contas a Receber,327609.0
2010-12-31,T4,1.02.01.03.01,Clientes,242659.0
2010-12-31,T4,1.02.01.03.02,Outras Contas a Receber,84950.0
2010-12-31,T4,1.02.01.04,Estoques,0.0
2010-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.02.01.06,Tributos Diferidos,897513.0
2010-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,897513.0
2010-12-31,T4,1.02.01.07,Despesas Antecipadas,0.0
2010-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,459805.0
2010-12-31,T4,1.02.01.08.01,Créditos com Coligadas,1654.0
2010-12-31,T4,1.02.01.08.03,Créditos com Controladores,458151.0
2010-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2010-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,2129888.0
2010-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.02.01.09.03,Cauções e Depósitos Vinculados,38206.0
2010-12-31,T4,1.02.01.09.04,Depósitos Judiciais,135878.0
2010-12-31,T4,1.02.01.09.05,Imposto de Renda e Contribuição Social a Recuperar,59534.0
