data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,2,Passivo Total,12589137.0
2010-12-31,T4,2.01,Passivo Circulante,3689391.0
2010-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,96023.0
2010-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2010-12-31,T4,2.01.01.02,Obrigações Trabalhistas,96023.0
2010-12-31,T4,2.01.01.02.01,Folha de Pagamento,17927.0
2010-12-31,T4,2.01.01.02.02,Indenizações Trabalhistas,78096.0
2010-12-31,T4,2.01.02,Fornecedores,612127.0
2010-12-31,T4,2.01.02.01,Fornecedores Nacionais,612127.0
2010-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2010-12-31,T4,2.01.03,Obrigações Fiscais,573678.0
2010-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,354825.0
2010-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,18161.0
2010-12-31,T4,2.01.03.01.02,Outras Obrigações Fiscais Federais,336664.0
2010-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,216021.0
2010-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,2832.0
2010-12-31,T4,2.01.04,Empréstimos e Financiamentos,1801798.0
2010-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,1699746.0
2010-12-31,T4,2.01.04.01.01,Em Moeda Nacional,1547475.0
2010-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,152271.0
2010-12-31,T4,2.01.04.02,Debêntures,81890.0
2010-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,20162.0
2010-12-31,T4,2.01.04.03.01,Em Moeda Nacional,15225.0
2010-12-31,T4,2.01.04.03.02,Em Moeda Estrangeira,4937.0
2010-12-31,T4,2.01.05,Outras Obrigações,605765.0
2010-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2010-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2010-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2010-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2010-12-31,T4,2.01.05.02,Outros,605765.0
2010-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,61995.0
2010-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2010-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2010-12-31,T4,2.01.05.02.04,Consumidores - Devolução Tarifária,30128.0
2010-12-31,T4,2.01.05.02.05,Participação dos Administradores,3526.0
2010-12-31,T4,2.01.05.02.06,Operações de Swap,153286.0
2010-12-31,T4,2.01.05.02.07,Operações com Opções,0.0
2010-12-31,T4,2.01.05.02.08,Taxas Regulamentares,55587.0
2010-12-31,T4,2.01.05.02.09,Obrigações do Programa de Eficiência Energética,98581.0
2010-12-31,T4,2.01.05.02.10,Obrigações estimadas - trabalhistas,45077.0
2010-12-31,T4,2.01.05.02.11,Obrigações estimadas - fiscais,0.0
2010-12-31,T4,2.01.05.02.12,Benefício Pós-Emprego,11691.0
2010-12-31,T4,2.01.05.02.13,Outros,145894.0
2010-12-31,T4,2.01.06,Provisões,0.0
