data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,284455.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,345418.0
2015-03-31,T1,6.01.01.01,Lucro antes do imposto,46962.0
2015-03-31,T1,6.01.01.02,Lucro antes do imposto das operações descontinuadas,0.0
2015-03-31,T1,6.01.01.03,Provisão para contingências,-9232.0
2015-03-31,T1,6.01.01.04,"Encargos dividas, juros, variações monetárias e cambiais - líquidas",171976.0
2015-03-31,T1,6.01.01.05,Depreciação e amortização,135409.0
2015-03-31,T1,6.01.01.06,Perda na alienação de bens do ativo imobilizado e intangível,20375.0
2015-03-31,T1,6.01.01.07,Instrumentos financeiros derivativos,-29746.0
2015-03-31,T1,6.01.01.08,Marcação a mercados de derivativos,1037.0
2015-03-31,T1,6.01.01.09,Provisão para créditos de liquidação duvidosa,8637.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-60963.0
2015-03-31,T1,6.01.02.01,"(Aumento) diminuição Consumidores, concessionárias e permissoinárias",-209876.0
2015-03-31,T1,6.01.02.02,(Aumento) diminuição de títulos de créditos a receber,-2235.0
2015-03-31,T1,6.01.02.03,Diminuição de impostos a recuperar,78902.0
2015-03-31,T1,6.01.02.04,(Aumento) ativos regulatórios,-119806.0
2015-03-31,T1,6.01.02.05,(Aumento) cauções e depósitos vinculados,-15317.0
2015-03-31,T1,6.01.02.06,(Aumento) diminuição de outros Créditos,-72233.0
2015-03-31,T1,6.01.02.07,Aumento (diminuição) de folha de pagamento,649.0
2015-03-31,T1,6.01.02.08,"(Diminuição) dei mpostos, contribuições sociais",-47414.0
2015-03-31,T1,6.01.02.09,Aumento obrigações estimadas,17080.0
2015-03-31,T1,6.01.02.10,Aumento Taxas regulamentares,0.0
2015-03-31,T1,6.01.02.11,(Aumento) de estoques,-1469.0
2015-03-31,T1,6.01.02.12,Diminuição de despesas pagas antecipadamente,0.0
2015-03-31,T1,6.01.02.13,Aumento Fornecedores,92221.0
2015-03-31,T1,6.01.02.14,Aumento de passivos regulatórios,73172.0
2015-03-31,T1,6.01.02.15,Aumento de outras contas a pagar,145363.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-23267.0
2015-03-31,T1,6.02.01,Aumento de capital e compra de ações subsidiárias e outros investimentos,15.0
2015-03-31,T1,6.02.02,Aplicações financeiras e recursos vinculados,272704.0
2015-03-31,T1,6.02.03,Partes relacionadas,-162851.0
2015-03-31,T1,6.02.04,Aplicação no imobilizado e intangível,-133135.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-300895.0
2015-03-31,T1,6.03.01,Pagamentos emprestimos - juros,-67144.0
2015-03-31,T1,6.03.02,Novos empréstimos e financiamentos obtidos,1875.0
2015-03-31,T1,6.03.03,Pagamento emprestimo - principal,-121002.0
2015-03-31,T1,6.03.04,Operação de mútuo com partes relacionadas,0.0
2015-03-31,T1,6.03.05,Parcelamento de impostos,-3646.0
2015-03-31,T1,6.03.06,Parcelamento de encargos setoriais,-109588.0
2015-03-31,T1,6.03.07,Liquidação de instrumentos financeiros derivativos,-1390.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-39707.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,356595.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,316888.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,96247.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,384430.0
2015-06-30,T2,6.01.01.01,Lucro do exercício antes do imposto de renda e contribuição social,309175.0
2015-06-30,T2,6.01.01.02,"Despesa com juros, variações monetárias e cambiais",96643.0
2015-06-30,T2,6.01.01.03,Depreciação e amortização,284883.0
2015-06-30,T2,6.01.01.04,Provisão para créditos de liquidação duvidosa,-1172.0
2015-06-30,T2,6.01.01.05,Provisão para riscos,-74906.0
2015-06-30,T2,6.01.01.06,Ganho de capital na alienação de ativos,-255300.0
2015-06-30,T2,6.01.01.08,Marcação a mercado de derivativos,8548.0
2015-06-30,T2,6.01.01.09,Instrumentos financeiros derivativos,-11993.0
2015-06-30,T2,6.01.01.10,Valor residual de ativos permanentes baixados,28552.0
2015-06-30,T2,6.01.01.11,Lucro antes dos impostos das empresas descontinuadas,0.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-288183.0
2015-06-30,T2,6.01.02.01,Diminuição de Clientes,-195082.0
2015-06-30,T2,6.01.02.02,Diminuição de títulos de créditos a receber,1616.0
2015-06-30,T2,6.01.02.03,Diminuição (aumento) de estoques,97.0
2015-06-30,T2,6.01.02.04,Diminuição (aumento) de impostos a recuperar,319004.0
2015-06-30,T2,6.01.02.05,Diminuição de créditos de partes relacionadas,0.0
2015-06-30,T2,6.01.02.06,(Aumento) de cauções e depósitos vinculados,-20795.0
2015-06-30,T2,6.01.02.08,(Aumento) de ativos regulatórios,-135105.0
2015-06-30,T2,6.01.02.09,(Aumento) diminuição de outros créditos a receber,-132689.0
2015-06-30,T2,6.01.02.10,(Diminuição) de fornecedores,-24852.0
2015-06-30,T2,6.01.02.11,(Diminuição) de folha de pagamento,-8191.0
2015-06-30,T2,6.01.02.12,(Diminuição) de tributos e contribuições sociais,-307971.0
2015-06-30,T2,6.01.02.13,Imposto de renda e contribuições sociais,-26503.0
2015-06-30,T2,6.01.02.14,Aumento de obrigações estimadas,26139.0
2015-06-30,T2,6.01.02.15,(Diminuição) de empréstimos de partes relacionadas,0.0
2015-06-30,T2,6.01.02.18,Aumento de passivos regulatórios,42244.0
2015-06-30,T2,6.01.02.19,(Diminuição) de incorporações de redes,-217089.0
2015-06-30,T2,6.01.02.20,Aumento (diminuição) de outras contas a pagar,390994.0
2015-06-30,T2,6.01.03,Outros,0.0
2015-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,200175.0
2015-06-30,T2,6.02.01,Aplicações financeiras e recursos vinculados,354779.0
2015-06-30,T2,6.02.02,Aplicação no intangível,0.0
2015-06-30,T2,6.02.03,Alienação de bens do imobilizado e intangível,11071.0
2015-06-30,T2,6.02.04,Caixa equivalente de caixa adquirido em 11/04/2014,0.0
2015-06-30,T2,6.02.05,Aplicações no intangivel e imobilizado,-337025.0
2015-06-30,T2,6.02.06,Recebimento pela venda de ativos alienados,171350.0
2015-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-302899.0
2015-06-30,T2,6.03.01,"Pagamento de empréstimos, debêntures - principal",-170270.0
2015-06-30,T2,6.03.02,Novos empréstimos e financiamentos obtidos,472163.0
2015-06-30,T2,6.03.03,"Pagamento de empréstimos, debêntures - juros",-161942.0
2015-06-30,T2,6.03.04,Partes relacionadas,-131283.0
2015-06-30,T2,6.03.06,Parcelamento de impostos,-6505.0
2015-06-30,T2,6.03.07,Parcelamento de encargos setoriais,-277240.0
2015-06-30,T2,6.03.08,Liquidação de instrumentos financeiros derivativos,-4848.0
2015-06-30,T2,6.03.09,Parcelamento de fornecedores,-22974.0
2015-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-6477.0
2015-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,356595.0
2015-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,350118.0
2015-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,356567.0
2015-09-30,T3,6.01.01,Caixa Gerado nas Operações,704218.0
2015-09-30,T3,6.01.01.01,Lucro antes do imposto de renda e contribuição social,283141.0
2015-09-30,T3,6.01.01.02,"Despess com juros, variações monetárias e cambiais",445543.0
2015-09-30,T3,6.01.01.03,Provisão para créditos de liquidação duvidosa,22922.0
2015-09-30,T3,6.01.01.04,Provisões para riscos,-84959.0
2015-09-30,T3,6.01.01.05,Depreciação e amortização,401037.0
2015-09-30,T3,6.01.01.06,Ganho de capital na Alienação de bens e do intangível,-255300.0
2015-09-30,T3,6.01.01.07,Atualização de mútuo,0.0
2015-09-30,T3,6.01.01.08,Desconto créditos opção C,0.0
2015-09-30,T3,6.01.01.09,Reversão de provisão ajuste a valor presente opção C,0.0
2015-09-30,T3,6.01.01.10,Provisão ajuste a valor presente credores opção A e B,0.0
2015-09-30,T3,6.01.01.11,Marcação a mercado de derivativos,45156.0
2015-09-30,T3,6.01.01.12,Marcação a mercados de dívidas,-21029.0
2015-09-30,T3,6.01.01.13,Valor residual de ativos permanentes baixados,41200.0
2015-09-30,T3,6.01.01.14,Instrumento Financeiros Derivativos,-173493.0
2015-09-30,T3,6.01.01.15,Lucro antes dos impostos das empresas descontinuadas,0.0
2015-09-30,T3,6.01.01.16,Ajuste a valor justo dos investimentos avaliados a custo,0.0
2015-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-347651.0
2015-09-30,T3,6.01.02.01,(Aumento) de consumidores e concessionárias,-272471.0
2015-09-30,T3,6.01.02.02,Diminuição de títulos e créditos a receber,1835.0
2015-09-30,T3,6.01.02.03,(Aumento) de estoques,-1995.0
2015-09-30,T3,6.01.02.04,Diminuição (Aumento) de tributos a recuperar,41826.0
2015-09-30,T3,6.01.02.05,(Aumento) de cauções e depósitos vinculados,-17074.0
2015-09-30,T3,6.01.02.06,(Aumento) de despesas pagas antecipadamente,0.0
2015-09-30,T3,6.01.02.07,Partes relacionadas,0.0
2015-09-30,T3,6.01.02.08,Diminuição de outros créditos a receber,0.0
2015-09-30,T3,6.01.02.09,Aumento (Diminuição) de fornecedores,45875.0
2015-09-30,T3,6.01.02.10,(Diminuição) aumento de folha de pagamento,-2493.0
2015-09-30,T3,6.01.02.11,(Diminuição) Aumento de tributos e contribuições sociais,-54905.0
