data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,8661.0
2010-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-2531.0
2010-03-31,T1,3.02.01,Depreciação e amortização,-1410.0
2010-03-31,T1,3.02.02,Custo de operação,-778.0
2010-03-31,T1,3.02.03,Encargos de uso do do sistema de distribuição,-343.0
2010-03-31,T1,3.03,Resultado Bruto,6130.0
2010-03-31,T1,3.04,Despesas/Receitas Operacionais,-2438.0
2010-03-31,T1,3.04.01,Despesas com Vendas,0.0
2010-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-2295.0
2010-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-03-31,T1,3.04.04,Outras Receitas Operacionais,0.0
2010-03-31,T1,3.04.05,Outras Despesas Operacionais,-143.0
2010-03-31,T1,3.04.05.01,Depreciações e Amortizações,-35.0
2010-03-31,T1,3.04.05.02,Outras despesas,-15.0
2010-03-31,T1,3.04.05.03,Despesas Tributárias,-93.0
2010-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,3692.0
2010-03-31,T1,3.06,Resultado Financeiro,-2095.0
2010-03-31,T1,3.06.01,Receitas Financeiras,911.0
2010-03-31,T1,3.06.02,Despesas Financeiras,-3006.0
2010-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,1597.0
2010-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-385.0
2010-03-31,T1,3.08.01,Corrente,-385.0
2010-03-31,T1,3.08.02,Diferido,0.0
2010-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,1212.0
2010-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,1212.0
2010-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,1212.0
2010-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,0.0
2010-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2010-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2010-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,8780.0
