data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-1291.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,-76987.0
2015-03-31,T1,6.01.01.01,Lucro ou Prejuízo do Exercício,-83388.0
2015-03-31,T1,6.01.01.02,Participações Minoritária,-12.0
2015-03-31,T1,6.01.01.03,Equivalência Patrimonial,0.0
2015-03-31,T1,6.01.01.04,Depreciações e Amortizações,6470.0
2015-03-31,T1,6.01.01.05,Provisão Para Perdas no Ativo Permanente,0.0
2015-03-31,T1,6.01.01.06,Valor Residual do Ativo Baixado,0.0
2015-03-31,T1,6.01.01.07,Provisão para Contingências,-57.0
2015-03-31,T1,6.01.01.08,Ajustes de operações descontinuadas,0.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,75696.0
2015-03-31,T1,6.01.02.01,Contas a Receber,-51721.0
2015-03-31,T1,6.01.02.02,Estoques,-19500.0
2015-03-31,T1,6.01.02.03,Créditos Diversos,38861.0
2015-03-31,T1,6.01.02.04,Tributos a Recuperar,2883.0
2015-03-31,T1,6.01.02.05,Adiantamento a Fornecedores,-16729.0
2015-03-31,T1,6.01.02.06,Outros Ativos Circulantes,-541.0
2015-03-31,T1,6.01.02.07,Depósitos Judiciais,-69.0
2015-03-31,T1,6.01.02.08,Empréstimos e Financiamentos,909.0
2015-03-31,T1,6.01.02.09,Fornecedores,-47834.0
2015-03-31,T1,6.01.02.10,Provisão para Férias e Encargos Sociais,518.0
2015-03-31,T1,6.01.02.11,Impostos e Taxas a Recolher,109838.0
2015-03-31,T1,6.01.02.12,Adiantamento de Clientes,21141.0
2015-03-31,T1,6.01.02.13,Outras Contas a Pagar,37940.0
2015-03-31,T1,6.01.02.14,Despesas Antecipadas,0.0
2015-03-31,T1,6.01.02.15,Adiantamento para futuro aumento de capital,0.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-22.0
2015-03-31,T1,6.02.01,Aquisição do Ativo Imobilizado,-22.0
2015-03-31,T1,6.02.02,Aquisição do Intangível,0.0
2015-03-31,T1,6.02.03,Aquisição de investimentos em outras sociedades,0.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,0.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-1313.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,1370.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,57.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,-680.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,-161422.0
2015-06-30,T2,6.01.01.01,Lucro ou Prejuízo do Exercício,-172194.0
2015-06-30,T2,6.01.01.02,Participações Minoritária,-27.0
2015-06-30,T2,6.01.01.03,Equivalência Patrimonial,0.0
2015-06-30,T2,6.01.01.04,Depreciações e Amortizações,10913.0
2015-06-30,T2,6.01.01.05,Provisão Para Perdas no Ativo Permanente,0.0
2015-06-30,T2,6.01.01.06,Valor Residual do Ativo Baixado,0.0
2015-06-30,T2,6.01.01.07,Provisão para Contingências,-114.0
2015-06-30,T2,6.01.01.08,Ajustes de operações descontinuadas,0.0
2015-06-30,T2,6.01.01.09,Provisão para crédito de liquidação duvidosa,0.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,160742.0
2015-06-30,T2,6.01.02.01,Contas a Receber,-40601.0
2015-06-30,T2,6.01.02.02,Estoques,-43625.0
2015-06-30,T2,6.01.02.03,Créditos Diversos,-30059.0
2015-06-30,T2,6.01.02.04,Tributos a Recuperar,2812.0
2015-06-30,T2,6.01.02.05,Adiantamento a Fornecedores,-16624.0
2015-06-30,T2,6.01.02.06,Outros Ativos Circulantes,-557.0
2015-06-30,T2,6.01.02.07,Depósitos Judiciais,-80.0
2015-06-30,T2,6.01.02.08,Empréstimos e Financiamentos,1860.0
2015-06-30,T2,6.01.02.09,Fornecedores,-36727.0
2015-06-30,T2,6.01.02.10,Provisão para Férias e Encargos Sociais,895.0
2015-06-30,T2,6.01.02.11,Impostos e Taxas a Recolher,229464.0
2015-06-30,T2,6.01.02.12,Adiantamento de Clientes,63564.0
2015-06-30,T2,6.01.02.13,Outras Contas a Pagar,30420.0
2015-06-30,T2,6.01.02.14,Capital Social,0.0
2015-06-30,T2,6.01.02.15,Resultado de Exercícios Futuros,0.0
2015-06-30,T2,6.01.03,Outros,0.0
2015-06-30,T2,6.01.03.01,AFAC,0.0
2015-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-42.0
2015-06-30,T2,6.02.01,Aquisição do Ativo Imobilizado,-42.0
2015-06-30,T2,6.02.02,Aquisição do Intangível,0.0
2015-06-30,T2,6.02.03,Aquisição de investimentos em outras sociedades,0.0
2015-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,0.0
2015-06-30,T2,6.03.01,Empéstimos e Financiamentos,0.0
2015-06-30,T2,6.03.02,Capital Social,0.0
2015-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-722.0
2015-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,1370.0
2015-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,648.0
