cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
3.01,Receita de Venda de Bens e/ou Serviços,460706.000,619713.000,622489.000,646591.000,597563.000,675693.000,738895.000,824987.000,830970.000,795255.000,720910.000,367453.000,542519.000,506326.000,562442.000,521493.000,488344.000,486293.000,421748.000,220656.000,247006.000,492560.000,259359.000,227216.000,107069.000,120783.000,139535.000,170615.000,138619.000,68341.000,42892.000,76176.000,59896.000,55419.000,14008.000,19401.000,15835.000,5992.000,9224.000,29738.000,1085.000,8371.000,14247.000,52456.000,28377.000,19734.000,1776.000,9529.000,-8095.000,-112.000,11947.000,-41143.000,-27319.000,14091.000,7352.000,15793.000,8255.000,26884.000,33401.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-342995.000,-433169.000,-454949.000,-482211.000,-439837.000,-483833.000,-552692.000,-669775.000,-575611.000,-562439.000,-559113.000,-444368.000,-462909.000,-383228.000,-470995.000,-414903.000,-390624.000,-390785.000,-401839.000,-231161.000,-223803.000,-401119.000,-216190.000,-244838.000,-112017.000,-113582.000,-139427.000,-138101.000,-141015.000,-87135.000,-91931.000,-74411.000,-71632.000,-58636.000,-11426.000,-41244.000,-18857.000,-7629.000,-11065.000,-25826.000,-1184.000,-8732.000,-12491.000,-19827.000,-16879.000,-1659.000,3869.000,-58427.000,-11882.000,16797.000,-10121.000,5748.000,15310.000,-11267.000,-21977.000,-4930.000,-6712.000,-25608.000,-22849.000
3.03,Resultado Bruto,117711.000,186544.000,167540.000,164380.000,157726.000,191860.000,186203.000,155212.000,255359.000,232816.000,161797.000,-76915.000,79610.000,123098.000,91447.000,106590.000,97720.000,95508.000,19909.000,-10505.000,23203.000,91441.000,43169.000,-17622.000,-4948.000,7201.000,108.000,32514.000,-2396.000,-18794.000,-49039.000,1765.000,-11736.000,-3217.000,2582.000,-21843.000,-3022.000,-1637.000,-1841.000,3912.000,-99.000,-361.000,1756.000,32629.000,11498.000,18075.000,5645.000,-48898.000,-19977.000,16685.000,1826.000,-35395.000,-12009.000,2824.000,-14625.000,10863.000,1543.000,1276.000,10552.000
3.04,Despesas/Receitas Operacionais,-82113.000,-105951.000,-108007.000,-131258.000,-127740.000,-145109.000,-149106.000,-123349.000,-143320.000,-131365.000,-114809.000,-176814.000,-56259.000,-44723.000,-28818.000,-76009.000,-55793.000,-61001.000,-190062.000,-249989.000,-89834.000,-112063.000,-163400.000,-108179.000,-88095.000,-84282.000,-106608.000,-68029.000,-80261.000,-91929.000,-74413.000,-120740.000,-81715.000,-56312.000,-95490.000,-170704.000,-52351.000,-66528.000,-96575.000,-78125.000,-47758.000,-81636.000,-52589.000,-232395.000,-10332.000,-86343.000,-83420.000,-76310.000,-85486.000,-42458.000,-19407.000,-178605.000,-12341.000,-35345.000,-25289.000,-267067.000,-1844.000,-12434.000,-5928.000
3.04.02,Despesas Gerais e Administrativas,-41510.000,-53323.000,-43569.000,-54201.000,-60089.000,-69636.000,-66843.000,-70953.000,-58302.000,-79370.000,-35317.000,-55409.000,-43706.000,-52561.000,-45694.000,-48379.000,-45665.000,-30033.000,-62779.000,-47219.000,-41639.000,-41261.000,-49078.000,-31270.000,-30518.000,-24373.000,-23193.000,-35070.000,-21865.000,-20623.000,-19299.000,-18965.000,-15267.000,-14585.000,-10227.000,-15322.000,-11518.000,-15731.000,-7485.000,-10541.000,-8671.000,-6623.000,-8214.000,-9966.000,-6139.000,-5798.000,-8093.000,-7188.000,-7072.000,-6855.000,-5483.000,-4297.000,-3991.000,-4227.000,-4080.000,-14228.000,-3341.000,-3644.000,-3474.000
3.04.05,Outras Despesas Operacionais,-1960.000,-1730.000,3030.000,698.000,-1233.000,-5050.000,-5364.000,-973.000,-1534.000,206.000,-1716.000,-49091.000,-19034.000,340.000,29425.000,34247.000,4558.000,8726.000,-28951.000,-147612.000,-12194.000,-40780.000,-61093.000,-70402.000,-42915.000,-42962.000,-32352.000,-15906.000,-25425.000,-49759.000,-27327.000,-66948.000,-39093.000,-19947.000,-75218.000,-129764.000,-31378.000,-39486.000,-58271.000,-64560.000,-31973.000,-54995.000,-19177.000,-200703.000,14761.000,-70722.000,-71965.000,-76165.000,-74807.000,-28996.000,-11554.000,-173925.000,-7355.000,-29782.000,-24997.000,-249778.000,-5598.000,-9067.000,-5365.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35253.000,42096.000,37889.000,-6196.000,21240.000,6263.000,-40069.000,-12776.000,-14380.000,-457.000,-18648.000,21871.000,-421.000,6559.000,-31712.000,-892.000,-19466.000,-12359.000,-21057.000,-24401.000,-10754.000,-10510.000,-1626.000,-14274.000,-4500.000,-3798.000,-1958.000,655.000,-3657.000,-5387.000,-4667.000,-1525.000,-1181.000,-1449.000,-1164.000,-3348.000,-559.000,-3792.000,-604.000,-49.000,-292.000,-7.000,5176.000,59.000,8131.000,7601.000,2746.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,35598.000,80593.000,59533.000,33122.000,29986.000,46751.000,37097.000,31863.000,112039.000,101451.000,46988.000,-253729.000,23351.000,78375.000,62629.000,30581.000,41927.000,34507.000,-170153.000,-260494.000,-66631.000,-20622.000,-120231.000,-125801.000,-93043.000,-77081.000,-106500.000,-35515.000,-82657.000,-110723.000,-123452.000,-118975.000,-93451.000,-59529.000,-92908.000,-192547.000,-55373.000,-68165.000,-98416.000,-74213.000,-47857.000,-81997.000,-50833.000,-199766.000,1166.000,-68268.000,-77775.000,-125208.000,-105463.000,-25773.000,-17581.000,-214000.000,-24350.000,-32521.000,-39914.000,-256204.000,-301.000,-11158.000,4624.000
3.06,Resultado Financeiro,9169.000,12869.000,20584.000,12686.000,7882.000,1193.000,19842.000,-12707.000,-15715.000,-21518.000,-17645.000,-73722.000,-12150.000,-16653.000,-41722.000,-14525.000,-19144.000,-16397.000,-84716.000,-89790.000,-52315.000,-51747.000,-37818.000,-57103.000,-49702.000,-44258.000,-62343.000,-59289.000,-77549.000,-56853.000,-47880.000,262474.000,-40434.000,-34328.000,-56703.000,-37019.000,-27840.000,-38212.000,-50144.000,93231.000,-31756.000,53280.000,-29249.000,433039.000,-27850.000,213144.000,-35648.000,-27742.000,-50042.000,-33630.000,-21309.000,16737.000,-24613.000,-9125.000,-9464.000,987664.000,-30394.000,-17058.000,-65429.000
3.06.01,Receitas Financeiras,18712.000,24368.000,35862.000,30284.000,22881.000,33299.000,55339.000,90811.000,30099.000,25339.000,59523.000,-5661.000,29917.000,43149.000,22951.000,33260.000,31043.000,54181.000,24533.000,-23542.000,18669.000,14471.000,24686.000,16546.000,11436.000,11566.000,7207.000,7855.000,5348.000,7136.000,3949.000,319855.000,5283.000,2321.000,1702.000,1240.000,1533.000,4125.000,1574.000,125522.000,3764.000,94717.000,3273.000,465316.000,1272.000,247101.000,1933.000,1316.000,1545.000,1183.000,1766.000,1442.000,543.000,542.000,506.000,1046125.000,1645.000,1321.000,12613.000
3.06.02,Despesas Financeiras,-9543.000,-11499.000,-15278.000,-17598.000,-14999.000,-32106.000,-35497.000,-103518.000,-45814.000,-46857.000,-77168.000,-68061.000,-42067.000,-59802.000,-64673.000,-47785.000,-50187.000,-70578.000,-109249.000,-66248.000,-70984.000,-66218.000,-62504.000,-73649.000,-61138.000,-55824.000,-69550.000,-67144.000,-82897.000,-63989.000,-51829.000,-57381.000,-45717.000,-36649.000,-58405.000,-38259.000,-29373.000,-42337.000,-51718.000,-32291.000,-35520.000,-41437.000,-32522.000,-32277.000,-29122.000,-33957.000,-37581.000,-29058.000,-51587.000,-34813.000,-23075.000,15295.000,-25156.000,-9667.000,-9970.000,-58461.000,-32039.000,-18379.000,-78042.000
3.07,Resultado Antes dos Tributos sobre o Lucro,44767.000,93462.000,80117.000,45808.000,37868.000,47944.000,56939.000,19156.000,96324.000,79933.000,29343.000,-327451.000,11201.000,61722.000,20907.000,16056.000,22783.000,18110.000,-254869.000,-350284.000,-118946.000,-72369.000,-158049.000,-182904.000,-142745.000,-121339.000,-168843.000,-94804.000,-160206.000,-167576.000,-171332.000,143499.000,-133885.000,-93857.000,-149611.000,-229566.000,-83213.000,-106377.000,-148560.000,19018.000,-79613.000,-28717.000,-80082.000,233273.000,-26684.000,144876.000,-113423.000,-152950.000,-155505.000,-59403.000,-38890.000,-197263.000,-48963.000,-41646.000,-49378.000,731460.000,-30695.000,-28216.000,-60805.000
