data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,168072.0
2019-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-112316.0
2019-12-31,T4,3.03,Resultado Bruto,55756.0
2019-12-31,T4,3.04,Despesas/Receitas Operacionais,-25500.0
2019-12-31,T4,3.04.01,Despesas com Vendas,-16670.0
2019-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-14466.0
2019-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2019-12-31,T4,3.04.04,Outras Receitas Operacionais,5636.0
2019-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2019-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2019-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,30256.0
2019-12-31,T4,3.06,Resultado Financeiro,-8592.0
2019-12-31,T4,3.06.01,Receitas Financeiras,2442.0
2019-12-31,T4,3.06.02,Despesas Financeiras,-11034.0
2019-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,21664.0
2019-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-4360.0
2019-12-31,T4,3.08.01,Corrente,-7050.0
2019-12-31,T4,3.08.02,Diferido,2690.0
2019-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,17304.0
2019-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2019-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2019-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2019-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,17304.0
2019-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,17304.0
2019-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2019-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2019-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2019-12-31,T4,3.99.01.01,ON,28.50741
2019-12-31,T4,3.99.01.02,PN,31.35815
2019-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2020-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,195289.0
2020-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-122493.0
2020-12-31,T4,3.03,Resultado Bruto,72796.0
2020-12-31,T4,3.04,Despesas/Receitas Operacionais,-9791.0
2020-12-31,T4,3.04.01,Despesas com Vendas,-18022.0
2020-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-21820.0
2020-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2020-12-31,T4,3.04.04,Outras Receitas Operacionais,30051.0
2020-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2020-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2020-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,63005.0
2020-12-31,T4,3.06,Resultado Financeiro,-66006.0
2020-12-31,T4,3.06.01,Receitas Financeiras,3314.0
2020-12-31,T4,3.06.02,Despesas Financeiras,-69320.0
2020-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-3001.0
2020-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2708.0
2020-12-31,T4,3.08.01,Corrente,-9471.0
2020-12-31,T4,3.08.02,Diferido,6763.0
2020-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-5709.0
2020-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2020-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2020-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2020-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-5709.0
2020-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-5709.0
2020-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2020-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2020-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2020-12-31,T4,3.99.01.01,ON,-9.40527
2020-12-31,T4,3.99.01.02,PN,-10.3458
2020-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2021-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,323108.0
2021-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-202693.0
2021-12-31,T4,3.03,Resultado Bruto,120415.0
2021-12-31,T4,3.04,Despesas/Receitas Operacionais,-52088.0
2021-12-31,T4,3.04.01,Despesas com Vendas,-23610.0
2021-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-20126.0
2021-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2021-12-31,T4,3.04.04,Outras Receitas Operacionais,-8352.0
2021-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2021-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2021-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,68327.0
2021-12-31,T4,3.06,Resultado Financeiro,35180.0
2021-12-31,T4,3.06.01,Receitas Financeiras,51004.0
2021-12-31,T4,3.06.02,Despesas Financeiras,-15824.0
2021-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,103507.0
2021-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-14713.0
2021-12-31,T4,3.08.01,Corrente,-16108.0
2021-12-31,T4,3.08.02,Diferido,1395.0
2021-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,88794.0
2021-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2021-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2021-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2021-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,88794.0
2021-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,0.0
2021-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2021-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2021-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2021-12-31,T4,3.99.01.01,ON,146.28336
2021-12-31,T4,3.99.01.02,PN,160.9117
2021-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2022-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,393625.0
2022-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-251850.0
2022-12-31,T4,3.03,Resultado Bruto,141775.0
2022-12-31,T4,3.04,Despesas/Receitas Operacionais,-38649.0
2022-12-31,T4,3.04.01,Despesas com Vendas,-25981.0
2022-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-13647.0
2022-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2022-12-31,T4,3.04.04,Outras Receitas Operacionais,979.0
2022-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2022-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2022-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,103126.0
