data_fim,trimestre,cd_conta,ds_conta,valor_mil
2011-03-31,T1,3.01,Receitas da Intermediação Financeira,11802091.0
2011-03-31,T1,3.01.01,Receitas com Juros e Similares,11802091.0
2011-03-31,T1,3.02,Despesas da Intermediação Financeira,-5163164.0
2011-03-31,T1,3.02.01,Despesas com Juros e Similares,-5163164.0
2011-03-31,T1,3.03,Resultado Bruto Intermediação Financeira,6638927.0
2011-03-31,T1,3.04,Outras Despesas/Receitas Operacionais,-3717195.0
2011-03-31,T1,3.04.01,Receitas de Prestação de Serviços,1782254.0
2011-03-31,T1,3.04.02,Despesas de Pessoal,-1615816.0
2011-03-31,T1,3.04.03,Outras Despesas Administrativas,-1343666.0
2011-03-31,T1,3.04.04,Despesas Tributárias,0.0
2011-03-31,T1,3.04.05,Outras Receitas Operacionais,477560.0
2011-03-31,T1,3.04.05.01,Receitas de Instrumentos de Patrimônio,4767.0
2011-03-31,T1,3.04.05.02,Ganhos (perdas) com Ativos e Passivos Financeiros (líquidos),500823.0
2011-03-31,T1,3.04.05.03,Variações Cambiais Líquidas,-28448.0
2011-03-31,T1,3.04.05.04,Outras Receitas (despesas) Operacionais,-28349.0
2011-03-31,T1,3.04.05.05,Resultado na Alienação de Ativos não Classificados como Ativos não Correntes Mantidos para Venda,1545.0
2011-03-31,T1,3.04.05.06,Resultado na Alienação de Ativos não Correntes Mantidos para Venda não Classif. como Op. Descont.,27222.0
2011-03-31,T1,3.04.06,Outras Despesas Operacionais,-3035720.0
2011-03-31,T1,3.04.06.01,Depreciação e Amortização,-338153.0
2011-03-31,T1,3.04.06.02,Provisões (líquidas),-629712.0
2011-03-31,T1,3.04.06.03,Perdas com Ativos Financeiros (líquidas),-2058659.0
2011-03-31,T1,3.04.06.04,Perdas com Outros Ativos (líquidas),-9196.0
2011-03-31,T1,3.04.07,Resultado da Equivalência Patrimonial,18193.0
2011-03-31,T1,3.05,Resultado Antes dos Tributos sobre o Lucro,2921732.0
2011-03-31,T1,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-850561.0
2011-03-31,T1,3.06.01,Corrente,0.0
2011-03-31,T1,3.06.02,Diferido,0.0
2011-03-31,T1,3.07,Resultado Líquido das Operações Continuadas,2071171.0
2011-03-31,T1,3.08,Resultado Líquido das Operações Descontinuadas,0.0
2011-03-31,T1,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2011-03-31,T1,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2011-03-31,T1,3.09,Lucro/Prejuízo Consolidado do Período,2071171.0
2011-03-31,T1,3.09.01,Atribuído a Sócios da Empresa Controladora,2068699.0
2011-03-31,T1,3.09.02,Atribuído a Sócios Não Controladores,2472.0
2011-03-31,T1,3.99,Lucro por Ação - (R$ / Ação),0.0
2011-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2011-03-31,T1,3.99.01.01,ON,0.00495
2011-03-31,T1,3.99.01.02,PN,0.00545
2011-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2011-06-30,T2,3.01,Receitas da Intermediação Financeira,12683080.0
2011-06-30,T2,3.01.01,Receitas com Juros e Similares,12683080.0
2011-06-30,T2,3.02,Despesas da Intermediação Financeira,-5923410.0
2011-06-30,T2,3.02.01,Despesas com Juros e Similares,-5923410.0
2011-06-30,T2,3.03,Resultado Bruto Intermediação Financeira,6759670.0
2011-06-30,T2,3.04,Outras Despesas/Receitas Operacionais,-3720868.0
2011-06-30,T2,3.04.01,Receitas de Prestação de Serviços,1865972.0
2011-06-30,T2,3.04.02,Despesas de Pessoal,-1581235.0
2011-06-30,T2,3.04.03,Outras Despesas Administrativas,-1385647.0
2011-06-30,T2,3.04.04,Despesas Tributárias,0.0
2011-06-30,T2,3.04.05,Outras Receitas Operacionais,651547.0
2011-06-30,T2,3.04.05.01,Receitas de Instrumentos de Patrimônio,44750.0
2011-06-30,T2,3.04.05.02,Ganhos (perdas) com Ativos e Passivos Financeiros (líquidos),635145.0
2011-06-30,T2,3.04.05.03,Variações Cambiais Líquidas,141467.0
2011-06-30,T2,3.04.05.04,Outras Receitas (despesas) Operacionais,-147354.0
2011-06-30,T2,3.04.05.05,Resultado na Alienação de Ativos não Classificados como Ativos não Correntes Mantidos para Venda,-58.0
2011-06-30,T2,3.04.05.06,Resultado na Alienação de Ativos não Correntes Mantidos para Venda não Classif. como Op. Descont.,-22403.0
