cd_conta,conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2733022.0,3161540.0,3323218.0,3933727.0,3742918.0,4703859.0,5148820.0,6193860.0,6234905.0,6624795.0,7118794.0,7146492.0,7048483.0,7466035.0,7612231.0,8470247.0,8244964.0,8124505.0,8232827.0,8614447.0,7928283.0,8328862.0,8440562.0,8945967.0,8449215.0,8435538.0,9069848.0
2.01,Passivo Circulante,905547.0,905207.0,917136.0,1093629.0,869912.0,771287.0,1037796.0,1852278.0,1829023.0,2043708.0,2246384.0,2161217.0,1892060.0,1971334.0,2024375.0,2948338.0,2740677.0,2657264.0,2479608.0,2841656.0,2216969.0,2633233.0,2718944.0,3222231.0,2899519.0,3188419.0,3330494.0
2.01.01,Obrigações Sociais e Trabalhistas,116498.0,128853.0,144220.0,151318.0,151501.0,107939.0,121577.0,93688.0,95905.0,122777.0,148492.0,157520.0,170080.0,155934.0,191546.0,191851.0,192053.0,156743.0,164454.0,174290.0,175290.0,185321.0,232287.0,259307.0,144507.0,176300.0,217183.0
2.01.02,Fornecedores,397318.0,442864.0,492862.0,661010.0,383414.0,367394.0,611881.0,654813.0,697107.0,745432.0,848444.0,914294.0,791271.0,1011981.0,919548.0,1561547.0,1023366.0,1104435.0,811701.0,1154277.0,902346.0,992013.0,1042815.0,1147769.0,969298.0,1151501.0,1233198.0
2.01.03,Obrigações Fiscais,119990.0,161929.0,114913.0,126648.0,197650.0,79836.0,86316.0,278545.0,156429.0,175623.0,245830.0,195104.0,123381.0,153264.0,195488.0,272658.0,247855.0,260285.0,294846.0,391147.0,384814.0,449377.0,476759.0,669821.0,665606.0,696455.0,730516.0
2.01.04,Empréstimos e Financiamentos,122442.0,27197.0,26348.0,27037.0,7866.0,151228.0,161562.0,213203.0,254893.0,426835.0,453949.0,207476.0,233080.0,275865.0,320732.0,277918.0,850276.0,535993.0,689358.0,624004.0,527720.0,760074.0,706050.0,703448.0,487097.0,748447.0,671919.0
2.01.05,Outras Obrigações,149299.0,144364.0,138793.0,127616.0,129481.0,64890.0,56460.0,594676.0,604849.0,554140.0,530223.0,666750.0,547254.0,349257.0,344027.0,491513.0,427127.0,599808.0,519249.0,433852.0,226799.0,246448.0,261033.0,337505.0,633011.0,415716.0,477678.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17353.0,19840.0,18901.0,19446.0,20073.0,26994.0,25033.0,53034.0,152851.0,0.0,0.0,0.0,64086.0,0.0,0.0,0.0,104381.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,1639778.0,1303098.0,1414931.0,1671434.0,1690013.0,1979197.0,2189283.0,2390896.0,2439832.0,2681319.0,2682058.0,2760640.0,3041473.0,3220309.0,3269142.0,3112055.0,3129110.0,3164409.0,3291171.0,3231190.0,3105970.0,2814670.0,2730837.0,2711392.0,2642707.0,2336619.0,2760679.0
2.02.01,Empréstimos e Financiamentos,267499.0,9547.0,8691.0,7553.0,8778.0,1387120.0,1606464.0,1587253.0,1655045.0,1818739.0,1890633.0,1911402.0,2019423.0,2239353.0,2288953.0,2213814.0,854465.0,2289408.0,2434650.0,2384462.0,2300451.0,2307238.0,2228317.0,2213862.0,2146610.0,1857229.0,2292535.0
2.02.02,Outras Obrigações,162470.0,137654.0,146522.0,136270.0,124620.0,115584.0,106274.0,101776.0,91383.0,108614.0,100198.0,90690.0,83215.0,74057.0,68627.0,189233.0,1697618.0,65309.0,64563.0,64553.0,64156.0,195631.0,194488.0,197885.0,189791.0,184639.0,179095.0
2.02.03,Tributos Diferidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6986.0,6986.0,9245.0,9724.0,10065.0,10393.0,10710.0,11019.0,11278.0,11522.0,11784.0,12046.0,12353.0,12705.0,13105.0
2.02.04,Provisões,1209809.0,1155897.0,1259718.0,1527611.0,1556615.0,476493.0,476545.0,701867.0,693404.0,753966.0,691227.0,758548.0,931849.0,899913.0,902317.0,699284.0,566962.0,799299.0,781248.0,771156.0,730085.0,300279.0,296248.0,287599.0,293953.0,282046.0,275944.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,187697.0,953235.0,991151.0,1168664.0,1182993.0,1953375.0,1921741.0,1950686.0,1966050.0,1899768.0,2190352.0,2224635.0,2114950.0,2274392.0,2318714.0,2409854.0,2375177.0,2302832.0,2462048.0,2541601.0,2605344.0,2880959.0,2990781.0,3012344.0,2906989.0,2910500.0,2978675.0
2.03.01,Capital Social Realizado,302781.0,956143.0,955277.0,955277.0,955277.0,1821807.0,1817078.0,1815485.0,1815485.0,1816659.0,1822798.0,1823527.0,1823527.0,1823527.0,1823527.0,1830524.0,1830524.0,1830524.0,1830872.0,1830872.0,1830872.0,1831045.0,1831554.0,1832326.0,1832326.0,1832326.0,1836549.0
