codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,15.0543,-59.6219,10.0534,11.76,10.99,3.2472,5.5319,5.7404
P_VPA,P/VPA,Valuation,x,5.8159,3.3769,2.2512,1.1887,1.0539,0.8254,0.9209,0.9557
EV_EBITDA,EV/EBITDA,Valuation,x,14.3508,47.1088,6.483,6.6648,4.9694,4.3179,5.0314,5.1355
EV_EBIT,EV/EBIT,Valuation,x,14.3508,-108.1828,16.3472,12.2889,9.0636,7.2,9.1548,9.3441
EV_RECEITA,EV/Receita,Valuation,x,2.6424,3.2712,1.2871,0.7887,0.6884,0.6162,0.6684,0.6822
DY,Dividend Yield,Valuation,%,,,,0.8677,1.0698,1.4724,4.2185,4.0652
PAYOUT,Payout,Valuation,%,,,,12.1492,16.975,6.8326,34.5504,34.5504
ROE,ROE,Rentabilidade,%,26.5027,7.2326,23.8464,8.8295,6.8187,19.2956,11.2216,11.2216
ROA,ROA,Rentabilidade,%,7.8736,2.2277,7.4635,2.6203,1.9762,6.1027,3.8255,3.8255
ROIC,ROIC,Rentabilidade,%,28.1741,-1.484,6.9994,5.9156,7.4954,8.1895,6.8851,6.8851
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,18.4131,6.944,19.8535,11.8345,13.8534,14.2714,13.2848,13.2848
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,12.168,4.6868,9.7414,3.268,2.4155,7.4924,4.4772,4.4772
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.1509,7.6954,1.5469,2.7984,2.2027,1.8817,2.2711,2.2711
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0605,0.6593,0.7055,0.8604,0.8391,0.6376,0.7578,0.7578
ICJ,ICJ,Endividamento,x,1.6788,-0.3144,1.0669,0.9173,0.8992,2.0393,1.4196,1.4196
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,78.1642,11.8416,9.7918,11.1536,20.7416,24.1129,22.6659,22.6659
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.427,1.7757,1.6738,1.5353,1.65,1.5128,1.4363,1.4363
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0351,1.2948,1.1915,0.9461,1.052,0.9958,0.8155,0.8155
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.805,0.994,1.0128,0.9864,1.0097,1.0792,1.0818,1.0818
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6471,0.3886,0.7151,0.7391,0.8113,0.7994,0.8248,0.8248
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,17.9066,209.8633,110.4196,117.6515,135.6943,140.4296,149.675,149.675
PME,PME,Eficiência,dias,119.8901,236.3567,136.0135,188.3624,166.5112,164.8268,193.1869,193.1869
NCG_RECEITA,NCG/Receita,Eficiência,%,15.2696,47.1846,21.8035,22.9648,22.8249,19.0032,18.9508,18.9508
