codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,2696775.27,6796802.14,6587272.3,5008189.23,2864690.58,2678671.43,2486492.27,3172168.74,3118485.88
P_L,P/L,Valuation,x,18.1298,21.9445,-58.3952,10.06,14.0013,15.8678,4.6404,9.4711,9.3108
P_VPA,P/VPA,Valuation,x,14.085,5.8159,3.3769,2.2512,1.1887,1.0539,0.8254,1.065,1.0469
EV_EBITDA,EV/EBITDA,Valuation,x,15.6301,16.804,47.1088,6.483,6.6648,5.1583,4.3179,5.4631,5.409
EV_EBIT,EV/EBIT,Valuation,x,15.6301,16.804,-108.1828,16.3472,12.2889,9.4082,7.2,9.9402,9.8419
EV_RECEITA,EV/Receita,Valuation,x,1.2363,3.0941,3.2712,1.2871,0.7887,0.7146,0.6162,0.7258,0.7186
DY,Dividend Yield,Valuation,%,4.2908,1.7025,2.0153,2.6607,4.663,4.9897,5.3814,4.2182,4.2908
PAYOUT,Payout,Valuation,%,77.7917,37.3599,-117.6845,26.7665,65.2877,79.1752,24.972,39.9508,39.9508
ROE,ROE,Rentabilidade,%,77.6898,45.5438,-7.2326,23.8464,8.8295,6.8187,19.2957,11.2216,11.2216
ROA,ROA,Rentabilidade,%,8.2716,10.8069,-2.2277,7.4635,2.6203,1.9762,6.1027,3.8255,3.8255
ROIC,ROIC,Rentabilidade,%,38.6516,13.7619,-1.484,6.9994,5.9156,7.2131,8.1895,6.8851,6.8851
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,7.9096,18.4131,6.944,19.8535,11.8345,13.8534,14.2714,13.2848,13.2848
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.5382,12.168,-4.6868,9.7414,3.268,2.4155,7.4924,4.4772,4.4772
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.6436,2.3024,7.6954,1.5469,2.7984,2.3916,1.8817,2.2711,2.2711
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.6048,0.9234,0.6593,0.7055,0.8604,0.911,0.6376,0.7578,0.7578
ICJ,ICJ,Endividamento,x,1.1783,1.6788,-0.3144,1.0669,0.9173,0.8992,2.1435,1.0491,1.0491
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,26.3947,10.2676,11.8416,9.7918,11.1536,25.2844,24.1129,22.6659,22.6659
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.8941,1.427,1.7757,1.6738,1.5353,1.65,1.5128,1.4363,1.4363
LIQ_SECA,Liquidez Seca,Liquidez,x,0.5346,1.0351,1.2948,1.1915,0.9461,1.052,0.9958,0.8155,0.8155
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.7753,0.805,0.994,1.0128,0.9864,1.0097,1.0792,1.0818,1.0818
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.2651,0.6471,0.3886,0.7151,0.7391,0.8113,0.7994,0.8248,0.8248
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-50.661,17.9066,209.8633,110.4196,117.6515,135.6943,140.4296,149.675,149.675
PME,PME,Eficiência,dias,104.0127,119.8901,236.3567,136.0135,188.3624,166.5112,164.8268,193.1869,193.1869
NCG_RECEITA,NCG/Receita,Eficiência,%,-10.8501,18.985,47.1846,21.8035,22.9648,25.442,19.0032,18.9508,18.9508
