cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,139166.0,185208.0,75861.0,76974.0,78135.0,73342.0,222018.0,76743.0,68925.0,109391.0,67892.0,306216.0,180483.0,69910.0,56797.0,62030.0,57036.0,129560.0,61593.0,124186.0,65523.0,61172.0,144705.0,67964.0,75663.0,60705.0,60457.0,91237.0,65036.0,67349.0,79235.0,173523.0,211491.0,314642.0,88275.0,785598.0,110895.0,158726.0,66938.0,172329.0,61312.0,102554.0,60676.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-34231.0,-30987.0,-11015.0,-11419.0,-15875.0,-11081.0,-53836.0,-10822.0,-10549.0,-26161.0,-11231.0,-132605.0,-103782.0,-23824.0,-10099.0,-14185.0,-10456.0,-18625.0,-10938.0,-54994.0,-11854.0,-11767.0,-28397.0,-15270.0,-11870.0,-12133.0,-12538.0,-17151.0,-15359.0,-15488.0,-20512.0,-100281.0,-113789.0,-166222.0,-30933.0,-397154.0,-74798.0,-98887.0,-30047.0,-121784.0,-22105.0,-58467.0,-35199.0
3.03,Resultado Bruto,104935.0,154221.0,64846.0,65555.0,62260.0,62261.0,168182.0,65921.0,58376.0,83230.0,56661.0,173611.0,76701.0,46086.0,46698.0,47845.0,46580.0,110935.0,50655.0,69192.0,53669.0,49405.0,116308.0,52694.0,63793.0,48572.0,47919.0,74086.0,49677.0,51861.0,58723.0,73242.0,97702.0,148420.0,57342.0,388444.0,36097.0,59839.0,36891.0,50545.0,39207.0,44087.0,25477.0
3.04,Despesas/Receitas Operacionais,-10332.0,-15220.0,-12263.0,-11607.0,-15696.0,-15734.0,-15490.0,-13097.0,-16040.0,-17327.0,-14562.0,-25048.0,-17368.0,-15157.0,-14090.0,-19468.0,-11874.0,-18446.0,-15197.0,-20565.0,-12510.0,-15205.0,-14771.0,-9910.0,-16972.0,-18046.0,-17789.0,-25820.0,-21142.0,-21542.0,-23198.0,-17674.0,-26894.0,-24988.0,-20530.0,-67513.0,-18486.0,-17608.0,-17477.0,-39308.0,-15677.0,-14695.0,-17916.0
3.04.02,Despesas Gerais e Administrativas,-8827.0,-8977.0,-8655.0,-6083.0,-8780.0,-8958.0,-9015.0,-10712.0,-9794.0,-9832.0,-9224.0,-16148.0,-8173.0,-8933.0,-8672.0,-14445.0,-9138.0,-9371.0,-10064.0,-16775.0,-8622.0,-9612.0,-9672.0,-7733.0,-10079.0,-10371.0,-11218.0,-19194.0,-11071.0,-11933.0,-12833.0,-10273.0,-11476.0,-11497.0,-11233.0,-29872.0,-9180.0,-8180.0,-11018.0,-9133.0,-8974.0,-9789.0,-11558.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-394.0,-394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,-155.0,-516.0,-43.0,-211.0,-514.0,-1011.0,-1306.0,723.0,-904.0,-862.0,-827.0,-705.0,-547.0,-580.0,-539.0,-570.0,-399.0,-306.0,-477.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,94603.0,139001.0,52583.0,53948.0,46564.0,46527.0,152692.0,52824.0,42336.0,65903.0,42099.0,148563.0,59333.0,30929.0,32608.0,28377.0,34706.0,92489.0,35458.0,48627.0,41159.0,34200.0,101537.0,42784.0,46821.0,30526.0,30130.0,48266.0,28535.0,30319.0,35525.0,55568.0,70808.0,123432.0,36812.0,320931.0,17611.0,42231.0,19414.0,11237.0,23530.0,29392.0,7561.0
3.06,Resultado Financeiro,-23390.0,-38744.0,-41578.0,-42874.0,-42142.0,-41745.0,-40790.0,-40606.0,-37227.0,-34730.0,-34595.0,-32346.0,-30991.0,-29029.0,-26021.0,-25948.0,-24739.0,-26804.0,-24997.0,-28426.0,-24486.0,-19836.0,-21456.0,-21162.0,-18004.0,-18031.0,-21998.0,-40199.0,-44323.0,-54880.0,-51660.0,-56888.0,-77024.0,-56238.0,-41487.0,-45929.0,-24801.0,-24303.0,-26749.0,-26198.0,-24822.0,-27726.0,-26027.0
