codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,4.7586,11.2979,12.6676,7.2574,19.3117,16.2974,35.3072,-8.2399,,,-31.5419,-27.818
P_VPA,P/VPA,Valuation,x,0.6331,0.6669,1.1017,0.8337,1.156,1.0375,0.9616,0.4507,0.5864,0.5336,0.6159,0.5432
EV_EBITDA,EV/EBITDA,Valuation,x,5.8927,6.67,7.9054,11.1418,11.1457,9.771,15.5532,11.446,3.6416,11.8114,13.2709,12.4007
EV_EBIT,EV/EBIT,Valuation,x,6.5941,7.6462,9.0221,14.1291,13.4366,11.8903,20.5889,16.1268,3.9763,18.9603,23.4056,21.8708
EV_RECEITA,EV/Receita,Valuation,x,4.7,5.0711,4.8816,5.7878,7.6237,7.697,11.1316,6.2786,1.5677,3.3716,4.2297,3.9523
DY,Dividend Yield,Valuation,%,5.678,1.3534,4.3564,,1.2775,0.2322,1.4371,1.2764,,25.0262,11.1359,12.6266
PAYOUT,Payout,Valuation,%,27.7513,15.5744,56.1826,,25.1434,4.2182,63.3398,10.3178,,630.2605,365.6027,365.6027
ROE,ROE,Rentabilidade,%,12.9532,5.9409,8.7917,1.2125,6.0284,5.8541,2.1961,5.4129,18.8667,2.0039,1.7776,1.7776
ROA,ROA,Rentabilidade,%,5.3424,2.5143,3.9764,0.5968,3.0606,2.9466,1.0529,2.3766,8.5739,1.0227,0.966,0.966
ROIC,ROIC,Rentabilidade,%,8.2971,7.2321,7.725,4.2113,5.3467,5.6774,3.1462,3.0591,12.514,2.4473,2.0945,2.0945
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,79.7598,76.0282,61.75,51.9471,68.4009,78.7732,71.5711,54.8542,43.0507,28.5454,31.8721,31.8721
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,34.2357,17.0723,21.7436,4.6138,23.3418,26.1857,11.9419,21.5312,21.6917,6.4694,7.1557,7.1557
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,3.7948,4.086,3.3643,5.0399,4.4291,3.7322,8.1991,8.2731,1.9566,6.1039,5.8999,5.8999
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.1452,1.0545,0.8162,0.6886,0.7623,0.6412,1.0721,1.1752,0.6809,0.5707,0.493,0.493
ICJ,ICJ,Endividamento,x,1.8079,1.4653,1.8239,1.1256,1.7436,2.1949,1.3588,0.6477,2.0814,0.5557,0.4539,0.4539
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,6.601,8.6116,9.528,8.7679,3.5563,10.9207,26.8242,8.385,9.9719,11.1858,12.8446,12.8446
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.1449,1.7123,2.4743,2.1525,4.4878,2.7309,0.55,2.5574,2.7742,3.0225,3.3019,3.3019
LIQ_SECA,Liquidez Seca,Liquidez,x,2.1449,1.7123,2.4743,2.1525,4.4878,2.7309,0.55,2.5574,2.7742,3.0225,3.3019,3.3019
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.2345,0.2664,0.392,0.3569,0.3297,0.4308,0.1984,0.3321,0.7789,0.6735,0.6309,0.6309
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.156,0.1473,0.1851,0.1356,0.126,0.1104,0.0833,0.1094,0.3928,0.1771,0.1384,0.1384
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,52.4246,53.9299,96.6523,85.7391,93.7368,154.006,231.4664,92.0258,77.5892,286.5106,357.5527,357.5527
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,4.1682,4.2111,16.1999,7.9703,16.4812,25.8357,44.8042,85.4527,31.9024,76.6575,84.8964,84.8964
