data_fim,trimestre,cd_conta,ds_conta,valor_mil
2012-12-31,T4,1,Ativo Total,379291.0
2012-12-31,T4,1.01,Ativo Circulante,74055.0
2012-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,17182.0
2012-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2012-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2012-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2012-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2012-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2012-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2012-12-31,T4,1.01.03,Contas a Receber,47454.0
2012-12-31,T4,1.01.03.01,Clientes,47454.0
2012-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2012-12-31,T4,1.01.04,Estoques,0.0
2012-12-31,T4,1.01.05,Ativos Biológicos,0.0
2012-12-31,T4,1.01.06,Tributos a Recuperar,4425.0
2012-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,4425.0
2012-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2012-12-31,T4,1.01.08,Outros Ativos Circulantes,4994.0
2012-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2012-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2012-12-31,T4,1.01.08.03,Outros,4994.0
2012-12-31,T4,1.01.08.03.01,Adiantamentos a Fornecedores,1945.0
2012-12-31,T4,1.01.08.03.02,Partes Relacionadas,171.0
2012-12-31,T4,1.01.08.03.03,Outros Ativos,2878.0
2012-12-31,T4,1.02,Ativo Não Circulante,305236.0
2012-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,8136.0
2012-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2012-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2012-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2012-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2012-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2012-12-31,T4,1.02.01.03,Contas a Receber,7695.0
2012-12-31,T4,1.02.01.03.01,Clientes,7695.0
2012-12-31,T4,1.02.01.03.02,Outras Contas a Receber,0.0
2012-12-31,T4,1.02.01.04,Estoques,0.0
