data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,58224.0
2010-12-31,T4,6.01.01,Caixa Gerado nas Operações,74035.0
2010-12-31,T4,6.01.01.01,Lucro antes do imposto de renda da contribuição social,36755.0
2010-12-31,T4,6.01.01.02,Depreciação e amortização,9070.0
2010-12-31,T4,6.01.01.03,Ganho ou perda na alienação de imobilizado,13559.0
2010-12-31,T4,6.01.01.04,Resultado de equivalência patrimonial,0.0
2010-12-31,T4,6.01.01.05,Constituição de provisão para credito de liquidacao duvidosa,2197.0
2010-12-31,T4,6.01.01.06,"Juros,variações monetarias e cambiais,liquidas",12454.0
2010-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-5762.0
2010-12-31,T4,6.01.02.01,Contas a receber de clientes,-16440.0
2010-12-31,T4,6.01.02.02,Tributos a recuperar,-468.0
2010-12-31,T4,6.01.02.03,Outros ativos,-1393.0
2010-12-31,T4,6.01.02.04,Fornecedores,-180.0
2010-12-31,T4,6.01.02.05,Salários e encargos sociais,3592.0
2010-12-31,T4,6.01.02.06,Tributos a pagar,1142.0
2010-12-31,T4,6.01.02.07,Compromissos a pagar,1890.0
2010-12-31,T4,6.01.02.08,Outros passivos,6095.0
2010-12-31,T4,6.01.03,Outros,-10049.0
2010-12-31,T4,6.01.03.01,Impostos de renda e constituiçao social pago,-1102.0
2010-12-31,T4,6.01.03.02,Juros de emprestimos,-8947.0
2010-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-63304.0
2010-12-31,T4,6.02.01,Adições ao investimento,0.0
2010-12-31,T4,6.02.02,Adições ao imobilizado,-60758.0
2010-12-31,T4,6.02.03,Adições ao intangivel,-2546.0
2010-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-10002.0
2010-12-31,T4,6.03.01,Captação de emprestimos e fianciamentos,6234.0
2010-12-31,T4,6.03.02,Amortização de emprestimos e financiamentos,-3012.0
2010-12-31,T4,6.03.03,Amortização de arrendamentos mercantis,-759.0
2010-12-31,T4,6.03.04,Partes relacionadas,7168.0
2010-12-31,T4,6.03.05,Dividendos pagos no exercicio,-19633.0
2010-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2010-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-15082.0
2010-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,17485.0
2010-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,2403.0
2011-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,33578.0
2011-12-31,T4,6.01.01,Caixa Gerado nas Operações,64689.0
2011-12-31,T4,6.01.01.01,Lucro antes do imposto de renda e da contribuição social,33284.0
2011-12-31,T4,6.01.01.02,Depreciação e amortização,11134.0
2011-12-31,T4,6.01.01.03,Ganho ou perda na alienação de imobilizado e intangível,0.0
2011-12-31,T4,6.01.01.04,Resultado de equivalência patrimonial,0.0
2011-12-31,T4,6.01.01.05,Constituição de provisão para crédito de liquidação duvidosa,6741.0
2011-12-31,T4,6.01.01.06,"Juros, variações monetárias e cambiais, líquidas",13530.0
2011-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-20237.0
2011-12-31,T4,6.01.02.01,Contas a receber de clientes,-20480.0
2011-12-31,T4,6.01.02.02,Tributos a recuperar,-2563.0
2011-12-31,T4,6.01.02.03,Outros ativos,-4714.0
2011-12-31,T4,6.01.02.04,Fornecedores,4152.0
2011-12-31,T4,6.01.02.05,Salários e encargos sociais,1468.0
2011-12-31,T4,6.01.02.06,Tributos a pagar,-10.0
2011-12-31,T4,6.01.02.07,Contas a pagar por aquisição de investimento,0.0
2011-12-31,T4,6.01.02.08,Outros passivos,1910.0
2011-12-31,T4,6.01.03,Outros,-10874.0
2011-12-31,T4,6.01.03.01,Imposto de renda e contribuição social pago,-1732.0
2011-12-31,T4,6.01.03.02,Juros pagos de empréstimos,-9142.0
2011-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-57878.0
2011-12-31,T4,6.02.01,Títulos e valores mobiliários,-9175.0
2011-12-31,T4,6.02.02,Adições ao Investimento,0.0
2011-12-31,T4,6.02.03,Adições ao imobilizado,-45997.0
2011-12-31,T4,6.02.04,Adições ao intangível,-2706.0
2011-12-31,T4,6.02.05,Distribuição de lucros das investidas,0.0
2011-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,25284.0
2011-12-31,T4,6.03.01,Captação de empréstimos e financiamentos,35061.0
2011-12-31,T4,6.03.02,Amortização de empréstimos e financiamentos,-2679.0
2011-12-31,T4,6.03.03,Amortização de arrendamentos mercantis,-754.0
2011-12-31,T4,6.03.04,Partes relacionadas,0.0
2011-12-31,T4,6.03.05,Dividendos antecipados,-6344.0
