data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,269498.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-103011.0
2015-03-31,T1,3.03,Resultado Bruto,166487.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-72214.0
2015-03-31,T1,3.04.01,Despesas com Vendas,0.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-70168.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,0.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,-2046.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,94273.0
2015-03-31,T1,3.06,Resultado Financeiro,-8325.0
2015-03-31,T1,3.06.01,Receitas Financeiras,8474.0
2015-03-31,T1,3.06.02,Despesas Financeiras,-16799.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,85948.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-3104.0
2015-03-31,T1,3.08.01,Corrente,-3104.0
2015-03-31,T1,3.08.02,Diferido,0.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,82844.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,82844.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,82844.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,0.66255
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,273164.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-127282.0
2015-06-30,T2,3.03,Resultado Bruto,145882.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,-84677.0
2015-06-30,T2,3.04.01,Despesas com Vendas,0.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-82385.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,0.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,-2292.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,61205.0
2015-06-30,T2,3.06,Resultado Financeiro,-10318.0
2015-06-30,T2,3.06.01,Receitas Financeiras,10117.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-20435.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,50887.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1881.0
2015-06-30,T2,3.08.01,Corrente,-1881.0
2015-06-30,T2,3.08.02,Diferido,0.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,49006.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,49006.0
2015-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,49006.0
2015-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2015-06-30,T2,3.99.01.01,ON,0.39247
2015-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2015-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,241276.0
2015-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-115962.0
2015-09-30,T3,3.03,Resultado Bruto,125314.0
2015-09-30,T3,3.04,Despesas/Receitas Operacionais,-83416.0
2015-09-30,T3,3.04.01,Despesas com Vendas,0.0
2015-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-80011.0
2015-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-09-30,T3,3.04.04,Outras Receitas Operacionais,0.0
2015-09-30,T3,3.04.05,Outras Despesas Operacionais,-3405.0
2015-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,41898.0
2015-09-30,T3,3.06,Resultado Financeiro,-15714.0
2015-09-30,T3,3.06.01,Receitas Financeiras,16614.0
2015-09-30,T3,3.06.02,Despesas Financeiras,-32328.0
2015-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,26184.0
2015-09-30,T3,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2028.0
2015-09-30,T3,3.08.01,Corrente,-2028.0
2015-09-30,T3,3.08.02,Diferido,0.0
2015-09-30,T3,3.09,Resultado Líquido das Operações Continuadas,24156.0
2015-09-30,T3,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-09-30,T3,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-09-30,T3,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-09-30,T3,3.11,Lucro/Prejuízo Consolidado do Período,24156.0
2015-09-30,T3,3.11.01,Atribuído a Sócios da Empresa Controladora,24156.0
2015-09-30,T3,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-09-30,T3,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-09-30,T3,3.99.01,Lucro Básico por Ação,0.0
2015-09-30,T3,3.99.01.01,ON,0.19346
2015-09-30,T3,3.99.02,Lucro Diluído por Ação,0.0
2016-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,285125.0
2016-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-115978.0
2016-03-31,T1,3.03,Resultado Bruto,169147.0
2016-03-31,T1,3.04,Despesas/Receitas Operacionais,-70141.0
2016-03-31,T1,3.04.01,Despesas com Vendas,0.0
2016-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-69941.0
2016-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-03-31,T1,3.04.04,Outras Receitas Operacionais,0.0
2016-03-31,T1,3.04.05,Outras Despesas Operacionais,-200.0
2016-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2016-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,99006.0
2016-03-31,T1,3.06,Resultado Financeiro,-11023.0
2016-03-31,T1,3.06.01,Receitas Financeiras,26697.0
2016-03-31,T1,3.06.02,Despesas Financeiras,-37720.0
2016-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,87983.0
2016-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2070.0
2016-03-31,T1,3.08.01,Corrente,-2070.0
2016-03-31,T1,3.08.02,Diferido,0.0
2016-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,85913.0
2016-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,85913.0
2016-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,85913.0
2016-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,0.0
2016-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2016-03-31,T1,3.99.01.01,ON,0.68821
2016-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2016-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,289600.0
2016-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-137909.0
2016-06-30,T2,3.03,Resultado Bruto,151691.0
2016-06-30,T2,3.04,Despesas/Receitas Operacionais,-71522.0
2016-06-30,T2,3.04.01,Despesas com Vendas,0.0
2016-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-75672.0
2016-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-06-30,T2,3.04.04,Outras Receitas Operacionais,0.0
2016-06-30,T2,3.04.05,Outras Despesas Operacionais,4150.0
2016-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
