cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1000445.0,980450.0,1074023.0,1003959.0,978178.0,974968.0,970010.0,936439.0,931773.0,1011937.0,1049711.0,1077513.0,1121463.0,1189801.0,1325040.0,1291194.0,1326095.0,1414770.0,1455071.0,1397290.0,1590974.0,1573416.0,1677900.0,1782481.0,1920879.0,1890981.0,2126005.0,2180790.0,2168742.0,2249179.0,2312188.0,2370322.0,2381490.0,2293795.0,2399304.0,2380110.0,2418494.0,2589090.0,2513666.0,2602298.0,2797605.0,2807640.0,2918196.0
2.01,Passivo Circulante,247701.0,231750.0,279935.0,218101.0,190004.0,180615.0,218200.0,240305.0,281076.0,292209.0,276096.0,216916.0,214194.0,268174.0,300719.0,301556.0,314692.0,328066.0,386925.0,341995.0,455887.0,429919.0,509402.0,511589.0,490899.0,468428.0,508853.0,481462.0,470855.0,520883.0,529460.0,576967.0,655663.0,517030.0,630439.0,533256.0,585271.0,593564.0,529726.0,513537.0,580261.0,593682.0,651992.0
2.01.01,Obrigações Sociais e Trabalhistas,7682.0,8610.0,10604.0,13415.0,7171.0,8214.0,8693.0,10837.0,7419.0,8830.0,11413.0,15345.0,8887.0,11578.0,18050.0,24435.0,25061.0,16103.0,21430.0,29542.0,30205.0,19737.0,26265.0,38910.0,43761.0,35452.0,34591.0,45552.0,52911.0,41176.0,43524.0,61470.0,76516.0,60386.0,53802.0,69640.0,77943.0,67084.0,55775.0,63892.0,75768.0,63580.0,50254.0
2.01.02,Fornecedores,34945.0,31213.0,33198.0,28725.0,23390.0,28098.0,31852.0,24728.0,31450.0,42563.0,46832.0,49843.0,64156.0,63259.0,69531.0,72986.0,73863.0,82915.0,82347.0,57873.0,85017.0,65005.0,127326.0,123606.0,132540.0,131884.0,172726.0,125397.0,139372.0,136686.0,153693.0,148809.0,140055.0,105476.0,139816.0,115928.0,143317.0,129497.0,144071.0,149820.0,176246.0,154630.0,157929.0
2.01.03,Obrigações Fiscais,9309.0,12817.0,21064.0,4355.0,6932.0,12781.0,15400.0,11157.0,13628.0,15620.0,20958.0,6983.0,14156.0,20185.0,28710.0,7034.0,10182.0,10854.0,7904.0,6773.0,6280.0,11236.0,18225.0,29528.0,10766.0,18096.0,25661.0,16923.0,24634.0,28193.0,42717.0,32977.0,31288.0,28916.0,24275.0,20614.0,30665.0,35203.0,37992.0,16320.0,36947.0,38432.0,41467.0
2.01.04,Empréstimos e Financiamentos,169498.0,152818.0,184195.0,147883.0,129401.0,106785.0,130102.0,171137.0,202802.0,199242.0,158092.0,116036.0,88645.0,132258.0,138646.0,158262.0,165200.0,173116.0,218724.0,209281.0,298844.0,296518.0,289602.0,254218.0,242657.0,214104.0,190581.0,232324.0,182089.0,215354.0,190160.0,250512.0,300203.0,209128.0,291274.0,226352.0,194558.0,231198.0,155951.0,177496.0,181532.0,205500.0,264512.0
2.01.05,Outras Obrigações,19948.0,15617.0,19079.0,19877.0,16973.0,14368.0,19132.0,18504.0,19909.0,14929.0,23253.0,20337.0,27709.0,24203.0,23885.0,25577.0,24584.0,21516.0,29904.0,26654.0,23661.0,22560.0,26105.0,52241.0,42429.0,40371.0,47535.0,39138.0,48034.0,65346.0,55506.0,55727.0,79029.0,76692.0,77570.0,76782.0,111071.0,90578.0,88339.0,80562.0,78545.0,87038.0,84399.0
2.01.06,Provisões,6319.0,10675.0,11795.0,3846.0,6137.0,10369.0,13021.0,3942.0,5868.0,11025.0,15548.0,8372.0,10641.0,16691.0,21897.0,13262.0,15802.0,23562.0,26616.0,11872.0,11880.0,14863.0,21879.0,13086.0,18746.0,28521.0,37759.0,22128.0,23815.0,34128.0,43860.0,27472.0,28572.0,36432.0,43702.0,23940.0,27717.0,40004.0,47598.0,25447.0,31223.0,44502.0,53431.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,342055.0,327477.0,355825.0,348011.0,344351.0,342101.0,294802.0,239346.0,188120.0,246344.0,289179.0,373401.0,408884.0,408681.0,488636.0,448932.0,452336.0,507330.0,468479.0,435194.0,491090.0,487346.0,488418.0,528516.0,657008.0,624836.0,771381.0,790847.0,757659.0,752702.0,741100.0,678486.0,576700.0,580869.0,513956.0,548613.0,513518.0,632549.0,583561.0,664128.0,748622.0,699730.0,711856.0
2.02.01,Empréstimos e Financiamentos,264610.0,249326.0,277798.0,268967.0,265058.0,262786.0,215659.0,169071.0,119638.0,170785.0,199976.0,283799.0,320851.0,323077.0,403797.0,356880.0,340590.0,390937.0,356047.0,325799.0,379797.0,379915.0,389193.0,433434.0,564086.0,534147.0,679447.0,697664.0,667402.0,663707.0,651505.0,588825.0,490499.0,494125.0,426472.0,459200.0,426656.0,546202.0,491577.0,571677.0,650419.0,606386.0,623292.0
2.02.02,Outras Obrigações,3169.0,3018.0,2864.0,2321.0,2147.0,1967.0,1779.0,1581.0,1375.0,1160.0,12568.0,12750.0,12586.0,12410.0,12227.0,20359.0,37353.0,43234.0,40124.0,36975.0,41204.0,35422.0,28244.0,24150.0,23596.0,20399.0,17239.0,11435.0,9485.0,9046.0,8927.0,8944.0,5930.0,6608.0,8729.0,8471.0,8343.0,9354.0,12561.0,12202.0,18412.0,18204.0,11160.0
2.02.03,Tributos Diferidos,72091.0,72911.0,72941.0,74501.0,74924.0,75126.0,75142.0,67449.0,65862.0,73154.0,75390.0,75607.0,73755.0,71246.0,70821.0,69591.0,72259.0,71012.0,69756.0,69801.0,68349.0,70286.0,69431.0,69636.0,67935.0,68796.0,72230.0,79265.0,78414.0,77600.0,77871.0,77066.0,76436.0,75682.0,73979.0,73301.0,70849.0,68751.0,68295.0,68212.0,67824.0,67973.0,70945.0
