data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,4655848.0
2015-03-31,T1,1.01,Ativo Circulante,1706429.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,473030.0
2015-03-31,T1,1.01.01.01,Caixa e Equivalente de Caixa,255259.0
2015-03-31,T1,1.01.01.02,Aplicações Financeiras de Curto Prazo,217771.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,0.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.01.03,Contas a Receber,93721.0
2015-03-31,T1,1.01.03.01,Clientes,65361.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,28360.0
2015-03-31,T1,1.01.03.02.01,Adiantamentos a Fornecedores,2686.0
2015-03-31,T1,1.01.03.02.02,Operações com Derivativos,17659.0
2015-03-31,T1,1.01.03.02.03,Titulos e Creditos a Receber,6102.0
2015-03-31,T1,1.01.03.02.04,Outras Contas a Receber,1913.0
2015-03-31,T1,1.01.04,Estoques,438841.0
2015-03-31,T1,1.01.05,Ativos Biológicos,602152.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,94727.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,94727.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,3958.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,0.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,0.0
2015-03-31,T1,1.02,Ativo Não Circulante,2949419.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,206327.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.02.01.03,Contas a Receber,0.0
2015-03-31,T1,1.02.01.03.01,Clientes,0.0
2015-03-31,T1,1.02.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.02.01.04,Estoques,0.0
2015-03-31,T1,1.02.01.05,Ativos Biológicos,5763.0
2015-03-31,T1,1.02.01.06,Tributos Diferidos,47399.0
2015-03-31,T1,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,47399.0
2015-03-31,T1,1.02.01.07,Despesas Antecipadas,1665.0
2015-03-31,T1,1.02.01.08,Créditos com Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.08.01,Créditos com Coligadas,0.0
2015-03-31,T1,1.02.01.08.03,Créditos com Controladores,0.0
2015-03-31,T1,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.09,Outros Ativos Não Circulantes,151500.0
2015-03-31,T1,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.02.01.09.03,Tributos a Recuperar,34888.0
2015-03-31,T1,1.02.01.09.04,Operações com Derivativos,30201.0
2015-03-31,T1,1.02.01.09.05,Titulos e Creditos a Receber,8709.0
2015-03-31,T1,1.02.01.09.06,Adiantamento a Fornecedores,72917.0
2015-03-31,T1,1.02.01.09.07,Outras Contas a Receber,4785.0
2015-03-31,T1,1.02.02,Investimentos,0.0
2015-03-31,T1,1.02.02.01,Participações Societárias,0.0
2015-03-31,T1,1.02.02.01.01,Participações em Coligadas,0.0
2015-03-31,T1,1.02.02.01.04,Outras Participações Societárias,0.0
2015-03-31,T1,1.02.02.02,Propriedades para Investimento,0.0
2015-03-31,T1,1.02.03,Imobilizado,2738662.0
2015-03-31,T1,1.02.03.01,Imobilizado em Operação,2674952.0
2015-03-31,T1,1.02.03.02,Imobilizado Arrendado,0.0
2015-03-31,T1,1.02.03.03,Imobilizado em Andamento,63710.0
2015-03-31,T1,1.02.04,Intangível,4430.0
2015-03-31,T1,1.02.04.01,Intangíveis,4430.0
2015-03-31,T1,1.02.04.01.01,Contrato de Concessão,0.0
2015-03-31,T1,1.02.04.01.02,Outros ( Sistema),4430.0
2015-03-31,T1,1.02.04.02,Goodwill,0.0
2015-06-30,T2,1,Ativo Total,4470717.0
2015-06-30,T2,1.01,Ativo Circulante,1498577.0
2015-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,329034.0
2015-06-30,T2,1.01.01.01,Caixa e Equivalentes de Caixa,132618.0
2015-06-30,T2,1.01.01.02,Aplicações Financeiras de Curto Prazo,196416.0
2015-06-30,T2,1.01.02,Aplicações Financeiras,0.0
2015-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.01.02.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.01.03,Contas a Receber,53330.0
2015-06-30,T2,1.01.03.01,Clientes,36235.0
2015-06-30,T2,1.01.03.02,Outras Contas a Receber,17095.0
2015-06-30,T2,1.01.03.02.01,Adiantamentos a Fornecedores,3038.0
2015-06-30,T2,1.01.03.02.02,Operações com Derivativos,7195.0
2015-06-30,T2,1.01.03.02.03,Titulos e Creditos a Receber,5851.0
2015-06-30,T2,1.01.03.02.04,Outras Contas a Receber,1011.0
2015-06-30,T2,1.01.04,Estoques,411390.0
2015-06-30,T2,1.01.05,Ativos Biológicos,606121.0
2015-06-30,T2,1.01.06,Tributos a Recuperar,87188.0
2015-06-30,T2,1.01.06.01,Tributos Correntes a Recuperar,87188.0
2015-06-30,T2,1.01.07,Despesas Antecipadas,11514.0
2015-06-30,T2,1.01.08,Outros Ativos Circulantes,0.0
2015-06-30,T2,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.01.08.03,Outros,0.0
2015-06-30,T2,1.02,Ativo Não Circulante,2972140.0
2015-06-30,T2,1.02.01,Ativo Realizável a Longo Prazo,218249.0
2015-06-30,T2,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.02.01.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.02.01.03,Contas a Receber,0.0
2015-06-30,T2,1.02.01.03.01,Clientes,0.0
2015-06-30,T2,1.02.01.03.02,Outras Contas a Receber,0.0
2015-06-30,T2,1.02.01.04,Estoques,0.0
2015-06-30,T2,1.02.01.05,Ativos Biológicos,5678.0
2015-06-30,T2,1.02.01.06,Tributos Diferidos,18803.0
2015-06-30,T2,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,18803.0
2015-06-30,T2,1.02.01.07,Despesas Antecipadas,1665.0
2015-06-30,T2,1.02.01.08,Créditos com Partes Relacionadas,0.0
2015-06-30,T2,1.02.01.08.01,Créditos com Coligadas,0.0
2015-06-30,T2,1.02.01.08.03,Créditos com Controladores,0.0
2015-06-30,T2,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-06-30,T2,1.02.01.09,Outros Ativos Não Circulantes,192103.0
2015-06-30,T2,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.02.01.09.03,Tributos a Recuperar,40993.0
2015-06-30,T2,1.02.01.09.04,Operações com Derivativos,61616.0
2015-06-30,T2,1.02.01.09.05,Titulos e Creditos a Receber,8578.0
2015-06-30,T2,1.02.01.09.06,Adiantamento a Fornecedores,73997.0
2015-06-30,T2,1.02.01.09.07,Outras Contas a Receber,6919.0
2015-06-30,T2,1.02.02,Investimentos,0.0
2015-06-30,T2,1.02.02.01,Participações Societárias,0.0
2015-06-30,T2,1.02.02.01.01,Participações em Coligadas,0.0
2015-06-30,T2,1.02.02.01.04,Outras Participações Societárias,0.0
2015-06-30,T2,1.02.02.02,Propriedades para Investimento,0.0
2015-06-30,T2,1.02.03,Imobilizado,2750037.0
2015-06-30,T2,1.02.03.01,Imobilizado em Operação,2711596.0
2015-06-30,T2,1.02.03.02,Imobilizado Arrendado,0.0
2015-06-30,T2,1.02.03.03,Imobilizado em Andamento,38441.0
2015-06-30,T2,1.02.04,Intangível,3854.0
2015-06-30,T2,1.02.04.01,Intangíveis,3854.0
