cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,364271.0,470995.0,342698.0,583617.0,421202.0,291193.0,317615.0,629639.0,459121.0,472929.0,561029.0,726822.0,662704.0,752666.0,537585.0,870513.0,765330.0,806801.0,563106.0,905419.0,926806.0,983909.0,751267.0,1211099.0,1565380.0,1687896.0,1143493.0,1927600.0,3495805.0,2388582.0,1383163.0,2322160.0,3074186.0,2130192.0,2100685.0,1817061.0,1994799.0,2111918.0,1651825.0,2045085.0,2834672.0,-579813.0,124177.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-242355.0,-365185.0,-255053.0,-465867.0,-347529.0,-363402.0,-277417.0,-424833.0,-274171.0,-303451.0,-405473.0,-559510.0,-348244.0,-451239.0,-423087.0,-754940.0,-513559.0,-412246.0,-625332.0,-706335.0,-599258.0,-596454.0,-734459.0,-872611.0,-868018.0,-895667.0,-934982.0,-1378058.0,-2017128.0,-1460216.0,-1215934.0,-1765133.0,-1906400.0,-1397212.0,-1514433.0,-1683385.0,-1348583.0,-1280856.0,-1372738.0,-1493724.0,-1758617.0,159785.0,-157632.0
3.03,Resultado Bruto,121916.0,105810.0,87645.0,117750.0,73673.0,-72209.0,40198.0,204806.0,184950.0,169478.0,155556.0,167312.0,314460.0,301427.0,114498.0,115573.0,251771.0,394555.0,-62226.0,199084.0,327548.0,387455.0,16808.0,338488.0,697362.0,792229.0,208511.0,549542.0,1478677.0,928366.0,167229.0,557027.0,1167786.0,732980.0,586252.0,133676.0,646216.0,831062.0,279087.0,551361.0,1076055.0,-420028.0,-33455.0
3.04,Despesas/Receitas Operacionais,-36570.0,-31119.0,-31833.0,-48101.0,-45209.0,-31420.0,-38617.0,-20907.0,-37725.0,-31484.0,-41461.0,26827.0,-47019.0,-36844.0,-45743.0,-58595.0,-65869.0,-45765.0,-47648.0,-65190.0,-70811.0,-63408.0,-51797.0,-103353.0,-92125.0,-72338.0,-23131.0,-146683.0,-163075.0,-120052.0,-118996.0,-223883.0,-194510.0,-88976.0,-171287.0,-230740.0,-147695.0,-155903.0,-206132.0,-284847.0,-210007.0,7266.0,-135785.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,85346.0,74691.0,55812.0,69649.0,28464.0,-103629.0,1581.0,183899.0,147225.0,137994.0,114095.0,194139.0,267441.0,264583.0,68755.0,56978.0,185902.0,348790.0,-109874.0,133894.0,256737.0,324047.0,-34989.0,235135.0,605237.0,719891.0,185380.0,402859.0,1315602.0,808314.0,48233.0,333144.0,973276.0,644004.0,414965.0,-97064.0,498521.0,675159.0,72955.0,266514.0,866048.0,-412762.0,-169240.0
3.06,Resultado Financeiro,-35340.0,-14763.0,-44990.0,-23751.0,-35746.0,-11642.0,-40689.0,-26399.0,-21953.0,-22473.0,-16063.0,-31974.0,-15182.0,-15032.0,-24967.0,-17495.0,-20500.0,-36918.0,-41308.0,-45324.0,-25725.0,-34739.0,-26403.0,-4884.0,-33805.0,-68834.0,-83656.0,-166262.0,-151980.0,-131594.0,-192765.0,-223129.0,-147753.0,-172609.0,-190933.0,-199981.0,-190404.0,-224402.0,-211046.0,-373081.0,-132208.0,-143064.0,-62364.0
3.07,Resultado Antes dos Tributos sobre o Lucro,50006.0,59928.0,10822.0,45898.0,-7282.0,-115271.0,-39108.0,157500.0,125272.0,115521.0,98032.0,162165.0,252259.0,249551.0,43788.0,39483.0,165402.0,311872.0,-151182.0,88570.0,231012.0,289308.0,-61392.0,230251.0,571432.0,651057.0,101724.0,236597.0,1163622.0,676720.0,-144532.0,110015.0,825523.0,471395.0,224032.0,-297045.0,308117.0,450757.0,-138091.0,-106567.0,733840.0,-555826.0,-231604.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-16798.0,-16815.0,-1307.0,-10563.0,4611.0,40750.0,17893.0,-43452.0,-41332.0,-37327.0,-27532.0,-25537.0,-83000.0,-81355.0,-8201.0,-6024.0,-54021.0,-99920.0,54223.0,97.0,-74615.0,-93218.0,25682.0,-36080.0,-194628.0,-203817.0,12031.0,-43637.0,-366560.0,-191137.0,66187.0,22418.0,-250548.0,-122676.0,-56760.0,144059.0,-79174.0,-129345.0,120809.0,55217.0,-223140.0,184963.0,77242.0
3.09,Resultado Líquido das Operações Continuadas,33208.0,43113.0,9515.0,35335.0,-2671.0,-74521.0,-21215.0,114048.0,83940.0,78194.0,70500.0,136628.0,169259.0,168196.0,35587.0,33459.0,111381.0,211952.0,-96959.0,88667.0,156397.0,196090.0,-35710.0,194171.0,376804.0,447240.0,113755.0,192960.0,797062.0,485583.0,-78345.0,132433.0,574975.0,348719.0,167272.0,-152986.0,228943.0,321412.0,-17282.0,-51350.0,510700.0,-370863.0,-154362.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,33208.0,43113.0,9515.0,35335.0,-2671.0,-74521.0,-21215.0,114048.0,83940.0,78194.0,70500.0,136628.0,169259.0,168196.0,35587.0,33459.0,111381.0,211952.0,-96959.0,88667.0,156397.0,196090.0,-35710.0,194171.0,376804.0,447240.0,113755.0,192960.0,797062.0,485583.0,-78345.0,132433.0,574975.0,348719.0,167272.0,-152986.0,228943.0,321412.0,-17282.0,-51350.0,510700.0,-370863.0,-154362.0
3.99,Lucro por Ação - (Reais / Ação),0.34696,1.0,0.902,1.262,-0.06975,-0.67381,0.0,0.30842,0.76883,1.56071,0.71306,3.71424,1.65918,1.65918,0.380644088,4.04945,0.54167,1.097240017,-0.42956,1.66838,0.76723,0.99228,-0.12687,2.60966,1.82569,2.22903,0.64126,5.10395,3.58478,5.86384,-0.30672,6.05911,2.6127,1.62025,0.6236,2.07962,0.50691,0.0,0.00197,1.15783,1.04524,0.0,-0.0252
