codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,217574.5,154280.1,204717.82,212629.62,149335.23,177026.52,162191.9,317340.67,1046366.55,1299857.9,1473299.35,2750872.66,3328662.13,6539113.31,6357348.13,6131249.97,6707578.6
P_L,P/L,Valuation,x,3.7121,0.9643,5.327,2.2011,2.129,1.461,10.3697,0.8594,2.5741,4.126,2.8835,2.4328,2.4901,6.9715,13.1971,10.4868,11.4726
P_VPA,P/VPA,Valuation,x,0.116,0.0803,0.1027,0.0995,0.0624,0.074,0.0617,0.1175,0.3744,0.4355,0.4676,0.7285,0.6798,1.2475,1.5489,1.1488,1.2568
EV_EBITDA,EV/EBITDA,Valuation,x,2.0205,1.5031,3.3935,3.8539,3.8159,2.9264,3.2462,1.5764,2.6121,3.1185,2.4228,2.4131,2.0573,3.9403,4.953,4.6683,4.8908
EV_EBIT,EV/EBIT,Valuation,x,4.4187,2.5843,5.9146,6.5786,5.8143,4.7441,9.0553,1.9499,3.0539,4.0716,2.928,2.7171,2.2142,4.8155,6.593,6.4665,6.7747
EV_RECEITA,EV/Receita,Valuation,x,0.6267,0.6601,0.7672,0.8379,0.74,0.7689,0.6019,0.5213,0.7114,0.7481,0.5904,0.822,0.5784,1.0216,1.2784,1.271,1.3316
DY,Dividend Yield,Valuation,%,66.0063,93.0858,70.1516,67.5413,96.1681,81.125,88.545,43.6077,26.4506,21.2923,18.7857,11.2134,9.267,9.845,10.1265,10.4999,9.5977
PAYOUT,Payout,Valuation,%,245.0187,89.7625,373.6998,148.6629,204.7429,118.5208,918.1818,37.4761,68.086,87.8521,54.168,27.2796,23.0762,68.6343,133.6403,110.1108,110.1108
ROE,ROE,Rentabilidade,%,3.126,8.4312,1.9638,4.6774,3.0968,5.0643,0.623,13.8541,14.7911,10.9026,16.6555,32.6472,30.8269,18.5037,10.3082,11.0782,11.0782
ROA,ROA,Rentabilidade,%,1.8807,4.7751,1.0529,2.4221,1.6015,2.4708,0.2906,6.8719,7.358,4.9559,6.5726,10.5402,9.6394,6.1057,2.8819,3.1329,3.1329
ROIC,ROIC,Rentabilidade,%,3.7568,6.9776,3.6181,3.4079,3.7556,5.2786,2.1009,11.0592,11.5547,9.3132,13.0014,20.2894,23.2398,15.9224,12.9306,10.9241,10.9241
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,31.0173,43.9186,22.6087,21.7403,19.3918,26.2736,18.5415,33.0671,27.2356,23.9907,24.367,34.0654,28.1175,25.9256,25.8108,27.226,27.226
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.5953,15.9095,3.4351,8.1762,4.6788,6.8785,0.9424,16.6342,14.3972,10.361,13.1923,17.8794,13.9392,10.2825,6.1731,6.1455,6.1455
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.2312,1.1537,2.5841,3.0261,3.3022,2.5439,2.7191,1.1441,1.2514,1.3366,0.8617,1.1363,0.8228,1.1754,1.7967,2.3012,2.3012
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.181,0.2654,0.3279,0.3637,0.4012,0.4922,0.3183,0.3108,0.3443,0.3267,0.2581,0.6483,0.4531,0.5303,0.8817,1.1168,1.1168
ICJ,ICJ,Endividamento,x,0.9449,2.1521,0.6554,0.857,0.7941,0.5042,0.2146,2.149,1.8308,1.6068,1.4977,2.2583,1.6202,1.5664,0.9597,1.0262,1.0262
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,57.8561,60.1119,53.7082,59.1664,58.6151,49.5898,60.7834,54.1776,46.0236,37.6131,15.6187,25.8809,37.1001,32.1746,30.1002,30.3184,30.3184
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.4966,1.2073,1.3431,1.2158,1.2011,1.2454,1.2686,1.3538,1.366,1.5125,1.7977,1.3334,1.5323,1.8234,1.3653,1.5472,1.5472
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0114,0.7053,0.8336,0.7852,0.738,0.8288,1.004,1.0112,0.9065,0.9882,1.241,0.601,0.8037,0.9185,0.7501,0.6558,0.6558
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.6979,0.6157,0.6463,0.7389,0.8293,0.8408,0.904,0.9387,0.9306,0.8284,0.8379,0.6571,0.7755,0.7539,0.6982,0.6679,0.6679
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.2852,0.2806,0.3011,0.2773,0.3333,0.3318,0.3043,0.4193,0.4906,0.437,0.4509,0.4915,0.645,0.5753,0.444,0.4635,0.4635
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,236.5801,351.0713,271.4633,283.0547,245.5929,250.6653,184.9058,213.0647,193.1156,183.5727,172.3896,326.8377,218.372,233.6384,268.9466,275.1244,275.1244
PME,PME,Eficiência,dias,231.6206,379.8811,296.0154,349.4633,307.6352,312.1531,256.6802,254.9632,286.5261,295.3301,281.6626,397.1424,286.7083,284.8802,364.5887,325.3633,325.3633
NCG_RECEITA,NCG/Receita,Eficiência,%,44.4176,42.1398,49.4181,47.1816,45.2871,37.4181,35.244,31.5219,27.9022,28.349,16.4669,28.578,25.9523,34.2772,24.9923,39.83,39.83
