cd_conta,conta,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,3941658.000,4211300.000,4409813.000,4834415.000,4787167.000,5392979.000,5513693.000,5449358.000,4904912.000,4897536.000,4962980.000,4984008.000,5038396.000,5459430.000,6554445.000,6779495.000,7168924.000,7331564.000,7328061.000,7123640.000,7380892.000,7222339.000,7585462.000,7709193.000,8691883.000,9170454.000,9399909.000,9286464.000,9114712.000,9506614.000,9573128.000,9467258.000,9748722.000,12389758.000,11528431.000,11507785.000,12113526.000,11920221.000,12357330.000,12280825.000,12417856.000,13108357.000,13815356.000,14398278.000,17359145.000,17964462.000,18067006.000,18855766.000,18823785.000,18970984.000,19137140.000,19492875.000,20371449.000,21645461.000,21205840.000,22315804.000,21769383.000,21912196.000,22657138.000
1.01,Ativo Circulante,474062.000,663881.000,848746.000,1013572.000,663206.000,1178465.000,1335056.000,1303388.000,847074.000,880264.000,1006521.000,1005363.000,862657.000,1300854.000,1540988.000,1616650.000,1749599.000,1936173.000,2020235.000,1770246.000,2092486.000,1988874.000,2382737.000,2303725.000,2482050.000,3097401.000,3474133.000,3262689.000,2687858.000,3212533.000,3640232.000,3378654.000,3252700.000,3819269.000,3649098.000,3783308.000,3486150.000,3511294.000,4242985.000,3699195.000,3205608.000,3782303.000,4817137.000,4633129.000,5553542.000,5773011.000,5918593.000,6395726.000,5687475.000,5880012.000,6119892.000,6284258.000,6229157.000,6948811.000,6763996.000,7586111.000,6305241.000,6596560.000,7742415.000
1.01.01,Caixa e Equivalentes de Caixa,225067.000,323884.000,274626.000,464102.000,410567.000,793064.000,711336.000,574013.000,531142.000,468675.000,490698.000,442733.000,551359.000,761050.000,539068.000,532285.000,1020112.000,1007813.000,592948.000,345548.000,266659.000,170197.000,212833.000,230412.000,142454.000,79786.000,327559.000,373085.000,140865.000,313808.000,197825.000,152618.000,197607.000,76415.000,48618.000,18094.000,92066.000,236859.000,121326.000,237699.000,288350.000,45008.000,246808.000,323650.000,114903.000,175087.000,130568.000,252859.000,273408.000,86015.000,111878.000,124295.000,204560.000,205441.000,221591.000,1352343.000,898588.000,190344.000,113452.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,222251.000,306407.000,706487.000,344794.000,571848.000,482949.000,1029113.000,1259991.000,1059706.000,795337.000,1320851.000,1255489.000,1081116.000,1011196.000,1838261.000,2065201.000,1304427.000,1326231.000,1831504.000,1405092.000,1716713.000,1153574.000,1062154.000,1281242.000,1104526.000,1179290.000,2857864.000,2654310.000,1744590.000,2438187.000,2804873.000,2284255.000,1501126.000,1493508.000,2946218.000,3222656.000,2363292.000,1893379.000,2184443.000,2599868.000,3016453.000
1.01.03,Contas a Receber,59673.000,55309.000,62490.000,63686.000,38399.000,64602.000,128899.000,117805.000,51739.000,91096.000,140519.000,126265.000,72106.000,142813.000,137496.000,197359.000,156317.000,116745.000,191037.000,197108.000,86419.000,142494.000,108331.000,207494.000,168868.000,303495.000,215666.000,331448.000,177893.000,215030.000,249029.000,292387.000,163412.000,171093.000,253665.000,377966.000,165829.000,266659.000,306388.000,312878.000,215659.000,268848.000,532970.000,370413.000,225707.000,431737.000,448218.000,371458.000,274904.000,325020.000,363615.000,450519.000,666112.000,595692.000,552750.000,791844.000,477210.000,543837.000,439587.000
1.01.04,Estoques,139106.000,216392.000,443851.000,384006.000,137375.000,199289.000,390802.000,478630.000,101503.000,142702.000,249795.000,313298.000,99658.000,235585.000,667313.000,616051.000,177443.000,486982.000,702609.000,657410.000,229250.000,468582.000,777847.000,693590.000,256574.000,590604.000,1111886.000,1022083.000,334654.000,727079.000,1365310.000,1131236.000,232322.000,650933.000,1229068.000,1035967.000,366177.000,720183.000,1331741.000,1093086.000,446313.000,940833.000,1843384.000,1550356.000,764576.000,1108231.000,2205738.000,1819070.000,694118.000,1236913.000,2377088.000,2400954.000,609479.000,1136959.000,2021944.000,1951034.000,597081.000,871984.000,2004338.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,470241.000,454763.000,398803.000,433531.000,586362.000,578954.000,524674.000,558465.000,581725.000,572720.000,504130.000,571543.000,657057.000,654035.000,614450.000,657952.000,713547.000,689676.000,606500.000,658953.000,989540.000,945161.000,859534.000,1008013.000,1219281.000,1123103.000,1028173.000,1089659.000,1160568.000,1414213.000,1222114.000,1101112.000,1364508.000,1363796.000,1165922.000,1165764.000,1405729.000,1364209.000,1190154.000
1.01.06,Tributos a Recuperar,38557.000,36235.000,50524.000,57341.000,60251.000,58921.000,71474.000,77217.000,76683.000,87328.000,96299.000,98816.000,98604.000,118246.000,145913.000,148258.000,167454.000,186276.000,213133.000,183117.000,172181.000,186882.000,192668.000,102586.000,113469.000,110371.000,103472.000,80704.000,45780.000,45244.000,145559.000,128285.000,99883.000,125256.000,121827.000,94207.000,83560.000,77208.000,64768.000,55248.000,54312.000,59804.000,55034.000,85948.000,125535.000,137359.000,220294.000,282543.000,308133.000,321753.000,325547.000,367457.000,317198.000,301790.000,285289.000,296622.000,499722.000,556812.000,599347.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,11659.000,32061.000,17255.000,44437.000,16614.000,62589.000,32545.000,55723.000,86007.000,90463.000,29210.000,24251.000,40930.000,43160.000,51198.000,122697.000,228273.000,138357.000,98257.000,80656.000,161249.000,221162.000,120407.000,153163.000,185210.000,174200.000,131170.000,101567.000,86090.000,83163.000,97263.000,91389.000,64158.000,76336.000,77043.000,272891.000,233467.000,115617.000,95549.000,187757.000,149280.000,241407.000,174881.000,115459.000,245676.000,143184.000,141012.000,141950.000,171471.000,211843.000,218524.000,346413.000,121082.000,122477.000,153208.000,135125.000,242468.000,469506.000,379084.000
