cd_conta,conta,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,3941658.000,4211300.000,4409813.000,4834415.000,4787167.000,5392979.000,5513693.000,5449358.000,4904912.000,4897536.000,4962980.000,4984008.000,5038396.000,5459430.000,6554445.000,6779495.000,7168924.000,7331564.000,7328061.000,7123640.000,7380892.000,7222339.000,7585462.000,7709193.000,8691883.000,9170454.000,9399909.000,9286464.000,9114712.000,9506614.000,9573128.000,9467258.000,9748722.000,12389758.000,11528431.000,11507785.000,12113526.000,11920221.000,12357330.000,12280825.000,12417856.000,13108357.000,13815356.000,14398278.000,17359145.000,17964462.000,18067006.000,18855766.000,18823785.000,18970984.000,19137140.000,19492875.000,20371449.000,21645461.000,21205840.000,22315804.000,21769383.000,21912196.000,22657138.000
2.01,Passivo Circulante,340860.000,383995.000,557573.000,627891.000,517353.000,716682.000,785423.000,762870.000,500977.000,680664.000,784414.000,812189.000,693970.000,773044.000,1424510.000,1251560.000,1419892.000,1231939.000,1415950.000,1223322.000,1216712.000,1716938.000,1540341.000,1408398.000,1988833.000,1711930.000,1577692.000,1772737.000,1221200.000,1107745.000,1325729.000,1196114.000,1257665.000,1891678.000,1462593.000,1377709.000,1736475.000,1918792.000,1888658.000,1791698.000,1841573.000,1795853.000,2189293.000,2095353.000,2175055.000,3061268.000,3160548.000,3029920.000,2615781.000,2479327.000,2616262.000,2413866.000,2854430.000,3868157.000,3365951.000,3344821.000,2589623.000,2637016.000,2707062.000
2.01.01,Obrigações Sociais e Trabalhistas,44000.000,63086.000,53698.000,41228.000,57297.000,70035.000,65417.000,47672.000,50153.000,69452.000,65893.000,58605.000,58847.000,81440.000,97923.000,69085.000,84373.000,104764.000,104624.000,88173.000,98231.000,125234.000,111616.000,86416.000,121664.000,160993.000,145191.000,114186.000,137155.000,191821.000,157563.000,125906.000,134372.000,180911.000,163614.000,151144.000,150249.000,201536.000,172629.000,156611.000,171883.000,226622.000,215301.000,183055.000,191786.000,235760.000,210639.000,176581.000,195162.000,267187.000,254511.000,202109.000,240837.000,298091.000,259698.000,225759.000,264498.000,326763.000,302643.000
2.01.02,Fornecedores,61096.000,104130.000,168054.000,122309.000,76655.000,101989.000,170808.000,146575.000,77059.000,104829.000,147662.000,135122.000,64429.000,116300.000,194242.000,131941.000,95476.000,158354.000,170172.000,152547.000,113907.000,162489.000,237236.000,185882.000,138923.000,224495.000,261556.000,173396.000,154146.000,234734.000,269970.000,212265.000,152713.000,261067.000,304089.000,78397.000,174524.000,268067.000,321616.000,213002.000,221707.000,419947.000,592543.000,521229.000,415082.000,566475.000,630687.000,318766.000,281311.000,538328.000,416486.000,202447.000,408590.000,675348.000,593272.000,489986.000,404994.000,684348.000,701686.000
2.01.03,Obrigações Fiscais,21172.000,14216.000,16031.000,14711.000,12439.000,13100.000,23770.000,14586.000,10539.000,10987.000,22418.000,13662.000,11651.000,20853.000,18966.000,13394.000,14746.000,14710.000,19396.000,17582.000,16486.000,17525.000,23075.000,17835.000,24949.000,24946.000,32672.000,35744.000,21044.000,31335.000,41166.000,50327.000,45011.000,24885.000,26027.000,54241.000,39715.000,48050.000,40934.000,46753.000,31709.000,30551.000,43503.000,58329.000,42468.000,56867.000,41270.000,33844.000,29584.000,59321.000,45102.000,40814.000,50261.000,64025.000,44464.000,47707.000,44242.000,48909.000,42815.000
2.01.04,Empréstimos e Financiamentos,140982.000,153826.000,233013.000,308460.000,247504.000,357830.000,375341.000,444385.000,240405.000,288303.000,375370.000,496535.000,439644.000,441423.000,994279.000,905135.000,872419.000,714281.000,793777.000,694514.000,670559.000,1041037.000,925990.000,911414.000,1499583.000,1115477.000,1065178.000,1303222.000,686630.000,406281.000,743870.000,698297.000,754999.000,1280528.000,883052.000,930145.000,835027.000,974289.000,1006315.000,1066887.000,1026076.000,747106.000,1025467.000,1021412.000,1164366.000,1743725.000,1912259.000,1986734.000,1714218.000,1085033.000,1436662.000,1567270.000,1759317.000,2142774.000,2046880.000,1921469.000,1596787.000,1267308.000,1364373.000
2.01.05,Outras Obrigações,73610.000,48737.000,86777.000,141183.000,123458.000,173728.000,150087.000,109652.000,122821.000,207093.000,173071.000,108265.000,119399.000,113028.000,119100.000,132005.000,352878.000,239830.000,327981.000,270506.000,317529.000,370653.000,242424.000,206851.000,203714.000,186019.000,73095.000,146189.000,222225.000,243574.000,113160.000,109319.000,170570.000,144287.000,85811.000,163782.000,536960.000,426850.000,347164.000,308445.000,390198.000,371627.000,312479.000,311328.000,361353.000,458441.000,365693.000,513995.000,395506.000,529458.000,463501.000,401226.000,395425.000,687919.000,421637.000,659900.000,279102.000,309688.000,295545.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,1647312.000,1822547.000,1863114.000,2149838.000,2245136.000,2688605.000,2694605.000,2624022.000,2303318.000,2178241.000,2103147.000,2092658.000,2268474.000,2508032.000,2892274.000,3281250.000,3132947.000,3382823.000,3466963.000,3414523.000,3517583.000,2702603.000,3187425.000,3279918.000,3299730.000,4243914.000,4491185.000,4138644.000,4603737.000,5165342.000,4990316.000,4926529.000,5100047.000,6979545.000,6639072.000,6435076.000,7030375.000,6608820.000,6813562.000,6451858.000,6589694.000,6836103.000,7140320.000,7460766.000,9865665.000,9520605.000,9454436.000,10037121.000,10295641.000,10412721.000,10353535.000,10599449.000,10654648.000,11298348.000,11272209.000,12454760.000,12480398.000,12340865.000,12978593.000
