codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,7.9588,12.2559,11.5955,11.3144,7.1768,6.7525,5.2817,7.3897,11.5765,9.8754,8.3679
P_VPA,P/VPA,Valuation,x,,,,,,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,,8.7978,12.6497,11.8915,16.1763,28.4748,35.9552,30.3822,21.4337,10.4438,8.6929,8.6929
ROA,ROA,Rentabilidade,%,,3.198,4.673,4.2075,5.3346,8.9266,11.419,9.5546,6.8088,3.1956,2.6392,2.6392
ROIC,ROIC,Rentabilidade,%,,5.8908,7.1339,7.484,8.4448,14.2836,15.4688,14.3865,10.4325,6.7497,6.964,6.964
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,39.7976,45.3695,47.0818,64.8488,78.8021,70.6581,74.9164,69.6631,50.2487,47.7348,47.7348
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,9.7801,13.4692,12.674,16.5948,25.4175,28.0382,24.5987,21.297,9.4391,7.9253,7.9253
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,2.7972,2.2012,2.1108,2.0398,1.3544,1.3236,1.4797,1.8925,2.2892,2.2337,2.2337
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.1707,0.906,0.866,0.9305,1.213,1.1052,1.0523,1.2151,1.2216,1.2387,1.1282,1.1282
ICJ,ICJ,Endividamento,x,,1.9238,3.4957,3.2668,2.5025,3.7623,6.1712,3.1812,2.6572,1.4946,1.6027,1.6027
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,19.4972,26.4161,31.8539,16.3302,15.9646,18.2267,15.4798,20.4293,16.44,16.9781,12.4089,12.4089
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.4471,1.6357,1.8405,2.8247,2.7461,2.0646,2.2111,2.1109,2.6034,2.268,2.8601,2.8601
LIQ_SECA,Liquidez Seca,Liquidez,x,0.9097,1.1432,1.2639,1.8789,1.9941,1.4545,1.4712,1.5105,1.6087,1.6847,2.1197,2.1197
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.6244,0.5693,0.6245,0.6032,0.5328,0.5592,0.6275,0.6424,0.6723,0.7057,0.7308,0.7308
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3189,0.3152,0.3308,0.2944,0.3404,0.3784,0.3365,0.308,0.3144,0.3256,0.3256
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,218.5661,294.6005,286.4271,285.105,231.9638,256.3046,250.6538,309.4992,223.5871,187.1482,187.1482
PME,PME,Eficiência,dias,,225.3466,285.1101,288.8204,256.8343,233.3984,291.1459,257.8344,299.8182,217.0898,212.3355,212.3355
NCG_RECEITA,NCG/Receita,Eficiência,%,,44.4729,55.5133,54.8265,58.7723,37.8651,37.7411,41.9458,63.6211,41.5718,44.3272,44.3272
