cd_conta,conta,2021T4,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,955127.000,1621067.000,1675617.000,1449473.000,1657093.000,2142568.000,2510353.000,2358531.000,2633340.000,3201582.000,2862762.000,2666602.000,3474845.000,3586824.000,4102580.000
1.01,Ativo Circulante,737501.000,1263471.000,1188943.000,959476.000,1089238.000,1514806.000,1823409.000,1549353.000,1824142.000,2310779.000,1935160.000,1747904.000,2518823.000,2521794.000,2712494.000
1.01.01,Caixa e Equivalentes de Caixa,238411.000,51426.000,365261.000,254739.000,237918.000,209833.000,674317.000,465589.000,493345.000,404080.000,167320.000,238527.000,454683.000,97249.000,288432.000
1.01.02,Aplicações Financeiras,69971.000,32450.000,57750.000,66994.000,86425.000,70665.000,122447.000,264525.000,212479.000,420313.000,320545.000,338507.000,432064.000,467662.000,641449.000
1.01.03,Contas a Receber,289909.000,8440.000,321588.000,254570.000,340191.000,51183.000,243147.000,483044.000,437570.000,56120.000,248235.000,577856.000,591618.000,118034.000,424259.000
1.01.04,Estoques,94512.000,635217.000,393882.000,126730.000,323554.000,733123.000,438306.000,138096.000,416205.000,798282.000,721286.000,227243.000,774813.000,1068570.000,869120.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,35312.000,42651.000,46263.000,84454.000,82521.000,82249.000,100528.000,56700.000,54206.000,56862.000,64900.000,236739.000,122651.000,131847.000,251112.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,9386.000,493287.000,4199.000,171989.000,18629.000,367753.000,244664.000,141399.000,210337.000,575122.000,412874.000,129032.000,142994.000,638432.000,238122.000
1.02,Ativo Não Circulante,217626.000,357596.000,486674.000,489997.000,567855.000,627762.000,686944.000,809178.000,809198.000,890803.000,927602.000,918698.000,956022.000,1065030.000,1390086.000
1.02.01,Ativo Realizável a Longo Prazo,38280.000,38074.000,51612.000,41178.000,50904.000,46999.000,42567.000,141931.000,143444.000,145183.000,128334.000,103955.000,144206.000,205019.000,506466.000
1.02.02,Investimentos,0.000,24251.000,0.000,0.000,0.000,0.000,1776.000,1755.000,1776.000,1776.000,1781.000,1781.000,2465.000,2466.000,1149.000
1.02.03,Imobilizado,179000.000,294955.000,433037.000,446829.000,514974.000,578801.000,640655.000,663519.000,661665.000,741574.000,795258.000,810751.000,806564.000,854780.000,878639.000
1.02.04,Intangível,346.000,316.000,2025.000,1990.000,1977.000,1962.000,1946.000,1973.000,2313.000,2270.000,2229.000,2211.000,2787.000,2765.000,3832.000
