cd_conta,conta,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1621067.0,1675617.0,1449473.0,1657093.0,2142568.0,2510353.0,2358531.0,2633340.0,3201582.0,2862762.0,2666602.0,3474845.0,3586824.0,4102580.0
2.01,Passivo Circulante,905828.0,754037.0,292280.0,477606.0,897103.0,805028.0,338089.0,927038.0,1165126.0,724816.0,430083.0,728721.0,784709.0,739086.0
2.01.01,Obrigações Sociais e Trabalhistas,2708.0,3522.0,8927.0,11951.0,7508.0,8667.0,9899.0,11498.0,13291.0,9222.0,8631.0,13108.0,8475.0,10985.0
2.01.02,Fornecedores,137091.0,350346.0,119424.0,276173.0,178591.0,209566.0,154325.0,279784.0,296877.0,260901.0,161541.0,531623.0,318255.0,333941.0
2.01.03,Obrigações Fiscais,2275.0,23387.0,4551.0,6447.0,5471.0,24345.0,5787.0,7751.0,8172.0,12256.0,20455.0,6304.0,22862.0,51662.0
2.01.04,Empréstimos e Financiamentos,344091.0,372082.0,95326.0,177793.0,438991.0,254618.0,38533.0,583078.0,712975.0,142986.0,140956.0,71537.0,81531.0,65471.0
2.01.05,Outras Obrigações,419663.0,4700.0,64052.0,5242.0,266542.0,307832.0,129545.0,44927.0,133811.0,299451.0,98500.0,106149.0,353586.0,277027.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,63203.0,122438.0,200071.0,195067.0,200237.0,461609.0,547935.0,238789.0,250758.0,246706.0,282249.0,782157.0,832586.0,1328071.0
2.02.01,Empréstimos e Financiamentos,51548.0,114899.0,187964.0,195067.0,187137.0,449290.0,535057.0,227905.0,241684.0,236822.0,273051.0,773136.0,771633.0,1263422.0
2.02.02,Outras Obrigações,11655.0,0.0,12107.0,0.0,13100.0,12319.0,12878.0,10884.0,9074.0,9884.0,9198.0,9021.0,59723.0,63361.0
2.02.03,Tributos Diferidos,0.0,7539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,1288.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,652036.0,799142.0,957122.0,984420.0,1045228.0,1243716.0,1472507.0,1467513.0,1785698.0,1891240.0,1954270.0,1963967.0,1969529.0,2035423.0
2.03.01,Capital Social Realizado,429726.0,429726.0,429726.0,429726.0,429726.0,429726.0,429726.0,429726.0,719420.0,719420.0,719420.0,719420.0,719420.0,719420.0
2.03.02,Reservas de Capital,0.0,0.0,0.0,1182.0,0.0,0.0,1451.0,1974.0,2583.0,3383.0,4304.0,4304.0,4304.0,6818.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,222310.0,223112.0,392033.0,390851.0,390521.0,394620.0,581452.0,581452.0,574578.0,549610.0,623071.0,623071.0,623071.0,623071.0
2.03.05,Lucros/Prejuízos Acumulados,0.0,79663.0,0.0,-19144.0,0.0,99726.0,0.0,-5844.0,-1609.0,33429.0,0.0,718.0,6346.0,0.0
2.03.06,Ajustes de Avaliação Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41371.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,0.0,66641.0,135363.0,181805.0,224981.0,319644.0,459878.0,460205.0,490726.0,585398.0,607475.0,616454.0,616388.0,644743.0
