data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,4856183.0
2015-12-31,T4,1.01,Ativo Circulante,714275.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,566073.0
2015-12-31,T4,1.01.01.01,Caixa e Bancos,26185.0
2015-12-31,T4,1.01.01.02,Aplicações financeiras,539888.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-12-31,T4,1.01.03,Contas a Receber,99891.0
2015-12-31,T4,1.01.03.01,Clientes,99891.0
2015-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.01.04,Estoques,25540.0
2015-12-31,T4,1.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.01.06,Tributos a Recuperar,5272.0
2015-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,5272.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.01.08,Outros Ativos Circulantes,17499.0
2015-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.08.03,Outros,17499.0
2015-12-31,T4,1.01.08.03.01,Demais contas a receber,10347.0
2015-12-31,T4,1.01.08.03.02,Adiantamento a fornecedores,7152.0
2015-12-31,T4,1.02,Ativo Não Circulante,4141908.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,1419695.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-12-31,T4,1.02.01.03,Contas a Receber,684.0
2015-12-31,T4,1.02.01.03.01,Clientes,684.0
2015-12-31,T4,1.02.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.02.01.04,Estoques,1269579.0
2015-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.02.01.06,Tributos Diferidos,0.0
2015-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-12-31,T4,1.02.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,49240.0
2015-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2015-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2015-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,49240.0
2015-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,100192.0
2015-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.02.01.09.03,Créditos com parceiros nos empreendimentos,0.0
2015-12-31,T4,1.02.01.09.04,Impostos a compensar,79400.0
2015-12-31,T4,1.02.01.09.05,Depósitos Judiciais,335.0
2015-12-31,T4,1.02.01.09.06,Créditos diversos,0.0
2015-12-31,T4,1.02.01.09.07,Adiantamento por aquisições de imóveis,0.0
2015-12-31,T4,1.02.01.09.08,Adiantamento a fornecedores,0.0
2015-12-31,T4,1.02.01.09.09,Demais contas a receber,20457.0
2015-12-31,T4,1.02.01.09.10,Títulos e valores mobiliários,0.0
2015-12-31,T4,1.02.02,Investimentos,2718209.0
2015-12-31,T4,1.02.02.01,Participações Societárias,927947.0
2015-12-31,T4,1.02.02.01.01,Participações em Coligadas,927947.0
2015-12-31,T4,1.02.02.01.04,Outras Participações Societárias,0.0
2015-12-31,T4,1.02.02.02,Propriedades para Investimento,1790262.0
2015-12-31,T4,1.02.03,Imobilizado,3834.0
2015-12-31,T4,1.02.03.01,Imobilizado em Operação,3834.0
2015-12-31,T4,1.02.03.02,Imobilizado Arrendado,0.0
2015-12-31,T4,1.02.03.03,Imobilizado em Andamento,0.0
2015-12-31,T4,1.02.04,Intangível,170.0
2015-12-31,T4,1.02.04.01,Intangíveis,170.0
2015-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2015-12-31,T4,1.02.04.01.02,Software,170.0
2015-12-31,T4,1.02.04.02,Goodwill,0.0
2016-12-31,T4,1,Ativo Total,4832899.0
2016-12-31,T4,1.01,Ativo Circulante,578632.0
2016-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,348578.0
2016-12-31,T4,1.01.01.01,Caixa e Bancos,22576.0
2016-12-31,T4,1.01.01.02,Aplicações financeiras,326002.0
2016-12-31,T4,1.01.02,Aplicações Financeiras,64862.0
2016-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,64862.0
2016-12-31,T4,1.01.02.01.01,Títulos para Negociação,64862.0
2016-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2016-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2016-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2016-12-31,T4,1.01.03,Contas a Receber,97316.0
2016-12-31,T4,1.01.03.01,Clientes,97316.0
2016-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2016-12-31,T4,1.01.04,Estoques,5653.0
2016-12-31,T4,1.01.05,Ativos Biológicos,0.0
2016-12-31,T4,1.01.06,Tributos a Recuperar,44156.0
2016-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,44156.0
2016-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2016-12-31,T4,1.01.08,Outros Ativos Circulantes,18067.0
2016-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2016-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,1.01.08.03,Outros,18067.0
