cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,4293833.0,4310937.0,4839711.0,4856183.0,4656262.0,4640011.0,4720861.0,4832899.0,4728719.0,4762675.0,3852102.0,3639428.0,3836368.0,3780396.0,3753706.0,3588425.0,3518872.0,3860385.0,3614640.0,5311608.0,5239084.0,5146690.0,5046536.0,4924971.0,4845862.0,5154826.0,5130063.0,4892885.0,4711167.0,4437949.0,4201393.0,4075078.0,4054573.0,4010509.0,4027222.0,4004467.0,4135497.0,4529388.0,3795591.0,3148170.0,3168438.0,2753333.0,2362140.0
2.01,Passivo Circulante,469822.0,470236.0,478661.0,516869.0,569453.0,595842.0,570943.0,511928.0,481298.0,595187.0,414827.0,331279.0,354975.0,306038.0,404001.0,366168.0,354244.0,425736.0,291954.0,259230.0,210966.0,199068.0,184487.0,208034.0,185555.0,289684.0,288411.0,331232.0,188381.0,214393.0,109793.0,94551.0,86883.0,100047.0,107726.0,78883.0,472596.0,322109.0,103308.0,220589.0,220038.0,229465.0,238326.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.02,Fornecedores,39099.0,27993.0,35161.0,38201.0,32138.0,39538.0,32495.0,30230.0,17058.0,15465.0,12914.0,12385.0,10271.0,7843.0,7664.0,10021.0,7642.0,8704.0,8578.0,12399.0,8734.0,6787.0,7082.0,10809.0,7158.0,9936.0,11853.0,20051.0,11396.0,11613.0,12548.0,29175.0,24463.0,10074.0,10132.0,11890.0,8646.0,21249.0,11039.0,13793.0,9143.0,14582.0,10588.0
2.01.03,Obrigações Fiscais,18481.0,17388.0,14287.0,15633.0,15359.0,12800.0,15148.0,13588.0,19089.0,16183.0,106534.0,11847.0,20713.0,13820.0,12754.0,14017.0,15133.0,20170.0,24232.0,29269.0,11404.0,12580.0,12593.0,11818.0,10406.0,11670.0,11850.0,21760.0,14982.0,12046.0,13780.0,13428.0,11321.0,13123.0,14121.0,17222.0,7771.0,150426.0,12547.0,30505.0,18549.0,14167.0,18681.0
2.01.04,Empréstimos e Financiamentos,349823.0,381723.0,388643.0,409574.0,467386.0,488569.0,469861.0,415042.0,380725.0,506515.0,250268.0,267690.0,258782.0,261496.0,333672.0,307785.0,291956.0,291770.0,176754.0,136526.0,141603.0,133183.0,128699.0,131546.0,125772.0,228491.0,228741.0,224502.0,116828.0,116152.0,53272.0,25273.0,32352.0,51121.0,58867.0,23484.0,103710.0,119057.0,48664.0,136253.0,148513.0,14834.0,15079.0
2.01.05,Outras Obrigações,62419.0,43132.0,40570.0,53461.0,54570.0,54935.0,53439.0,53068.0,64426.0,57024.0,45111.0,39357.0,65209.0,22879.0,49911.0,34345.0,39513.0,105092.0,82390.0,81036.0,49225.0,46518.0,36113.0,53861.0,42219.0,39587.0,35967.0,64919.0,45175.0,74582.0,30193.0,26675.0,18747.0,25729.0,24606.0,26287.0,352469.0,31377.0,31058.0,40038.0,43833.0,185882.0,193978.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,2252999.0,2220132.0,2279570.0,2254461.0,1980080.0,1937621.0,2038310.0,2208661.0,2155612.0,2086292.0,1561302.0,1429686.0,1592870.0,1559967.0,1438194.0,1447739.0,1383534.0,1667662.0,1542127.0,1889581.0,1835467.0,1835581.0,1787207.0,1776694.0,1705825.0,1910628.0,1865813.0,1787157.0,1722047.0,1541118.0,1402671.0,1406053.0,1406051.0,1361208.0,1359159.0,1360208.0,1286546.0,1284865.0,1206466.0,1086739.0,1093213.0,721737.0,716478.0
