data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,1684987.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,156256.0
2015-12-31,T4,6.01.01.01,Lucro do Exercício,909423.0
2015-12-31,T4,6.01.01.02,Resultado de Equivalência Patrimonial,-216927.0
2015-12-31,T4,6.01.01.03,Depreciação e Amortização,1743.0
2015-12-31,T4,6.01.01.04,"Provisão fiscais, previdenciarias, trabalhistas e cíveis",-63.0
2015-12-31,T4,6.01.01.05,"Juros, variações monetárias e ajuste ao valor justo sobre empréstimos e financiamentos",236079.0
2015-12-31,T4,6.01.01.06,Juros e Variações Monetárias sobre Debêntures,475932.0
2015-12-31,T4,6.01.01.07,Imposto de Renda e Contribuição Social,-26150.0
2015-12-31,T4,6.01.01.08,Imposto de Renda e Contribuição Social Diferidos,186097.0
2015-12-31,T4,6.01.01.09,Tributos Diferidos,2749.0
2015-12-31,T4,6.01.01.10,Crédito Tributário Reconhecido no Exercício - COFINS,0.0
2015-12-31,T4,6.01.01.11,Variações Cambiais Líquidas - Depósitos Vinculados,0.0
2015-12-31,T4,6.01.01.12,Remuneração do Ativo Financeiro,-1193255.0
2015-12-31,T4,6.01.01.13,Ganho na remensuração na aquisição do controle da UNISA,0.0
2015-12-31,T4,6.01.01.14,Provisão Parcela Variável,5817.0
2015-12-31,T4,6.01.01.15,Provisão para multa,0.0
2015-12-31,T4,6.01.01.16,Instrumentos financeiros derivativos,-186553.0
2015-12-31,T4,6.01.01.17,Ganho na venda do imóvel - sede da Companhia,0.0
2015-12-31,T4,6.01.01.18,Receita de construção e indenização,-38636.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,1528731.0
2015-12-31,T4,6.01.02.01,Redução (aumento) de Clientes,33391.0
2015-12-31,T4,6.01.02.02,Redução do Ativo Financeiro,1261821.0
2015-12-31,T4,6.01.02.03,"(Redução) no Saldo de Impostos e Contribuições Sociais Ativos, Líquido do Passivo",40392.0
2015-12-31,T4,6.01.02.04,Imposto de Renda e Contribuição Social Pagos,-30413.0
2015-12-31,T4,6.01.02.05,Redução no Saldo de Tributos Diferidos Ativos Líquido do Passivo,0.0
2015-12-31,T4,6.01.02.06,Redução (aumento) no Saldo de Outros Créditos,11395.0
2015-12-31,T4,6.01.02.07,(Redução) no Saldo de Fornecedores,-3421.0
2015-12-31,T4,6.01.02.08,(Redução) no saldo Taxas Regulamentares,-10833.0
2015-12-31,T4,6.01.02.09,(Aumento) no saldo de Outras Contas a Pagar,60386.0
2015-12-31,T4,6.01.02.10,Dividendos Recebidos de Controladas,0.0
2015-12-31,T4,6.01.02.11,Dividendos e JCP recebidos de Controladas em conjunto e Coligadas,166013.0
2015-12-31,T4,6.01.02.12,Juros sobre o capital próprio recebidos de coligadas,0.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-6313.0
2015-12-31,T4,6.02.01,Redução no saldo de títulos e valores mobiliários,1389.0
2015-12-31,T4,6.02.02,Aquisição de Coligadas e Controladas (líquido do caixa adquirido),0.0
2015-12-31,T4,6.02.03,Caixa Oriundo da Consolidação da UNISA,0.0
2015-12-31,T4,6.02.04,Adição nos investimentos,0.0
2015-12-31,T4,6.02.05,Adição no Imobilizado e Intangível,-7702.0
2015-12-31,T4,6.02.06,Venda do imóvel - sede da Companhia,0.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-1648086.0
2015-12-31,T4,6.03.01,Captação de Empréstimos,5437.0
2015-12-31,T4,6.03.02,Emissão de Debêntures,0.0
2015-12-31,T4,6.03.03,Emissão de Notas Promissorias,0.0
2015-12-31,T4,6.03.04,Pagamento de empréstimos e financimentos - Principal,-142878.0
2015-12-31,T4,6.03.05,Pagamento de empréstimos e financimentos - Juros,-9591.0
2015-12-31,T4,6.03.06,Pagamento de notas promissórias - Principal,0.0
2015-12-31,T4,6.03.07,Pagamento de notas promissórias - Juros,0.0
2015-12-31,T4,6.03.08,Pagamento de debêntures - Principal,-445280.0
2015-12-31,T4,6.03.09,Pagamento de debêntures - Juros,-292548.0
2015-12-31,T4,6.03.10,Pagamento de Dividendos e JCP,-756989.0
2015-12-31,T4,6.03.11,Pagamento de instrumentos financeiros derivativos - juros,-42094.0
2015-12-31,T4,6.03.12,Emissão de Ações na Controlada,0.0
2015-12-31,T4,6.03.13,Recebimento (pagamento) na liquidação de instrumentos financeiros derivativos,35857.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,30588.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,101853.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,132441.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,1613393.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,156387.0
2016-12-31,T4,6.01.01.01,Lucro do Exercício,862066.0
2016-12-31,T4,6.01.01.02,Resultado de Equivalência Patrimonial,-235841.0
2016-12-31,T4,6.01.01.03,Depreciação e Amortização,3320.0
2016-12-31,T4,6.01.01.04,"Provisão fiscais, previdenciarias, trabalhistas e cíveis",8823.0
2016-12-31,T4,6.01.01.05,"Juros, variações monetárias e ajuste ao valor justo sobre empréstimos e financiamentos",-59353.0
2016-12-31,T4,6.01.01.06,Juros e Variações Monetárias sobre Debêntures,383096.0
2016-12-31,T4,6.01.01.07,Imposto de Renda e Contribuição Social,108272.0
2016-12-31,T4,6.01.01.09,Tributos Diferidos e outros,-6880.0
2016-12-31,T4,6.01.01.10,Crédito Tributário Reconhecido no Exercício - COFINS,0.0
2016-12-31,T4,6.01.01.11,Variações Cambiais Líquidas - Depósitos Vinculados,0.0
2016-12-31,T4,6.01.01.12,Remuneração do Ativo Financeiro de concessão,-979840.0
2016-12-31,T4,6.01.01.13,Ganho na remensuração na aquisição do controle da UNISA,0.0
2016-12-31,T4,6.01.01.14,Provisão Parcela Variável,4538.0
2016-12-31,T4,6.01.01.15,Provisão para multa,0.0
2016-12-31,T4,6.01.01.16,Instrumentos financeiros derivativos,126552.0
2016-12-31,T4,6.01.01.17,Ganho na venda do imóvel - sede da Companhia,0.0
2016-12-31,T4,6.01.01.18,Receita de construção e indenização,-58366.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,1457006.0
2016-12-31,T4,6.01.02.02,Redução nas contas a receber concessionarias e permissionarias e no ativo financeiro de concessão,1312756.0
2016-12-31,T4,6.01.02.03,"(Aumento) redução no Saldo de Impostos e Contribuições Sociais Ativos, Líquido do Passivo",-32923.0
2016-12-31,T4,6.01.02.04,Imposto de Renda e Contribuição Social Pagos,-34694.0
2016-12-31,T4,6.01.02.05,Redução no Saldo de Tributos Diferidos Ativos Líquido do Passivo,0.0
2016-12-31,T4,6.01.02.06,(Aumento) redução no Saldo de Outros Créditos,-14239.0
2016-12-31,T4,6.01.02.07,Aumento (redução) no Saldo de Fornecedores,-2988.0
2016-12-31,T4,6.01.02.08,Aumento (redução) no saldo Taxas Regulamentares,11839.0
2016-12-31,T4,6.01.02.09,(Redução) aumento no saldo de Outras Contas a Pagar,-33186.0
2016-12-31,T4,6.01.02.10,Dividendos Recebidos de Controladas,0.0
2016-12-31,T4,6.01.02.11,Dividendos e JCP recebidos de Controladas em conjunto e Coligadas,250441.0
2016-12-31,T4,6.01.02.12,Juros sobre o capital próprio recebidos de coligadas,0.0
2016-12-31,T4,6.01.03,Outros,0.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-184011.0
2016-12-31,T4,6.02.01,(Aumento) redução no saldo de títulos e valores mobiliários,-177442.0
2016-12-31,T4,6.02.02,Aquisição de Coligadas e Controladas (líquido do caixa adquirido),0.0
2016-12-31,T4,6.02.03,Caixa Oriundo da Consolidação da UNISA,0.0
2016-12-31,T4,6.02.04,Adição nos investimentos,0.0
2016-12-31,T4,6.02.05,Adição no Imobilizado e Intangível,-6569.0
2016-12-31,T4,6.02.06,Venda do imóvel - sede da Companhia,0.0
2016-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-1460318.0
2016-12-31,T4,6.03.01,Captação de Empréstimos,0.0
2016-12-31,T4,6.03.02,Emissão de Debêntures,0.0
2016-12-31,T4,6.03.03,Emissão de Notas Promissorias,0.0
2016-12-31,T4,6.03.04,Pagamento de empréstimos e financimentos - Principal,-238036.0
2016-12-31,T4,6.03.05,Pagamento de empréstimos e financimentos - Juros,-13715.0
2016-12-31,T4,6.03.06,Pagamento de notas promissórias - Principal,0.0
2016-12-31,T4,6.03.07,Pagamento de notas promissórias - Juros,0.0
2016-12-31,T4,6.03.08,Pagamento de debêntures - Principal,-195000.0
