data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,1022340.0
2015-12-31,T4,2.01,Passivo Circulante,802939.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,33075.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,10266.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,22809.0
2015-12-31,T4,2.01.02,Fornecedores,81224.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,65571.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,15653.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,26562.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,22564.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,19763.0
2015-12-31,T4,2.01.03.01.02,Outros Impostos,2801.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,3947.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,51.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,307546.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,212656.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,27118.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,185538.0
2015-12-31,T4,2.01.04.02,Debêntures,94890.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,311103.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.02,Outros,311103.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,4.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Instrumentos Financeiros Derivativos,956.0
2015-12-31,T4,2.01.05.02.05,Saques Cambiais,191948.0
2015-12-31,T4,2.01.05.02.06,Antecipação de Créditos Imobiliários,0.0
2015-12-31,T4,2.01.05.02.07,Outras Contas a Pagar,0.0
2015-12-31,T4,2.01.05.02.08,Adiantamento de Recebíveis,54589.0
2015-12-31,T4,2.01.05.02.09,Outras Obrigações,63606.0
2015-12-31,T4,2.01.06,Provisões,43429.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,30516.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,318.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,29262.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,936.0
2015-12-31,T4,2.01.06.02,Outras Provisões,12913.0
2015-12-31,T4,2.01.06.02.01,Provisões para Garantias,12913.0
2015-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,2.02,Passivo Não Circulante,279517.0
