cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,173538.0,175477.0,212225.0,262569.0,185538.0,198296.0,222951.0,223488.0,212394.0,181541.0,211120.0,179821.0,231043.0,200200.0,192292.0,221752.0,252085.0,232985.0,242301.0,272210.0,298320.0,423808.0,490802.0,560258.0,551098.0,651042.0,718001.0,820323.0,676569.0,625586.0,639972.0,597894.0,453233.0,470285.0,439319.0,419050.0,448866.0,407911.0,360653.0,455244.0,349094.0,402445.0,320289.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-138378.0,-120467.0,-136750.0,-186141.0,-139235.0,-134051.0,-174695.0,-189091.0,-154155.0,-134415.0,-177410.0,-202167.0,-151331.0,-121467.0,-114625.0,-150237.0,-160041.0,-152630.0,-158439.0,-187842.0,-195447.0,-243942.0,-262417.0,-316043.0,-297062.0,-354085.0,-347483.0,-424078.0,-342028.0,-327856.0,-346043.0,-363670.0,-276849.0,-298268.0,-274666.0,-300912.0,-303454.0,-263597.0,-232779.0,-290437.0,-236187.0,-249597.0,-220558.0
3.03,Resultado Bruto,35160.0,55010.0,75475.0,76428.0,46303.0,64245.0,48256.0,34397.0,58239.0,47126.0,33710.0,-22346.0,79712.0,78733.0,77667.0,71515.0,92044.0,80355.0,83862.0,84368.0,102873.0,179866.0,228385.0,244215.0,254036.0,296957.0,370518.0,396245.0,334541.0,297730.0,293929.0,234224.0,176384.0,172017.0,164653.0,118138.0,145412.0,144314.0,127874.0,164807.0,112907.0,152848.0,99731.0
3.04,Despesas/Receitas Operacionais,-110258.0,-51294.0,-56685.0,-84763.0,-70829.0,-81175.0,-77171.0,-62266.0,-60590.0,-61080.0,-67272.0,-90642.0,-50600.0,-51573.0,-60710.0,-98496.0,-61168.0,-31513.0,-65239.0,-77045.0,-63225.0,-78651.0,-82519.0,-96621.0,-85588.0,-79769.0,-83016.0,-95818.0,-100826.0,-99757.0,-120944.0,-78047.0,-120293.0,-98719.0,-103390.0,-90102.0,-89954.0,-100303.0,-96997.0,-86198.0,-117428.0,-114408.0,-62993.0
3.04.02,Despesas Gerais e Administrativas,-18656.0,-25721.0,-30051.0,-47807.0,-40941.0,-33093.0,-29304.0,-28643.0,-32428.0,-35848.0,-40442.0,-40086.0,-30764.0,-30013.0,-37614.0,-48205.0,-32524.0,-34204.0,-31488.0,-44004.0,-37300.0,-40550.0,-44234.0,-60093.0,-43724.0,-54812.0,-50916.0,-55673.0,-52625.0,-45173.0,-59553.0,-44570.0,-55385.0,-48484.0,-60558.0,-56482.0,-41031.0,-55295.0,-54715.0,-70264.0,-68382.0,-62197.0,-51608.0
3.04.05,Outras Despesas Operacionais,-73025.0,-3050.0,-7192.0,-4674.0,-6267.0,-18150.0,-15907.0,-917.0,-4293.0,-3153.0,-3069.0,-30857.0,-7825.0,-1057.0,-3567.0,-65584.0,-642.0,-8472.0,-5079.0,-4422.0,-2389.0,-672.0,-743.0,-469.0,-2620.0,-1991.0,-1988.0,-6382.0,-10711.0,-1190.0,-1269.0,-4483.0,-2453.0,-3374.0,-4198.0,-12848.0,-1402.0,-1972.0,-988.0,-16453.0,-860.0,-1428.0,-5433.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,-174.0,-120.0,-250.0,-854.0,-866.0,-635.0,-303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-19.0,-273.0,-216.0,-167.0,-232.0,-1050.0,-1911.0,-721.0,-63.0,-642.0,-1329.0,-186.0,-243.0,3805.0,421.0,1037.0,263.0,2121.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-75098.0,3716.0,18790.0,-8335.0,-24526.0,-16930.0,-28915.0,-27869.0,-2351.0,-13954.0,-33562.0,-112988.0,29112.0,27160.0,16957.0,-26981.0,30876.0,48842.0,18623.0,7323.0,39648.0,101215.0,145866.0,147594.0,168448.0,217188.0,287502.0,300427.0,233715.0,197973.0,172985.0,156177.0,56091.0,73298.0,61263.0,28036.0,55458.0,44011.0,30877.0,78609.0,-4521.0,38440.0,36738.0
3.06,Resultado Financeiro,-68326.0,-3505.0,-131850.0,-14894.0,19835.0,29899.0,-24417.0,-28026.0,-6043.0,-62774.0,3835.0,-49157.0,-26174.0,-118587.0,-39161.0,342.0,-12027.0,-1494.0,-64241.0,-2723.0,-188874.0,-55370.0,-41849.0,36461.0,-76102.0,59396.0,-52605.0,-2970.0,43508.0,-44633.0,-20613.0,17006.0,-108.0,4475.0,-22264.0,7918.0,-26045.0,-57940.0,-431.0,-45579.0,20608.0,5854.0,-1168.0
3.06.01,Receitas Financeiras,38284.0,58043.0,21894.0,22529.0,45137.0,56588.0,5115.0,4931.0,19385.0,697.0,28697.0,42092.0,2213.0,16413.0,19971.0,10494.0,4213.0,29936.0,217.0,2093.0,20284.0,35728.0,74071.0,120331.0,15743.0,132935.0,21484.0,54813.0,155192.0,76811.0,49533.0,101842.0,42754.0,47423.0,25288.0,43980.0,12508.0,26034.0,40397.0,48491.0,59208.0,46529.0,43680.0
3.06.02,Despesas Financeiras,-106610.0,-61548.0,-153744.0,-37423.0,-25302.0,-26689.0,-19302.0,-33325.0,-25428.0,-63471.0,-24862.0,-7065.0,-28387.0,-135000.0,-59132.0,-10836.0,-16240.0,-31430.0,-64458.0,-4816.0,-209158.0,-91098.0,-115920.0,-83870.0,-91845.0,-73539.0,-74089.0,-57783.0,-111684.0,-121444.0,-70146.0,-84836.0,-42862.0,-42948.0,-47552.0,-36062.0,-38553.0,-83974.0,-40828.0,-94070.0,-38600.0,-40675.0,-44848.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-143424.0,211.0,-113060.0,-23229.0,-4691.0,12969.0,-53332.0,-55895.0,-8394.0,-76728.0,-29727.0,-162145.0,2938.0,-91427.0,-22204.0,-26639.0,18849.0,47348.0,-45618.0,4600.0,-149226.0,45845.0,104017.0,184055.0,92346.0,276584.0,234897.0,297457.0,277223.0,153340.0,152372.0,173183.0,55983.0,77773.0,38999.0,35954.0,29413.0,-13929.0,30446.0,33030.0,16087.0,44294.0,35570.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-6469.0,-4509.0,-9782.0,-4932.0,-1424.0,-1589.0,-2111.0,-3046.0,-1941.0,-51276.0,-11241.0,-55424.0,-1957.0,-421.0,-64008.0,-8340.0,-14275.0,-4361.0,-18401.0,-14585.0,-8354.0,-6969.0,-4645.0,-48660.0,-24105.0,-82900.0,-66794.0,-90105.0,-81889.0,-51330.0,-48547.0,-51575.0,-20042.0,-28230.0,-13732.0,-6085.0,-10470.0,-4944.0,-4313.0,-17359.0,-2540.0,-11131.0,-4095.0
3.09,Resultado Líquido das Operações Continuadas,149893.0,4720.0,103278.0,-4081.0,3267.0,14558.0,55443.0,29759.0,6453.0,25452.0,18486.0,235637.0,981.0,91006.0,41804.0,-71185.0,4574.0,42987.0,27217.0,-27147.0,157580.0,38876.0,99372.0,-42509.0,68241.0,193684.0,168103.0,207352.0,195334.0,102010.0,103825.0,121608.0,35941.0,49543.0,25267.0,42039.0,18943.0,8985.0,26133.0,22531.0,18627.0,33163.0,31475.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,-2771.0,6167.0,-865.0,-526.0,640.0,845.0,-5164.0,456.0,159.0,2863.0,6806.0,-145.0,-53.0,-1692.0,-430.0,-341.0,-1191.0,-686.0,-575.0,-545.0,-680.0,734.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,149893.0,4720.0,103278.0,-4081.0,3267.0,14558.0,55443.0,29759.0,6453.0,25452.0,18486.0,235637.0,1194.0,93777.0,47971.0,-83080.0,4048.0,43627.0,26372.0,-30621.0,157124.0,39035.0,102235.0,-34791.0,68096.0,193631.0,166411.0,206922.0,194993.0,100819.0,103139.0,121033.0,35396.0,48863.0,26001.0,42530.0,18943.0,8985.0,26133.0,22531.0,18627.0,33163.0,31475.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-149893.0,4720.0,-103278.0,96749.0,-3267.0,14558.0,-55443.0,-58875.0,-6453.0,-25452.0,-18486.0,-235637.0,1194.0,-93777.0,47971.0,-15250.0,4048.0,43627.0,-26372.0,22123.0,-157124.0,39035.0,102235.0,279457.0,68096.0,193631.0,166411.0,206922.0,194993.0,100819.0,103139.0,121033.0,35396.0,48863.0,26001.0,42530.0,18943.0,-8985.0,26133.0,40501.0,18627.0,33163.0,31475.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,-102108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.99,Lucro por Ação (Reais/Ação),-9.28473,0.29237,-2.55334,5.27077,-0.06866,0.2498,-0.95134,-0.99764,-0.09976,-0.49321,-0.28577,-3.5429,0.01844,-1.44968,0.74157,-0.10996,0.04747,0.51164,-0.3367,0.80589,-3.55227,0.88286,2.31298,6.32707,1.41423,3.88576,2.99707,3.56185,3.29848,-0.32728,1.75293,3.78581,0.55903,0.77171,0.41065,0.67373,0.30053,-0.14268,0.41403,0.64156,0.2949,0.50093,0.45438
