codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-0.2343,-0.6788,-0.3279,-4.4646,3.7051,1.983,1.5415,1.2386,5.3703,6.4198,2.8545,2.8492
P_VPA,P/VPA,Valuation,x,-1.1635,-0.4516,-0.2107,-0.748,-1.1068,28.0583,2.8691,1.3032,1.5043,0.8384,0.5884,0.5873
EV_EBITDA,EV/EBITDA,Valuation,x,62.7664,-11.1951,-8.2094,13.5756,8.2095,4.0332,2.6026,1.914,7.7405,6.1085,5.8382,5.8321
EV_EBIT,EV/EBIT,Valuation,x,-8.6546,-7.2931,-4.7774,23.6234,9.948,4.2852,2.6796,1.9928,8.9949,7.3835,8.9725,8.9631
EV_RECEITA,EV/Receita,Valuation,x,0.6401,0.8629,0.9913,1.2925,1.0516,1.0496,0.9519,0.5969,1.1039,0.9224,0.877,0.8761
DY,Dividend Yield,Valuation,%,,,,,,,,34.3331,23.9715,7.8892,7.5074,7.5213
PAYOUT,Payout,Valuation,%,,,,,,,,88.1284,257.687,111.7713,54.0519,54.0519
ROE,ROE,Rentabilidade,%,-422.2004,-88.8099,-92.6956,-14.0489,-12.2054,-200.9537,158.9009,58.3833,14.4412,6.4197,8.4892,8.4892
ROA,ROA,Rentabilidade,%,24.8264,10.7578,34.4194,7.0838,4.3697,20.8622,35.735,23.799,6.8979,3.203,4.3951,4.3951
ROIC,ROIC,Rentabilidade,%,-10.1229,-13.8855,-44.9736,8.0081,17.0352,39.9546,53.8234,41.6492,10.1899,7.8714,5.2624,5.2624
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,1.0198,-7.7082,-12.0749,9.5208,12.8093,26.0244,36.5767,31.1871,14.2617,15.0998,15.0223,15.0223
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,30.8093,12.4088,36.4424,7.0819,4.3444,14.866,23.1734,20.4716,8.5746,4.579,6.928,6.928
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,54.4403,-9.9822,-7.2196,9.793,5.5764,1.4631,0.4357,0.2291,1.2775,1.8121,2.5178,2.5178
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-7.6078,-3.7164,-1.5368,-1.9366,-2.3439,15.9734,0.5769,0.1772,0.2973,0.3536,0.4462,0.4462
ICJ,ICJ,Endividamento,x,-0.1696,-0.939,-1.3478,0.1982,0.9035,0.8686,3.2752,1.9604,1.2908,0.8117,0.6841,0.6841
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,56.9841,4.0396,77.1945,13.8518,14.788,10.2298,89.2679,80.4889,78.0741,74.1525,81.4608,81.4608
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.7372,1.2243,0.4675,1.1505,1.1024,1.6179,1.3002,1.4696,1.4929,1.5252,1.5112,1.5112
LIQ_SECA,Liquidez Seca,Liquidez,x,0.4609,0.5915,0.2481,0.6332,0.6012,1.0994,0.861,0.8383,0.6661,0.7589,0.6513,0.6513
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.6058,0.4974,0.3895,0.5276,0.5872,0.7995,1.2029,1.3046,1.2935,1.3025,1.3263,1.3263
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.8058,0.9297,1.0207,0.9176,0.9373,1.214,1.309,1.1159,0.8273,0.6363,0.6133,0.6133
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,170.9676,130.3831,116.547,181.8859,169.57,130.3864,155.7969,185.1629,214.889,269.6652,308.9763,308.9763
PME,PME,Eficiência,dias,137.2959,137.9921,114.1644,185.4951,172.5127,105.5201,124.4606,164.4976,207.0508,257.3142,288.7465,288.7465
NCG_RECEITA,NCG/Receita,Eficiência,%,1.7188,10.1514,1.5321,19.5377,13.95,19.3256,25.4902,21.8561,33.8506,47.7437,59.5464,59.5464
