cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
1,Ativo Total,3135070.000,3647665.000,3560326.000,3906550.000,3943761.000,3995193.000,4108591.000,4185149.000,3962095.000,4336045.000,4566611.000,4723358.000,4690095.000,4908595.000,5070961.000,4932775.000,4798379.000,4879194.000,4754103.000,4635421.000,3712812.000,3670805.000,3613335.000,3508156.000,3128240.000,2941591.000,2744894.000,2555619.000,2319137.000,2240189.000,2160893.000,2042402.000,1936500.000,1864731.000,1694354.000,1893360.000,1718538.000,1617758.000,1621863.000,1689063.000,1743807.000,1765197.000,1598141.000,1564345.000,1556408.000,1563632.000,1538453.000,1545028.000,1607828.000,1564420.000,1567755.000,1550292.000,1527112.000,1586572.000,1526075.000,1450086.000,1339070.000,1255109.000,1147146.000
1.01,Ativo Circulante,1901013.000,2611760.000,2435879.000,2783571.000,2681117.000,2684311.000,2778560.000,2809380.000,2198456.000,2649862.000,2870515.000,3135712.000,3288973.000,3428921.000,3640919.000,3303673.000,3123812.000,2944214.000,3278710.000,3178682.000,2107312.000,2052649.000,2014367.000,1945710.000,1701223.000,1516916.000,1450605.000,1281145.000,1069069.000,1007191.000,938779.000,832134.000,712123.000,668135.000,596981.000,806370.000,731523.000,568955.000,565037.000,593330.000,704430.000,682263.000,679448.000,706226.000,767890.000,790823.000,783354.000,795778.000,861002.000,892586.000,831367.000,799938.000,751519.000,849893.000,758964.000,673948.000,545646.000,451633.000,339408.000
1.01.01,Caixa e Equivalentes de Caixa,278124.000,570288.000,319790.000,464173.000,414467.000,396013.000,375638.000,319117.000,95264.000,286345.000,412433.000,331538.000,335134.000,310585.000,407890.000,246175.000,251831.000,365272.000,313126.000,168896.000,99026.000,43857.000,16849.000,39180.000,12117.000,10300.000,23208.000,34503.000,10254.000,11173.000,10609.000,12584.000,14536.000,6065.000,4269.000,231912.000,251919.000,196418.000,221021.000,161565.000,101813.000,121139.000,90213.000,113496.000,103863.000,126761.000,98666.000,88982.000,113662.000,168018.000,143211.000,143418.000,83865.000,176331.000,178968.000,148797.000,130821.000,121619.000,65101.000
1.01.02,Aplicações Financeiras,11453.000,11705.000,11989.000,11573.000,11374.000,10941.000,10996.000,11222.000,59408.000,54487.000,31375.000,12455.000,8147.000,3973.000,3496.000,3214.000,5351.000,1337.000,141.000,36505.000,93709.000,65183.000,90076.000,51592.000,79430.000,14649.000,45803.000,11672.000,22623.000,12669.000,57382.000,38470.000,15951.000,37910.000,29685.000,110046.000,73214.000,10171.000,11563.000,78086.000,141889.000,150759.000,62873.000,69957.000,71145.000,56566.000,60417.000,47086.000,87346.000,22250.000,17949.000,25120.000,16871.000,24285.000,40525.000,47369.000,31447.000,22982.000,8526.000
1.01.03,Contas a Receber,928150.000,1169156.000,1255859.000,1419249.000,1405309.000,1396334.000,1452215.000,1540598.000,1197921.000,1347809.000,1467467.000,1709093.000,1864565.000,1894604.000,1971807.000,1894446.000,1662028.000,1556598.000,1800586.000,1847787.000,704285.000,753073.000,666367.000,528873.000,434132.000,371048.000,288715.000,193387.000,174483.000,156373.000,118381.000,74816.000,83157.000,61537.000,52347.000,60693.000,80655.000,50951.000,49821.000,50050.000,47172.000,31024.000,38884.000,28122.000,30556.000,39623.000,58910.000,78531.000,99765.000,129269.000,155810.000,172452.000,220170.000,232052.000,249096.000,220991.000,199736.000,130342.000,94847.000
1.01.04,Estoques,587430.000,752639.000,719301.000,773524.000,773274.000,764155.000,809027.000,847029.000,777492.000,852663.000,842759.000,963470.000,995216.000,1105830.000,1171883.000,1050317.000,1123302.000,916017.000,1072188.000,1022839.000,1102404.000,1108253.000,1159470.000,1234261.000,1104722.000,1022128.000,1000919.000,949148.000,801551.000,755620.000,672707.000,645687.000,539332.000,507003.000,468245.000,365843.000,281605.000,268755.000,247964.000,258259.000,376296.000,334023.000,445967.000,449104.000,520421.000,532119.000,528258.000,523805.000,504107.000,516647.000,457697.000,416436.000,388494.000,362037.000,239817.000,203007.000,132402.000,123651.000,115055.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,14151.000,15683.000,13900.000,17042.000,17029.000,18430.000,21767.000,21456.000,18436.000,15777.000,14573.000,14324.000,14388.000,14702.000,15825.000,17020.000,16662.000,16561.000,20548.000,30183.000,26324.000,27145.000,28448.000,27225.000,24910.000,28322.000,30040.000,30140.000,25869.000,15472.000,15356.000,15298.000,12428.000,12371.000,11670.000,10368.000,16712.000,15783.000,15300.000,14797.000,12626.000,13506.000,13866.000,13665.000,13811.000,12007.000,13334.000,18761.000,18728.000,14067.000,12644.000,12954.000,12769.000,14635.000,12231.000,13199.000,14162.000,13702.000,14208.000
1.01.07,Despesas Antecipadas,5433.000,5762.000,7293.000,7833.000,8396.000,9454.000,8100.000,8486.000,6978.000,6356.000,10112.000,9160.000,8852.000,9220.000,8778.000,7168.000,5390.000,5795.000,4959.000,3112.000,1998.000,2937.000,2303.000,1399.000,1143.000,4869.000,6050.000,6100.000,5993.000,5029.000,4499.000,3842.000,3290.000,2497.000,3821.000,1165.000,464.000,918.000,703.000,563.000,512.000,1644.000,1366.000,1513.000,1224.000,2813.000,2524.000,2249.000,2240.000,4062.000,3540.000,3035.000,2571.000,3950.000,3300.000,2976.000,2037.000,4116.000,3482.000
1.01.08,Outros Ativos Circulantes,76272.000,86527.000,107747.000,90177.000,51268.000,88984.000,100817.000,61472.000,42957.000,86425.000,91796.000,95672.000,62671.000,90007.000,61240.000,85333.000,59248.000,82634.000,67162.000,69360.000,79566.000,52201.000,50854.000,63180.000,44769.000,65600.000,55870.000,56195.000,28296.000,50855.000,59845.000,41437.000,43429.000,40752.000,26944.000,26343.000,26954.000,25959.000,18665.000,30010.000,24122.000,30168.000,26279.000,30369.000,26870.000,20934.000,21245.000,36364.000,35154.000,38273.000,40516.000,26523.000,26779.000,36603.000,35027.000,37609.000,35041.000,35221.000,38189.000
