cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
3.01,Receita de Venda de Bens e/ou Serviços,198250.000,250467.000,354711.000,611790.000,416860.000,413276.000,396660.000,369349.000,279207.000,373923.000,377306.000,324969.000,430087.000,500693.000,436287.000,465182.000,372018.000,502640.000,382296.000,339729.000,382278.000,368290.000,377446.000,143735.000,157633.000,100529.000,5119.000,77796.000,100345.000,124856.000,12486.000,70302.000,59150.000,57775.000,-26346.000,85354.000,112428.000,47305.000,74614.000,131618.000,44057.000,33821.000,59065.000,43704.000,32676.000,65471.000,25427.000,22789.000,47479.000,40566.000,72146.000,77156.000,139730.000,101811.000,85921.000,109658.000,87398.000,178512.000,86923.000,117793.000,46892.000,31369.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-131029.000,-164614.000,-248198.000,-458286.000,-296131.000,-291170.000,-285062.000,-335984.000,-225057.000,-309805.000,-318495.000,-310804.000,-300854.000,-332366.000,-298538.000,-354480.000,-278042.000,-337009.000,-276081.000,-258358.000,-280932.000,-248733.000,-271850.000,-143256.000,-139429.000,-115071.000,-52549.000,-111739.000,-114536.000,-174918.000,-30572.000,-99148.000,-55961.000,-64924.000,-5666.000,-82848.000,-72888.000,-54097.000,-78959.000,-128516.000,-51308.000,-35680.000,-64866.000,-44953.000,-27331.000,-58812.000,-27306.000,-24710.000,-42394.000,-38691.000,-61781.000,-66657.000,-110974.000,-87345.000,-83104.000,-134830.000,-95168.000,-184193.000,-98249.000,-131304.000,-51424.000,-61004.000
3.03,Resultado Bruto,67221.000,85853.000,106513.000,153504.000,120729.000,122106.000,111598.000,33365.000,54150.000,64118.000,58811.000,14165.000,129233.000,168327.000,137749.000,110702.000,93976.000,165631.000,106215.000,81371.000,101346.000,119557.000,105596.000,479.000,18204.000,-14542.000,-47430.000,-33943.000,-14191.000,-50062.000,-18086.000,-28846.000,3189.000,-7149.000,-32012.000,2506.000,39540.000,-6792.000,-4345.000,3102.000,-7251.000,-1859.000,-5801.000,-1249.000,5345.000,6659.000,-1879.000,-1921.000,5085.000,1875.000,10365.000,10499.000,28756.000,14466.000,2817.000,-25172.000,-7770.000,-5681.000,-11326.000,-13511.000,-4532.000,-29635.000
3.04,Despesas/Receitas Operacionais,-28059.000,-35426.000,-44082.000,-92495.000,-53124.000,-58353.000,-54104.000,-92422.000,-61950.000,-69161.000,-109573.000,-115945.000,-47436.000,-59263.000,-61420.000,-55833.000,-60300.000,-75999.000,-59548.000,-68173.000,-67205.000,-82380.000,-82704.000,155234.000,-23666.000,-80204.000,-66615.000,-216881.000,-47564.000,-70665.000,-108197.000,-135939.000,-40512.000,-56570.000,-35081.000,-51069.000,-28550.000,-121372.000,-39045.000,-54772.000,-45166.000,-37369.000,-23125.000,-20741.000,-19272.000,-47751.000,-24451.000,-44840.000,-2508.000,-6339.000,-6147.000,9841.000,-19216.000,-5028.000,-5783.000,-25233.000,-3234.000,-16875.000,-16147.000,-32885.000,8411.000,-14480.000
3.04.02,Despesas Gerais e Administrativas,-17285.000,-21924.000,-21840.000,-36194.000,-26934.000,-30171.000,-32394.000,-34731.000,-36713.000,-37735.000,-38020.000,-56467.000,-40524.000,-44724.000,-47396.000,-47581.000,-41875.000,-45113.000,-47510.000,-47181.000,-45312.000,-45628.000,-41293.000,-32893.000,-28055.000,-28472.000,-30154.000,-26129.000,-23986.000,-18503.000,-16419.000,-16891.000,-15247.000,-15213.000,-14903.000,-15159.000,-14291.000,-16941.000,-15560.000,-16695.000,-15664.000,-15841.000,-17368.000,-16817.000,-18501.000,-10630.000,-16941.000,-18442.000,-13462.000,-14062.000,-12673.000,-24216.000,-12701.000,-8716.000,-12873.000,-24379.000,-13330.000,-14000.000,-13830.000,-13695.000,-14960.000,-11819.000
3.04.05,Outras Despesas Operacionais,-1209.000,-390.000,-4471.000,-22011.000,-4406.000,-438.000,-4579.000,-10332.000,-7201.000,-12991.000,-50308.000,67782.000,-8.000,-6619.000,-8335.000,14962.000,-13761.000,-12326.000,-11181.000,37268.000,-18389.000,-24410.000,-27603.000,70402.000,-7022.000,-19984.000,-19180.000,46186.000,-8587.000,-33630.000,-77696.000,-121990.000,-22297.000,-43419.000,-6609.000,-28149.000,-22111.000,-106475.000,-32195.000,-42726.000,-32975.000,-19726.000,-16844.000,-18311.000,-8285.000,-47167.000,-260.000,-16614.000,-2644.000,7638.000,9885.000,45163.000,-301.000,0.000,7196.000,374.000,9950.000,0.000,-9908.000,-51243.000,-462.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11384.000,15305.000,14872.000,19640.000,10192.000,3624.000,12128.000,4257.000,6144.000,1687.000,2679.000,-25149.000,19496.000,-23395.000,-9257.000,-37598.000,-8010.000,-8687.000,-4264.000,10115.000,956.000,8636.000,-9643.000,-1986.000,11395.000,7672.000,13988.000,10490.000,8125.000,1459.000,15827.000,20011.000,14300.000,16329.000,1778.000,544.000,19500.000,9080.000,3760.000,-3565.000,1330.000,4579.000,5190.000,12402.000,5646.000,14627.000,14370.000,25045.000,27069.000,9032.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,39162.000,50427.000,62431.000,61009.000,67605.000,63753.000,57494.000,-59057.000,-7800.000,-5043.000,-50762.000,-101780.000,81797.000,109064.000,76329.000,54869.000,33676.000,89632.000,46667.000,13198.000,34141.000,37177.000,22892.000,155713.000,-5462.000,-94746.000,-114045.000,-250824.000,-61755.000,-120727.000,-126283.000,-164785.000,-37323.000,-63719.000,-67093.000,-48563.000,10990.000,-128164.000,-43390.000,-51670.000,-52417.000,-39228.000,-28926.000,-21990.000,-13927.000,-41092.000,-26330.000,-46761.000,2577.000,-4464.000,4218.000,20340.000,9540.000,9438.000,-2966.000,-50405.000,-11004.000,-22556.000,-27473.000,-46396.000,3879.000,-44115.000
3.06,Resultado Financeiro,12013.000,5702.000,9482.000,2544.000,15750.000,23333.000,7495.000,16360.000,10574.000,20708.000,3418.000,-14911.000,-5865.000,-8518.000,7729.000,8061.000,18990.000,17681.000,9170.000,15298.000,22894.000,24662.000,11536.000,13133.000,12335.000,2129.000,2648.000,-2437.000,-322.000,-21127.000,-17748.000,-13335.000,-14474.000,-21659.000,-8578.000,-16641.000,-11292.000,-15684.000,-9991.000,-7510.000,-5686.000,-187.000,-5362.000,-7311.000,-11582.000,-12083.000,-17780.000,-11595.000,-8233.000,-3987.000,736.000,-1512.000,-1877.000,-1707.000,-2457.000,-2971.000,-7517.000,-6419.000,-12466.000,-4602.000,-10188.000,-14039.000
3.06.01,Receitas Financeiras,17002.000,13864.000,16119.000,14431.000,25571.000,35104.000,23205.000,26484.000,20889.000,32308.000,20372.000,6914.000,12536.000,19663.000,26585.000,29742.000,27072.000,27873.000,21312.000,27050.000,35570.000,37546.000,24871.000,26317.000,21624.000,13181.000,16271.000,13183.000,17419.000,7202.000,5000.000,7555.000,5521.000,1489.000,13574.000,5655.000,8456.000,3650.000,4793.000,5134.000,7382.000,6273.000,6000.000,6929.000,7845.000,6242.000,8032.000,6329.000,6953.000,8617.000,8466.000,3551.000,8321.000,8757.000,6699.000,6383.000,5064.000,6541.000,5722.000,8905.000,4926.000,2987.000
