cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
1,Ativo Total,817399.0,796937.0,810590.0,776169.0,748814.0,750622.0,779630.0,742508.0,739049.0,752289.0,711418.0,714867.0,710848.0,756972.0,764235.0,792471.0,760772.0,707338.0,783533.0,676091.0,677825.0,651380.0,636539.0,598815.0,603666.0,624389.0,644655.0,642730.0,625628.0,625592.0,631574.0,642766.0,621861.0,639357.0,651485.0,665615.0,639088.0,636880.0,693470.0,724487.0,685591.0,688254.0,711330.0
1.01,Ativo Circulante,488908.0,464763.0,474573.0,429632.0,402514.0,404171.0,439141.0,383634.0,380063.0,391300.0,350762.0,338824.0,333915.0,366095.0,378907.0,392904.0,357051.0,323111.0,400715.0,392740.0,374857.0,352792.0,350099.0,345865.0,353264.0,375640.0,397799.0,418279.0,403048.0,404033.0,409800.0,417062.0,395945.0,411063.0,425179.0,437690.0,412013.0,407015.0,463831.0,495693.0,456230.0,456563.0,479712.0
1.01.01,Caixa e Equivalentes de Caixa,67993.0,53206.0,31772.0,20016.0,20883.0,32233.0,66644.0,16978.0,24393.0,36509.0,12001.0,14829.0,26761.0,47110.0,45518.0,69861.0,46823.0,27974.0,78848.0,54109.0,46100.0,47847.0,38285.0,65258.0,94460.0,100204.0,100367.0,89633.0,80079.0,62556.0,80827.0,98325.0,95005.0,103002.0,114833.0,125152.0,112328.0,93939.0,124126.0,119913.0,88638.0,66138.0,69938.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,802.0,249.0,0.0,0.0,0.0,10844.0,18249.0,7540.0,7540.0,7778.0,4014.0,6828.0,6895.0,20286.0,46802.0,11313.0,11480.0,11445.0,12865.0,7706.0,7972.0,8037.0,9195.0,8317.0,8704.0,8824.0,186.0,119.0,97.0,322.0,368.0,366.0,373.0,440.0,197.0
1.01.03,Contas a Receber,197119.0,200746.0,184827.0,227047.0,195897.0,196924.0,187988.0,219620.0,181404.0,184516.0,172742.0,191607.0,154478.0,146636.0,140160.0,160179.0,136998.0,138135.0,131455.0,154790.0,112306.0,81366.0,91115.0,133452.0,97766.0,101108.0,106201.0,142792.0,122988.0,140948.0,128634.0,148184.0,128736.0,134695.0,129822.0,152111.0,136135.0,154034.0,151578.0,190186.0,176356.0,193932.0,189309.0
1.01.04,Estoques,156145.0,158721.0,183510.0,152716.0,161628.0,152134.0,153233.0,125930.0,150741.0,144216.0,140359.0,105592.0,121035.0,133757.0,145048.0,115105.0,132491.0,115877.0,143324.0,122615.0,150189.0,139506.0,113393.0,76979.0,91147.0,104107.0,120706.0,106824.0,126134.0,135136.0,137595.0,119502.0,122838.0,119330.0,129961.0,117525.0,121306.0,112982.0,146076.0,142936.0,161153.0,164493.0,183319.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,21242.0,14311.0,22511.0,12337.0,12674.0,10688.0,16360.0,7261.0,8819.0,9742.0,8448.0,7681.0,11765.0,9390.0,12324.0,15032.0,11269.0,12759.0,16797.0,38249.0,29807.0,35477.0,38802.0,43603.0,42472.0,44069.0,43641.0,57698.0,53436.0,46690.0,43223.0,31252.0,22957.0,25044.0,31661.0,26271.0,23708.0,24950.0,23001.0,18238.0,13208.0,14613.0,18889.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,46409.0,37779.0,51953.0,17516.0,11432.0,12192.0,14916.0,12792.0,13904.0,16068.0,17212.0,19115.0,19876.0,18358.0,17608.0,25187.0,21930.0,20588.0,26277.0,16149.0,29560.0,28310.0,21702.0,15260.0,15939.0,14707.0,14019.0,13626.0,12439.0,10666.0,10326.0,11482.0,17705.0,20168.0,18716.0,16512.0,18439.0,20788.0,18682.0,24054.0,16502.0,16947.0,18060.0
