cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2149281.0,1983658.0,1964405.0,1905660.0,1986342.0,1956313.0,1902091.0,1862149.0,1888786.0,1920309.0,2034103.0,2135178.0,2309580.0,2311084.0,2525361.0,2621039.0,2747373.0,3005613.0,3164920.0,3478485.0,3569669.0,4138312.0,4109366.0,4236719.0,4165417.0,4434687.0,4580948.0,4441497.0,4369971.0,4408936.0,4279922.0,4128354.0,4176858.0,4306526.0,4561617.0,4176858.0,4557300.0,4699358.0,4920061.0,5348937.0,5138526.0,5850578.0,6190365.0
2.01,Passivo Circulante,693518.0,573617.0,530996.0,502949.0,526655.0,489966.0,426402.0,353538.0,342085.0,363585.0,376621.0,405767.0,414596.0,429781.0,420753.0,453583.0,516267.0,539635.0,554668.0,578971.0,914441.0,1051069.0,1043506.0,1216366.0,963259.0,986249.0,1090658.0,1280806.0,1338147.0,1434089.0,1367317.0,1480765.0,1587082.0,1597540.0,1642616.0,1587082.0,1456145.0,1606617.0,1944244.0,1951017.0,1713718.0,1798047.0,1976185.0
2.01.01,Obrigações Sociais e Trabalhistas,71763.0,73227.0,86645.0,72606.0,73531.0,65564.0,68157.0,29598.0,36059.0,31511.0,37975.0,36995.0,43192.0,36456.0,44854.0,45024.0,50122.0,44009.0,54599.0,49265.0,54208.0,62184.0,73808.0,55926.0,69152.0,64533.0,73884.0,68478.0,80703.0,85061.0,95921.0,92498.0,113193.0,81390.0,106953.0,113193.0,75050.0,96683.0,117620.0,110922.0,131883.0,115392.0,141764.0
2.01.02,Fornecedores,20932.0,32074.0,23006.0,13669.0,29806.0,34818.0,26978.0,31664.0,20960.0,28858.0,31645.0,22749.0,28664.0,29687.0,40272.0,21449.0,46364.0,48305.0,59934.0,38926.0,63492.0,53836.0,84939.0,38150.0,63814.0,67376.0,92161.0,110842.0,47720.0,104261.0,128320.0,136164.0,138303.0,119884.0,157283.0,138303.0,140761.0,182613.0,214339.0,228364.0,288029.0,333704.0,364585.0
2.01.03,Obrigações Fiscais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30510.0,32103.0,26742.0,32138.0,27387.0,28033.0,27754.0,32045.0,26951.0,27204.0,27393.0,28718.0,30048.0,30282.0,48440.0,29300.0,23551.0,35257.0,40237.0,32572.0,32591.0,22969.0,22897.0,22318.0,30122.0,22055.0,31744.0,31990.0,22055.0,46077.0,36554.0,45846.0,47198.0,47623.0,38433.0,24992.0
2.01.04,Empréstimos e Financiamentos,208063.0,215140.0,221764.0,210776.0,214646.0,185711.0,122091.0,41333.0,66765.0,73450.0,58548.0,31033.0,14205.0,8273.0,5779.0,10088.0,8296.0,26246.0,11618.0,14115.0,321993.0,515819.0,478529.0,599666.0,313058.0,250140.0,313741.0,344854.0,436633.0,498324.0,526688.0,597353.0,615513.0,572975.0,504655.0,615513.0,409837.0,451771.0,733455.0,632231.0,423217.0,495259.0,508456.0
2.01.05,Outras Obrigações,381801.0,239227.0,183602.0,195587.0,198724.0,194888.0,200122.0,210326.0,170199.0,189420.0,204144.0,243867.0,258077.0,283542.0,260438.0,289747.0,319882.0,346648.0,356286.0,382547.0,376837.0,304090.0,318204.0,434513.0,416530.0,496309.0,513092.0,667126.0,696905.0,665214.0,526071.0,541624.0,594935.0,673219.0,746637.0,594935.0,669614.0,728978.0,718729.0,779028.0,663650.0,626428.0,703275.0
2.01.06,Provisões,10959.0,13949.0,15979.0,10311.0,9948.0,8985.0,9054.0,10107.0,15999.0,13604.0,12171.0,43736.0,42425.0,44069.0,37365.0,60324.0,64399.0,47034.0,43513.0,64070.0,67629.0,66700.0,58726.0,64560.0,65448.0,67654.0,65208.0,56915.0,53217.0,58332.0,67999.0,83004.0,88256.0,118328.0,95098.0,103083.0,114806.0,110018.0,114255.0,153274.0,159316.0,188831.0,233113.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,349179.0,285045.0,295667.0,275897.0,327475.0,324705.0,317622.0,432989.0,445847.0,462079.0,530693.0,565672.0,685141.0,690930.0,886529.0,963682.0,1030094.0,1213599.0,1305888.0,1547805.0,1284132.0,1679193.0,1585403.0,1502232.0,1725782.0,1952486.0,2002712.0,1948063.0,1876152.0,1927767.0,2063781.0,1929977.0,1913029.0,2015130.0,2019269.0,1913029.0,2205014.0,2221295.0,2019278.0,2441565.0,2317626.0,2853198.0,2972604.0
