codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,398.6453,22.2715,14.646,17.8201,10.3707,16.7856,16.1415
P_VPA,P/VPA,Valuation,x,56.0201,42.7468,28.7091,33.0924,17.3471,30.2476,29.087
EV_EBITDA,EV/EBITDA,Valuation,x,218.1883,104.2226,65.4432,77.8969,41.9884,60.1886,57.9003
EV_EBIT,EV/EBIT,Valuation,x,278.2123,126.816,75.5233,92.3622,50.7274,79.5139,76.4909
EV_RECEITA,EV/Receita,Valuation,x,42.1138,26.3698,16.6663,20.0903,10.0146,16.2827,15.6637
DY,Dividend Yield,Valuation,%,,0.8284,1.8167,1.2184,2.5601,1.6086,1.6728
PAYOUT,Payout,Valuation,%,,122.9205,177.5282,145.7759,178.3163,185.7187,185.7187
ROE,ROE,Rentabilidade,%,12.8103,32.867,32.3618,30.8399,26.5676,28.2747,28.2747
ROA,ROA,Rentabilidade,%,7.2387,18.5505,18.2903,18.1321,15.6247,17.0875,17.0875
ROIC,ROIC,Rentabilidade,%,16.3347,21.2987,23.0074,21.2871,18.0421,19.7989,19.7989
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,19.3016,25.3014,25.4668,25.7909,23.8509,27.0529,27.0529
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,9.663,17.7516,16.9996,16.7342,14.1571,13.9742,13.9742
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.7393,0.1112,0.2137,0.2691,0.6446,0.5517,0.5517
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1892,0.0456,0.094,0.1147,0.2705,0.2798,0.2798
ICJ,ICJ,Endividamento,x,3.7298,10.9457,8.3146,7.1669,6.3236,6.2913,6.2913
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,13.5668,13.2023,17.2568,17.3477,10.5034,10.5645,10.5645
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.8129,2.8664,2.5703,2.8286,2.6764,2.8585,2.8585
LIQ_SECA,Liquidez Seca,Liquidez,x,2.0133,1.6275,1.3418,1.5184,1.314,1.2032,1.2032
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.9278,1.8339,1.767,1.9176,1.6487,1.6891,1.6891
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7491,0.9151,0.9786,1.0023,1.008,1.1058,1.1058
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,274.2482,345.4799,312.5291,319.6138,312.0024,294.9881,294.9881
PME,PME,Eficiência,dias,258.0087,327.0325,305.863,289.8021,288.5016,295.6736,295.6736
NCG_RECEITA,NCG/Receita,Eficiência,%,37.035,42.0265,38.1785,42.1516,41.9085,39.6863,39.6863
