# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-08 08:43:41
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2015,3.01,121346.0,121346.0,0.0,0.0,OK
2015,3.02,-110270.0,-110270.0,0.0,0.0,OK
2015,3.03,11076.0,11076.0,0.0,0.0,OK
2015,3.04,-26443.0,-26443.0,0.0,0.0,OK
2015,3.04.02,-15544.0,-15544.0,0.0,0.0,OK
2015,3.04.05,-2598.0,-2598.0,0.0,0.0,OK
2015,3.04.05.02,0.0,,,,SEM_ANUAL
2015,3.04.06,-1011.0,-1011.0,0.0,0.0,OK
2015,3.05,-15367.0,-15367.0,0.0,0.0,OK
2015,3.06,7875.0,7875.0,0.0,0.0,OK
2015,3.06.01,8213.0,8213.0,0.0,0.0,OK
2015,3.06.02,-338.0,-338.0,0.0,0.0,OK
2015,3.07,-7492.0,-7492.0,0.0,0.0,OK
2015,3.08,-1470.0,-1470.0,0.0,0.0,OK
2015,3.09,8962.0,8962.0,0.0,0.0,OK
2015,3.10,0.0,0.0,0.0,0.0,OK
2015,3.11,8962.0,8962.0,0.0,0.0,OK
2015,3.11.01,-8830.0,-8830.0,0.0,0.0,OK
2015,3.11.02,-132.0,-132.0,0.0,0.0,OK
2016,3.01,110644.0,110644.0,0.0,0.0,OK
2016,3.02,-106354.0,-106354.0,0.0,0.0,OK
2016,3.03,4290.0,4290.0,0.0,0.0,OK
2016,3.04,-29952.0,-29952.0,0.0,0.0,OK
2016,3.04.02,-16312.0,-16312.0,0.0,0.0,OK
2016,3.04.05,-2784.0,-2784.0,0.0,0.0,OK
2016,3.04.05.02,0.0,,,,SEM_ANUAL
2016,3.04.06,-1542.0,-1542.0,0.0,0.0,OK
2016,3.05,-25662.0,-25662.0,0.0,0.0,OK
2016,3.06,5257.0,5257.0,0.0,0.0,OK
2016,3.06.01,5730.0,5730.0,0.0,0.0,OK
2016,3.06.02,-473.0,-473.0,0.0,0.0,OK
2016,3.07,-20405.0,-20405.0,0.0,0.0,OK
2016,3.08,-3587.0,-3587.0,0.0,0.0,OK
2016,3.09,16818.0,16818.0,0.0,0.0,OK
2016,3.10,0.0,0.0,0.0,0.0,OK
2016,3.11,16818.0,16818.0,0.0,0.0,OK
2016,3.11.01,-16818.0,-16818.0,0.0,0.0,OK
2016,3.11.02,0.0,0.0,0.0,0.0,OK
2017,3.01,124056.0,124056.0,0.0,0.0,OK
2017,3.02,-112587.0,-112587.0,0.0,0.0,OK
2017,3.03,11469.0,11469.0,0.0,0.0,OK
2017,3.04,-31432.0,-31432.0,0.0,0.0,OK
2017,3.04.02,-17371.0,-17371.0,0.0,0.0,OK
2017,3.04.05,-1322.0,-1322.0,0.0,0.0,OK
2017,3.04.05.02,0.0,,,,SEM_ANUAL
2017,3.04.06,-756.0,-756.0,0.0,0.0,OK
2017,3.05,-19963.0,-19963.0,0.0,0.0,OK
2017,3.06,2886.0,2886.0,0.0,0.0,OK
2017,3.06.01,5361.0,5361.0,0.0,0.0,OK
2017,3.06.02,-2475.0,-2475.0,0.0,0.0,OK
2017,3.07,-17077.0,-17077.0,0.0,0.0,OK
2017,3.08,-1373.0,-1373.0,0.0,0.0,OK
2017,3.09,15704.0,15704.0,0.0,0.0,OK
2017,3.10,0.0,0.0,0.0,0.0,OK
2017,3.11,15704.0,15704.0,0.0,0.0,OK
2017,3.11.01,-15704.0,-15704.0,0.0,0.0,OK
2017,3.11.02,0.0,0.0,0.0,0.0,OK
2018,3.01,137170.0,137170.0,0.0,0.0,OK
2018,3.02,-118820.0,-118820.0,0.0,0.0,OK
2018,3.03,18350.0,18350.0,0.0,0.0,OK
2018,3.04,-21325.0,-21325.0,0.0,0.0,OK
2018,3.04.02,-17793.0,-17793.0,0.0,0.0,OK
2018,3.04.05,-901.0,-901.0,0.0,0.0,OK
2018,3.04.05.02,0.0,,,,SEM_ANUAL
2018,3.04.06,744.0,744.0,0.0,0.0,OK
2018,3.05,-2975.0,-2975.0,0.0,0.0,OK
2018,3.06,8732.0,8732.0,0.0,0.0,OK
2018,3.06.01,10166.0,10166.0,0.0,0.0,OK
2018,3.06.02,-1434.0,-1434.0,0.0,0.0,OK
2018,3.07,5757.0,5757.0,0.0,0.0,OK
2018,3.08,-5039.0,-5039.0,0.0,0.0,OK
2018,3.09,718.0,718.0,0.0,0.0,OK
2018,3.10,0.0,0.0,0.0,0.0,OK
2018,3.11,718.0,718.0,0.0,0.0,OK
2018,3.11.01,718.0,718.0,0.0,0.0,OK
2018,3.11.02,0.0,0.0,0.0,0.0,OK
2019,3.01,149259.0,149259.0,0.0,0.0,OK
2019,3.02,-118660.0,-118660.0,0.0,0.0,OK
2019,3.03,30599.0,30599.0,0.0,0.0,OK
2019,3.04,-18371.0,-18371.0,0.0,0.0,OK
2019,3.04.02,-19486.0,-19486.0,0.0,0.0,OK
2019,3.04.05,-535.0,-535.0,0.0,0.0,OK
2019,3.04.05.02,0.0,,,,SEM_ANUAL
2019,3.04.06,2079.0,2079.0,0.0,0.0,OK
2019,3.05,12228.0,12228.0,0.0,0.0,OK
2019,3.06,3909.0,3909.0,0.0,0.0,OK
2019,3.06.01,4946.0,4946.0,0.0,0.0,OK
2019,3.06.02,-1037.0,-1037.0,0.0,0.0,OK
2019,3.07,16137.0,16137.0,0.0,0.0,OK
2019,3.08,-6754.0,-6754.0,0.0,0.0,OK
2019,3.09,9383.0,9383.0,0.0,0.0,OK
2019,3.10,0.0,0.0,0.0,0.0,OK
2019,3.11,9383.0,9383.0,0.0,0.0,OK
2019,3.11.01,9383.0,9383.0,0.0,0.0,OK
2019,3.11.02,0.0,0.0,0.0,0.0,OK
2020,3.01,182413.0,182413.0,0.0,0.0,OK
2020,3.02,-133842.0,-133842.0,0.0,0.0,OK
2020,3.03,48571.0,48571.0,0.0,0.0,OK
2020,3.04,-23907.0,-23907.0,0.0,0.0,OK
2020,3.04.02,-20311.0,-20311.0,0.0,0.0,OK
2020,3.04.05,-503.0,-503.0,0.0,0.0,OK
2020,3.04.05.02,0.0,,,,SEM_ANUAL
2020,3.04.06,3194.0,3194.0,0.0,0.0,OK
2020,3.05,24664.0,24664.0,0.0,0.0,OK
2020,3.06,271.0,271.0,0.0,0.0,OK
2020,3.06.01,1212.0,1212.0,0.0,0.0,OK
2020,3.06.02,-941.0,-941.0,0.0,0.0,OK
2020,3.07,24935.0,24935.0,0.0,0.0,OK
2020,3.08,-7215.0,-7215.0,0.0,0.0,OK
2020,3.09,17720.0,17720.0,0.0,0.0,OK
2020,3.10,-4920.0,-4920.0,0.0,0.0,OK
2020,3.11,12800.0,12800.0,0.0,0.0,OK
2020,3.11.01,12800.0,12800.0,0.0,0.0,OK
2020,3.11.02,0.0,0.0,0.0,0.0,OK
2021,3.01,311648.0,311648.0,0.0,0.0,OK
2021,3.02,-228854.0,-228854.0,0.0,0.0,OK
2021,3.03,82794.0,82794.0,0.0,0.0,OK
2021,3.04,-10022.0,-10022.0,0.0,0.0,OK
2021,3.04.02,-24978.0,-24978.0,0.0,0.0,OK
2021,3.04.05,-197.0,-197.0,0.0,0.0,OK
2021,3.04.05.02,0.0,,,,SEM_ANUAL
2021,3.04.06,15982.0,15982.0,0.0,0.0,OK
2021,3.05,72772.0,72772.0,0.0,0.0,OK
2021,3.06,6045.0,6045.0,0.0,0.0,OK
2021,3.06.01,8505.0,8505.0,0.0,0.0,OK
2021,3.06.02,-2460.0,-2460.0,0.0,0.0,OK
2021,3.07,78817.0,78817.0,0.0,0.0,OK
2021,3.08,-12741.0,-12741.0,0.0,0.0,OK
2021,3.09,66076.0,66076.0,0.0,0.0,OK
2021,3.10,-8.0,-8.0,0.0,0.0,OK
2021,3.11,66068.0,66068.0,0.0,0.0,OK
2021,3.11.01,66068.0,66068.0,0.0,0.0,OK
2021,3.11.02,0.0,0.0,0.0,0.0,OK
2022,3.01,307860.0,307860.0,0.0,0.0,OK
2022,3.02,-238576.0,-238576.0,0.0,0.0,OK
2022,3.03,69284.0,69284.0,0.0,0.0,OK
2022,3.04,-17207.0,-17207.0,0.0,0.0,OK
2022,3.04.02,-23779.0,-23779.0,0.0,0.0,OK
2022,3.04.05,-42.0,-42.0,0.0,0.0,OK
2022,3.04.05.02,0.0,,,,SEM_ANUAL
2022,3.04.06,13338.0,13338.0,0.0,0.0,OK
2022,3.05,52077.0,52077.0,0.0,0.0,OK
2022,3.06,5007.0,5007.0,0.0,0.0,OK
2022,3.06.01,9256.0,9256.0,0.0,0.0,OK
2022,3.06.02,-4249.0,-4249.0,0.0,0.0,OK
2022,3.07,57084.0,57084.0,0.0,0.0,OK
2022,3.08,-9404.0,-9404.0,0.0,0.0,OK
2022,3.09,47680.0,47680.0,0.0,0.0,OK
2022,3.10,-9430.0,-9430.0,0.0,0.0,OK
2022,3.11,38250.0,38250.0,0.0,0.0,OK
2022,3.11.01,38250.0,38250.0,0.0,0.0,OK
2022,3.11.02,0.0,0.0,0.0,0.0,OK
2023,3.01,277843.0,277843.0,0.0,0.0,OK
2023,3.02,-213644.0,-213644.0,0.0,0.0,OK
2023,3.03,64199.0,64199.0,0.0,0.0,OK
2023,3.04,-24248.0,-24248.0,0.0,0.0,OK
2023,3.04.02,-24503.0,-24503.0,0.0,0.0,OK
2023,3.04.05,-340.0,-340.0,0.0,0.0,OK
2023,3.04.05.02,0.0,,,,SEM_ANUAL
2023,3.04.06,8648.0,8648.0,0.0,0.0,OK
2023,3.05,39951.0,39951.0,0.0,0.0,OK
2023,3.06,4661.0,4661.0,0.0,0.0,OK
2023,3.06.01,5445.0,5445.0,0.0,0.0,OK
2023,3.06.02,-784.0,-784.0,0.0,0.0,OK
2023,3.07,44612.0,44612.0,0.0,0.0,OK
2023,3.08,-7796.0,-7796.0,0.0,0.0,OK
2023,3.09,36816.0,36816.0,0.0,0.0,OK
2023,3.10,-707.0,-707.0,0.0,0.0,OK
2023,3.11,36109.0,36109.0,0.0,0.0,OK
2023,3.11.01,36109.0,36109.0,0.0,0.0,OK
2023,3.11.02,0.0,0.0,0.0,0.0,OK
2024,3.01,301033.0,301033.0,0.0,0.0,OK
2024,3.02,-216746.0,-216746.0,0.0,0.0,OK
2024,3.03,84287.0,84287.0,0.0,0.0,OK
2024,3.04,-28118.0,-28118.0,0.0,0.0,OK
2024,3.04.02,-24816.0,-24816.0,0.0,0.0,OK
2024,3.04.05,-925.0,-925.0,0.0,0.0,OK
2024,3.04.05.02,0.0,,,,SEM_ANUAL
2024,3.04.06,4514.0,4514.0,0.0,0.0,OK
2024,3.05,56169.0,56169.0,0.0,0.0,OK
