cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1799696.000,1813317.000,1813329.000,1683850.000,1664719.000,1599815.000,1576743.000,1475083.000,1654735.000,1534588.000,1515826.000,1300384.000,1238526.000,1132177.000,1127024.000,1045256.000,1102593.000,988620.000,982166.000,980195.000,959648.000,928027.000,855325.000,888756.000,871065.000,855021.000,848505.000,888575.000,939490.000,965327.000,1028389.000,1052586.000,1087083.000,1171491.000,1247367.000,1693084.000,1798507.000,1868279.000,1960094.000,1939546.000,2176901.000,2167632.000,2236049.000,2321403.000,2340065.000,2292594.000,2309129.000,2304687.000,2575050.000,2602797.000,2677370.000,2695849.000,2757738.000,2819800.000,2769246.000,2762600.000,3042594.000,3117847.000,3292028.000,3497705.000
1.01,Ativo Circulante,1481455.000,1455512.000,1483669.000,1337229.000,1219460.000,1396007.000,1373965.000,1294212.000,1368528.000,1267948.000,1223297.000,987819.000,964298.000,841188.000,821805.000,721375.000,812464.000,705354.000,719888.000,729594.000,734987.000,669278.000,605078.000,628450.000,597062.000,565994.000,558884.000,584547.000,669528.000,676203.000,752016.000,851439.000,848848.000,913047.000,1053488.000,1470101.000,1428232.000,1428997.000,1372145.000,1332510.000,1680830.000,1611597.000,1761383.000,1756134.000,1571137.000,1659507.000,1582829.000,1434973.000,1694212.000,1904592.000,1988441.000,2028173.000,2063152.000,2150357.000,2068770.000,2112013.000,2266110.000,2618507.000,2862338.000,3011533.000
1.01.01,Caixa e Equivalentes de Caixa,247883.000,189025.000,188376.000,102563.000,143844.000,150414.000,161414.000,136251.000,155009.000,101964.000,211269.000,95881.000,135805.000,65206.000,117029.000,56187.000,134141.000,54343.000,40307.000,49128.000,42614.000,41522.000,21674.000,28512.000,23757.000,26942.000,27649.000,71185.000,89708.000,98807.000,74391.000,90238.000,99436.000,114932.000,142714.000,531927.000,488058.000,405052.000,367564.000,304632.000,478720.000,386904.000,374546.000,394194.000,387514.000,315649.000,325515.000,226906.000,310361.000,277433.000,277678.000,252507.000,362013.000,311279.000,269600.000,381850.000,449769.000,510552.000,549749.000,578558.000
1.01.02,Aplicações Financeiras,94010.000,104554.000,82966.000,65321.000,63217.000,47216.000,45655.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20382.000,12088.000,17424.000,13493.000
1.01.03,Contas a Receber,847860.000,862023.000,911259.000,899252.000,698913.000,890532.000,875001.000,860766.000,889020.000,879186.000,762448.000,615420.000,542605.000,460534.000,383852.000,330224.000,341644.000,332016.000,346888.000,364370.000,362620.000,320164.000,247471.000,231619.000,218511.000,209496.000,186559.000,194838.000,234425.000,247279.000,287084.000,374315.000,313281.000,367716.000,380334.000,417940.000,394047.000,417316.000,443798.000,421727.000,518171.000,492701.000,488086.000,448190.000,370851.000,318208.000,288546.000,269629.000,437197.000,532180.000,632035.000,687110.000,669071.000,731772.000,754995.000,702619.000,786439.000,860213.000,913712.000,961741.000
1.01.04,Estoques,271010.000,277491.000,268240.000,243095.000,280242.000,278876.000,270139.000,275313.000,299968.000,270779.000,239482.000,261016.000,263538.000,295776.000,301509.000,315398.000,318172.000,309187.000,321453.000,306505.000,318446.000,295586.000,324608.000,357742.000,346246.000,320405.000,334430.000,309488.000,336072.000,318416.000,381655.000,376876.000,425660.000,419424.000,502927.000,494315.000,534064.000,595002.000,547582.000,593615.000,673219.000,722373.000,886668.000,901082.000,801686.000,1015373.000,959141.000,929997.000,940005.000,1087660.000,1071082.000,1079993.000,1021787.000,1099131.000,1034256.000,1010556.000,996887.000,1221515.000,1365818.000,1443431.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,9970.000,11411.000,8219.000,7983.000,7234.000,6789.000,6611.000,5786.000,5139.000,4776.000,4619.000,4526.000,5060.000,4484.000,3887.000,3490.000,3227.000,2874.000,3657.000,3522.000,3602.000,3036.000,3028.000,2720.000,1232.000,908.000,785.000,659.000,681.000,832.000,891.000,902.000,968.000,1000.000,1704.000,1720.000,1843.000,2495.000,2728.000,3075.000,2685.000,2838.000,3037.000,3387.000,2947.000,1719.000,2065.000,2629.000,2609.000,3249.000,3824.000,2892.000,2293.000,2696.000,3249.000,3828.000,2367.000,2534.000,2783.000,863.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,10722.000,11008.000,24609.000,19015.000,26010.000,22180.000,15145.000,16096.000,19392.000,11243.000,5479.000,10976.000,17290.000,15188.000,15528.000,16076.000,15280.000,6934.000,7583.000,6069.000,7705.000,8970.000,8297.000,7857.000,7316.000,8243.000,9461.000,8377.000,8642.000,10869.000,7995.000,9108.000,9503.000,9975.000,25809.000,24199.000,10220.000,9132.000,10473.000,9461.000,8035.000,6781.000,9046.000,9281.000,8139.000,8558.000,7562.000,5812.000,4040.000,4070.000,3822.000,5671.000,7988.000,5479.000,6670.000,13160.000,10266.000,11605.000,12852.000,13447.000
1.02,Ativo Não Circulante,318241.000,357805.000,329660.000,346621.000,445259.000,203808.000,202778.000,180871.000,286207.000,266640.000,292529.000,312565.000,274228.000,290989.000,305219.000,323881.000,290129.000,283266.000,262278.000,250601.000,224661.000,258749.000,250247.000,260306.000,274003.000,289027.000,289621.000,304028.000,269962.000,289124.000,276373.000,201147.000,238235.000,258444.000,193879.000,222983.000,370275.000,439282.000,587949.000,607036.000,496071.000,556035.000,474666.000,565269.000,768928.000,633087.000,726300.000,869714.000,880838.000,698205.000,688929.000,667676.000,694586.000,669443.000,700476.000,650587.000,776484.000,499340.000,429690.000,486172.000
1.02.01,Ativo Realizável a Longo Prazo,297534.000,338112.000,311491.000,329431.000,430120.000,189975.000,190170.000,166858.000,201291.000,189227.000,218465.000,237178.000,204889.000,222664.000,241232.000,265112.000,240004.000,237615.000,217532.000,211171.000,191912.000,227151.000,217637.000,233121.000,244050.000,256172.000,256253.000,270505.000,236192.000,255723.000,242296.000,169311.000,204711.000,215736.000,146318.000,172943.000,299503.000,362379.000,505055.000,524609.000,410830.000,472317.000,388021.000,456525.000,675082.000,545113.000,636086.000,711059.000,679641.000,465583.000,452494.000,418851.000,418516.000,455053.000,505949.000,456063.000,586233.000,324165.000,258651.000,301882.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,70692.000,64114.000,60279.000,61580.000,55866.000,55428.000,52732.000,49306.000,40085.000,36948.000,36876.000,32728.000,24551.000,23655.000,23181.000,17203.000,20116.000,22784.000,23596.000,23986.000,24362.000,24152.000,25542.000,23635.000,24571.000,31276.000,34937.000,36975.000,53421.000,58411.000,64233.000,64109.000,65003.000,61684.000,60057.000,82302.000,64342.000,60593.000,62927.000,63292.000,101544.000,136903.000,143948.000,156919.000,186226.000,156448.000,139030.000,134669.000,129772.000,114924.000,113721.000,115454.000
1.02.03,Imobilizado,17372.000,16470.000,14978.000,14212.000,12334.000,11212.000,10192.000,11887.000,12344.000,11529.000,11983.000,12056.000,11801.000,10839.000,9296.000,7831.000,8390.000,7066.000,6324.000,5246.000,6779.000,6587.000,8098.000,8708.000,8432.000,8712.000,8427.000,8221.000,8111.000,7921.000,7156.000,6922.000,7734.000,10335.000,11523.000,12027.000,16371.000,17380.000,17556.000,17005.000,18770.000,20304.000,24262.000,23889.000,26903.000,24739.000,24243.000,92224.000,96500.000,92148.000,88683.000,87799.000,85940.000,53963.000,51606.000,56159.000,56726.000,56507.000,53565.000,65026.000
1.02.04,Intangível,3335.000,3223.000,3191.000,2978.000,2805.000,2621.000,2416.000,2126.000,1880.000,1770.000,1802.000,1751.000,1672.000,2058.000,1959.000,1632.000,1650.000,1637.000,1546.000,1456.000,1419.000,1356.000,1331.000,1274.000,1405.000,1359.000,1345.000,1316.000,1297.000,1328.000,1379.000,1279.000,1219.000,1097.000,1101.000,1038.000,980.000,1112.000,1105.000,1313.000,1468.000,1730.000,2326.000,2553.000,2601.000,2642.000,3044.000,3139.000,3153.000,3571.000,3804.000,4107.000,3904.000,3979.000,3891.000,3696.000,3753.000,3744.000,3753.000,3810.000
