cd_conta,conta,2021T4,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,4395601.000,5526146.000,5828033.000,6081989.000,6436035.000,6262703.000,6622659.000,6883789.000,7442511.000,8530219.000,8538809.000,8889423.000,9833353.000,11584408.000,12381553.000
1.01,Ativo Circulante,3354305.000,4196889.000,4229096.000,4257219.000,4452988.000,4120910.000,4266606.000,4422008.000,4849333.000,5878986.000,5873922.000,5776390.000,6427671.000,7670246.000,7973507.000
1.01.01,Caixa e Equivalentes de Caixa,351590.000,500991.000,872401.000,724314.000,931919.000,646950.000,914435.000,1028483.000,935238.000,1448705.000,1635124.000,1696858.000,1539875.000,1686809.000,2123163.000
1.01.02,Aplicações Financeiras,739002.000,403780.000,357875.000,154841.000,159988.000,164897.000,231655.000,197451.000,146480.000,185149.000,10793.000,75404.000,115009.000,159980.000,46513.000
1.01.03,Contas a Receber,732464.000,243943.000,357406.000,1098103.000,1067383.000,538166.000,630427.000,1281453.000,1596229.000,798340.000,923921.000,1449036.000,1496356.000,1178506.000,1918515.000
1.01.04,Estoques,1426503.000,2884855.000,2402766.000,2030031.000,2059085.000,2551994.000,2086615.000,1516014.000,1857696.000,3086614.000,2731157.000,1782431.000,2749063.000,3826264.000,2500191.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,63576.000,122568.000,180087.000,134967.000,147690.000,135599.000,180116.000,207054.000,220938.000,213212.000,227302.000,209340.000,160794.000,260740.000,399438.000
1.01.07,Despesas Antecipadas,9662.000,16795.000,3839.000,5955.000,12121.000,13580.000,10132.000,9525.000,11495.000,5447.000,15828.000,8829.000,8006.000,16796.000,78833.000
1.01.08,Outros Ativos Circulantes,31508.000,23957.000,54722.000,109008.000,74802.000,69724.000,213226.000,182028.000,81257.000,141519.000,329797.000,554492.000,358568.000,541151.000,906854.000
1.02,Ativo Não Circulante,1041296.000,1329257.000,1598937.000,1824770.000,1983047.000,2141793.000,2356053.000,2461781.000,2593178.000,2651233.000,2664887.000,3113033.000,3405682.000,3914162.000,4408046.000
1.02.01,Ativo Realizável a Longo Prazo,247709.000,229986.000,280427.000,300853.000,320851.000,340551.000,451889.000,476827.000,462947.000,416403.000,311516.000,391941.000,380993.000,313006.000,266073.000
1.02.02,Investimentos,0.000,46.000,0.000,0.000,0.000,0.000,0.000,0.000,1792.000,5183.000,5105.000,5179.000,4949.000,18592.000,18298.000
1.02.03,Imobilizado,793132.000,1098838.000,1318124.000,1523576.000,1657842.000,1794415.000,1888609.000,1965621.000,2100046.000,2188395.000,2299430.000,2660660.000,2957266.000,3512163.000,4042950.000
1.02.04,Intangível,455.000,387.000,386.000,341.000,4354.000,6827.000,15555.000,19333.000,28393.000,41252.000,48836.000,55253.000,62474.000,70401.000,80725.000
