cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,5453550.0,5357078.0,5709570.0,5751180.0,5440647.0,4871929.0,4965407.0,4769806.0,4723367.0,4714038.0,4572932.0,4609156.0,4343558.0,4792860.0,4955785.0,4908191.0,4902557.0,4895080.0,5196264.0,5124167.0,6317616.0,6043691.0,6401913.0,6113319.0,6481104.0,6213281.0,6471846.0,7510628.0,6955059.0,7896805.0,8968223.0,10243258.0,10027437.0,9812249.0,9988929.0,10284745.0,10743086.0,11704218.0,11316001.0,11510863.0,10693230.0,10129697.0,9867685.0
2.01,Passivo Circulante,1224723.0,1393366.0,1327778.0,1209405.0,1089001.0,844362.0,928007.0,1044562.0,1008256.0,967603.0,923710.0,1290540.0,951641.0,1112084.0,1143087.0,1174763.0,1149054.0,1149281.0,1196699.0,1126495.0,1778830.0,1426034.0,1670782.0,1514058.0,1502533.0,1607636.0,1494666.0,2393102.0,1921247.0,2415995.0,2285441.0,3390345.0,3076148.0,2920097.0,2917335.0,3246790.0,3195923.0,3725288.0,3220884.0,3390939.0,2933392.0,2628533.0,2489601.0
2.01.01,Obrigações Sociais e Trabalhistas,113795.0,121329.0,133062.0,121429.0,107745.0,112803.0,119688.0,109841.0,110061.0,121175.0,142294.0,137735.0,125902.0,149127.0,181432.0,163959.0,155330.0,170267.0,203623.0,168544.0,141744.0,150302.0,177563.0,159924.0,180787.0,204205.0,248520.0,271469.0,267469.0,325253.0,370879.0,426428.0,388973.0,381608.0,424276.0,379107.0,356832.0,372567.0,418480.0,366056.0,334465.0,366162.0,377777.0
2.01.02,Fornecedores,317790.0,288517.0,309021.0,295080.0,303610.0,315768.0,301855.0,302497.0,324696.0,369959.0,389578.0,462465.0,504302.0,550562.0,576245.0,621292.0,677581.0,643790.0,642209.0,627565.0,645820.0,343151.0,538689.0,616194.0,777710.0,869932.0,838137.0,1239828.0,1086964.0,1523747.0,1266979.0,1682446.0,1508278.0,1318083.0,1397277.0,1375774.0,1407774.0,1406553.0,1411298.0,1482620.0,1574755.0,1321633.0,1289374.0
2.01.03,Obrigações Fiscais,40745.0,50594.0,80216.0,89080.0,46702.0,30040.0,33578.0,48762.0,37822.0,21119.0,20373.0,31248.0,33825.0,51204.0,44527.0,39004.0,51035.0,50580.0,59241.0,59423.0,74340.0,31089.0,37645.0,42962.0,82089.0,75498.0,79167.0,72443.0,109148.0,139768.0,183968.0,193548.0,170054.0,114855.0,131970.0,110802.0,102937.0,126600.0,102522.0,114298.0,109116.0,125213.0,105192.0
2.01.04,Empréstimos e Financiamentos,543198.0,752781.0,578228.0,485101.0,442540.0,227648.0,284989.0,328377.0,306567.0,260426.0,200808.0,456015.0,130699.0,146510.0,121618.0,47431.0,28488.0,59003.0,38776.0,62920.0,420833.0,456928.0,550665.0,401924.0,158486.0,177012.0,35204.0,507486.0,241374.0,184673.0,209723.0,284303.0,138681.0,206312.0,219161.0,662933.0,715909.0,1045676.0,654575.0,638123.0,299141.0,195483.0,127036.0
2.01.05,Outras Obrigações,198601.0,168450.0,212167.0,207228.0,168820.0,137436.0,164248.0,234047.0,204663.0,181160.0,154451.0,186830.0,142329.0,199452.0,201474.0,275034.0,204325.0,182675.0,210916.0,167507.0,456514.0,402878.0,329731.0,256038.0,270140.0,247686.0,261348.0,267812.0,184938.0,212198.0,224180.0,779752.0,849425.0,880351.0,726815.0,703576.0,595188.0,754325.0,594096.0,724239.0,547850.0,548061.0,525320.0
2.01.06,Provisões,10594.0,11695.0,15084.0,11487.0,19584.0,20667.0,23649.0,21038.0,24447.0,13764.0,16206.0,16247.0,14584.0,15229.0,17791.0,28043.0,32295.0,42966.0,41934.0,40536.0,39579.0,41686.0,36489.0,37016.0,33321.0,33303.0,32290.0,34064.0,31354.0,30356.0,29712.0,23868.0,20737.0,18888.0,17836.0,14598.0,17283.0,19567.0,39913.0,65603.0,68065.0,71981.0,64902.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,2021364.0,1724652.0,1986522.0,2132110.0,1983522.0,1755992.0,1790810.0,1718112.0,1674632.0,1710255.0,1606592.0,1335298.0,1344098.0,1520873.0,1571680.0,1533465.0,1570533.0,1540472.0,1660571.0,1610269.0,2135566.0,2246868.0,2194229.0,2045804.0,2358149.0,2099168.0,2286430.0,2364312.0,2368216.0,2561448.0,3580503.0,3818553.0,3844180.0,3783418.0,3802317.0,3710113.0,4070363.0,4291703.0,4379049.0,4620577.0,4438058.0,4328262.0,4287219.0
2.02.01,Empréstimos e Financiamentos,1849003.0,1515716.0,1863557.0,2013145.0,1864662.0,1647103.0,1619571.0,1563179.0,1519607.0,1555896.0,1458223.0,1165541.0,1170223.0,1354399.0,1405145.0,1359492.0,1391251.0,1356083.0,1468802.0,1421061.0,1948534.0,2043544.0,1980553.0,1823618.0,2125644.0,1866329.0,2042549.0,2103738.0,2107347.0,2292076.0,3304338.0,3235576.0,3274608.0,3173618.0,3170678.0,3127748.0,3518745.0,3743358.0,3855658.0,4132189.0,3958966.0,3848700.0,3812511.0
2.02.02,Outras Obrigações,36602.0,34870.0,38666.0,39272.0,36675.0,31431.0,30443.0,26358.0,28581.0,31340.0,30389.0,35346.0,37905.0,40515.0,44490.0,37758.0,39464.0,40231.0,43478.0,47360.0,46176.0,55052.0,61264.0,70368.0,77602.0,71905.0,77477.0,77430.0,70992.0,79718.0,84007.0,202703.0,208948.0,211650.0,229040.0,176540.0,181962.0,169566.0,166623.0,161802.0,155276.0,158461.0,144559.0
2.02.03,Tributos Diferidos,55975.0,91096.0,0.0,0.0,0.0,0.0,65975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,79784.0,82970.0,84299.0,79693.0,82185.0,77458.0,74821.0,128575.0,126444.0,123019.0,117980.0,134411.0,135970.0,125959.0,122045.0,136215.0,139818.0,144158.0,148291.0,141848.0,140856.0,148272.0,152412.0,151818.0,154903.0,160934.0,166404.0,183144.0,189877.0,189654.0,192158.0,380274.0,360624.0,398150.0,402599.0,405825.0,369656.0,378779.0,356768.0,326586.0,323816.0,321101.0,330149.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,2207463.0,2239060.0,2395270.0,2409665.0,2368124.0,2271575.0,2246590.0,2007132.0,2040479.0,2036180.0,2042630.0,1983318.0,2047819.0,2159903.0,2241018.0,2199963.0,2182970.0,2205327.0,2338994.0,2387403.0,2403220.0,2370789.0,2536902.0,2553457.0,2620422.0,2506477.0,2690750.0,2753214.0,2665596.0,2919362.0,3102279.0,3034360.0,3107109.0,3108734.0,3269277.0,3327842.0,3476800.0,3687227.0,3716068.0,3499347.0,3321780.0,3172902.0,3090865.0
2.03.01,Capital Social Realizado,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1053760.0,1171062.0,1171062.0,1171062.0,1171062.0,1427111.0,1427111.0,1427111.0,1427111.0,1427111.0,1427111.0
2.03.02,Reservas de Capital,1196.0,2015.0,2974.0,3745.0,4516.0,5197.0,5923.0,7580.0,8654.0,9638.0,10577.0,9172.0,9754.0,10447.0,11082.0,8564.0,8908.0,9313.0,9604.0,7968.0,8411.0,8941.0,9717.0,5245.0,5745.0,6612.0,7761.0,8680.0,9871.0,7353.0,8245.0,9876.0,11103.0,6596.0,9370.0,11177.0,12881.0,9136.0,10494.0,13972.0,16184.0,13647.0,12473.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,604242.0,604242.0,604242.0,733399.0,733399.0,733399.0,690041.0,463666.0,463666.0,413666.0,363666.0,427987.0,427961.0,390487.0,352987.0,547729.0,448020.0,423021.0,423021.0,712423.0,709479.0,709479.0,709479.0,644818.0,645042.0,625551.0,605058.0,792615.0,792615.0,791515.0,759087.0,1177152.0,1132398.0,1017960.0,978374.0,1430040.0,1426948.0,1154633.0,1152819.0,927384.0,873619.0,778887.0,781126.0
2.03.05,Lucros/Prejuízos Acumulados,63817.0,128526.0,88677.0,0.0,20035.0,-4670.0,7063.0,0.0,49742.0,68103.0,146895.0,0.0,59335.0,109920.0,200856.0,0.0,82668.0,144753.0,213160.0,0.0,-205510.0,-286635.0,-156670.0,0.0,-13317.0,19556.0,146017.0,0.0,75111.0,258859.0,457902.0,0.0,143100.0,203896.0,353463.0,0.0,110469.0,127795.0,178793.0,0.0,-11938.0,10838.0,-28450.0
2.03.06,Ajustes de Avaliação Patrimonial,484448.0,450517.0,645617.0,618761.0,556414.0,483889.0,489803.0,482126.0,464657.0,491013.0,467732.0,492399.0,497009.0,595289.0,622333.0,589910.0,589614.0,574480.0,639449.0,613252.0,837080.0,885244.0,920616.0,849634.0,929192.0,800998.0,878154.0,897489.0,734980.0,810952.0,828300.0,799055.0,769172.0,709525.0,756078.0,711974.0,749917.0,961181.0,939443.0,1123113.0,1009081.0,932760.0,889389.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,-741.0,-3077.0,-5015.0,-5483.0,-2424.0,-305.0,930.0,3589.0,5523.0,7371.0,7408.0,7767.0,7723.0,9659.0,9216.0
