data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,39208.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,170254.0
2015-03-31,T1,6.01.01.01,Lucro Líquido do Período antes do IR e CSLL,101256.0
2015-03-31,T1,6.01.01.02,Depreciação e Amortização,62150.0
2015-03-31,T1,6.01.01.03,Amortização do Intangível,0.0
2015-03-31,T1,6.01.01.04,Baixa de Bens do Imobilizado,75.0
2015-03-31,T1,6.01.01.05,Juros Apropriados e Variações Cambiais,-110.0
2015-03-31,T1,6.01.01.06,Provisão para Créditos de Liquidação Duvidosa,639.0
2015-03-31,T1,6.01.01.07,Provisão para Perdas nos Estoques,-1498.0
2015-03-31,T1,6.01.01.08,"Provisão para Contingências, Líquida",8877.0
2015-03-31,T1,6.01.01.09,Outros Passivos de Longo Prazo,0.0
2015-03-31,T1,6.01.01.10,Provisão de Parte do Crédito Prêmio IPI,1620.0
2015-03-31,T1,6.01.01.11,Provisão de Parte do Crédito Eletrobrás,-2755.0
2015-03-31,T1,6.01.01.12,Obrigações de Benefícios de Aposentadoria,0.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-131046.0
2015-03-31,T1,6.01.02.01,Clientes,-53914.0
2015-03-31,T1,6.01.02.02,Estoques,-74152.0
2015-03-31,T1,6.01.02.03,Ferramentais de Clientes,9537.0
2015-03-31,T1,6.01.02.04,Demais Tributos a Recuperar,-17941.0
2015-03-31,T1,6.01.02.05,Títulos a Receber e Outros,12579.0
2015-03-31,T1,6.01.02.06,Depósitos Judiciais e Outros,-958.0
2015-03-31,T1,6.01.02.07,Fornecedores,43310.0
2015-03-31,T1,6.01.02.08,Demais Tributos a Pagar,-12139.0
2015-03-31,T1,6.01.02.09,"Salários, Encargos Sociais e Participações",-6782.0
2015-03-31,T1,6.01.02.10,Adiantamentos de Clientes,12232.0
2015-03-31,T1,6.01.02.11,Títulos a Pagar e Outros,17850.0
2015-03-31,T1,6.01.02.12,Obrigações de Benefícios de Aposentadoria,9635.0
2015-03-31,T1,6.01.02.13,Outros Passivos de Longo Prazo,-5766.0
2015-03-31,T1,6.01.02.14,Juros Pagos,-45080.0
2015-03-31,T1,6.01.02.15,Imposto de Renda e Contribuição Social Pagos,-19457.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-39393.0
2015-03-31,T1,6.02.01,Adições ao Imobilizado,-43133.0
2015-03-31,T1,6.02.02,Venda de Bens do Imobilizado,3740.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-548.0
2015-03-31,T1,6.03.01,Pagamento de Financiamentos e Empréstimos,-19054.0
2015-03-31,T1,6.03.02,Amortização de Financiamento de Impostos,0.0
2015-03-31,T1,6.03.03,Novos Financiamentos e Empréstimos,18506.0
2015-03-31,T1,6.03.04,Juros sobre o Capital e Dividendos Pagos,0.0
2015-03-31,T1,6.03.05,Aplicações Financeiras de Longo Prazo,0.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,90539.0
