codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,8.2462,-6.7141,12.9703,8.6118,11.17,-33.8544,12.2845,6.818,7.6422,40.4674,-14.8376,-13.2459
P_VPA,P/VPA,Valuation,x,0.7533,0.607,1.0032,1.0637,1.305,1.0113,0.9112,1.1423,1.1672,0.9274,0.2412,0.2154
EV_EBITDA,EV/EBITDA,Valuation,x,3.3676,5.62,3.8456,3.3747,3.824,3.7195,3.3617,4.8312,3.9207,4.4081,3.5015,3.4093
EV_EBIT,EV/EBIT,Valuation,x,8.655,-10.321,14.4351,8.2004,10.5432,15.6018,8.8402,6.9765,7.3306,10.0766,24.3979,23.7551
EV_RECEITA,EV/Receita,Valuation,x,0.8138,0.5855,0.7406,0.6282,0.7281,0.7945,0.5432,0.538,0.535,0.5288,0.3036,0.2956
DY,Dividend Yield,Valuation,%,2.3363,2.7441,3.3066,2.9639,2.067,,0.9842,0.7445,1.4777,3.1712,10.669,11.9511
PAYOUT,Payout,Valuation,%,19.2655,18.4243,42.8873,25.5243,23.0885,,12.1677,5.1379,11.1014,124.8403,-365.1121,-365.1121
ROE,ROE,Rentabilidade,%,9.1351,8.2166,7.6884,12.9908,12.1609,3.0849,7.6474,17.3551,16.2526,2.415,-0.6402,-0.6402
ROA,ROA,Rentabilidade,%,3.8275,3.4494,3.2712,5.71,5.5606,1.3564,2.9788,5.6576,5.0371,0.7565,-0.2057,-0.2057
ROIC,ROIC,Rentabilidade,%,6.2858,-4.5228,4.5828,8.4379,7.7639,4.2666,7.0198,10.2699,9.9098,6.2676,1.5263,1.5263
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,24.1652,10.4177,19.2581,18.6158,19.0402,21.3601,16.1595,11.1361,13.645,11.9957,8.6695,8.6695
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.4233,5.5741,4.1391,5.6278,5.4019,1.79,2.865,4.9342,4.5479,0.773,-0.2178,-0.2178
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.1757,2.0276,1.058,0.7712,0.655,0.8801,1.1698,1.7733,1.4167,1.8713,2.6417,2.6417
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.404,0.3426,0.3807,0.3151,0.2697,0.3135,0.4863,0.6624,0.6604,0.6842,0.7412,0.7412
ICJ,ICJ,Endividamento,x,2.159,-0.9799,1.1752,3.2355,2.9672,0.5697,2.035,3.2541,2.0762,1.2365,0.3277,0.3277
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,19.4177,17.3602,28.1221,3.3713,4.2399,18.0596,19.4348,8.0771,17.4885,13.377,3.2246,3.2246
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.2667,2.18,1.6526,2.001,2.3075,2.1993,1.9155,1.8956,1.9055,2.2001,2.4452,2.4452
LIQ_SECA,Liquidez Seca,Liquidez,x,1.9456,1.7878,1.3276,1.5553,1.7268,1.7009,1.2937,1.2444,1.3014,1.552,1.6502,1.6502
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.9503,1.0229,1.0627,1.1193,1.1957,1.1789,1.1003,1.0385,1.0524,1.0508,1.0305,1.0305
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5959,0.6825,0.8041,0.9837,1.0077,0.6964,0.943,0.9937,1.1053,0.9265,1.0137,1.0137
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,69.0252,60.1643,50.6774,42.6155,49.0834,71.7203,78.5816,94.6632,80.3505,91.4817,88.8537,88.8537
PME,PME,Eficiência,dias,50.3337,52.8565,48.7157,46.7487,54.4002,76.0273,89.8932,95.8702,74.8489,90.5386,83.5133,83.5133
NCG_RECEITA,NCG/Receita,Eficiência,%,14.3679,10.9689,11.6507,10.5563,13.4739,18.6156,20.1324,17.7907,17.6783,21.8597,20.7573,20.7573
