data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-497.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,-3691.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,3194.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-74.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-315.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-886.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,1290.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,404.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,-1035.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,-10807.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,9772.0
2015-06-30,T2,6.01.03,Outros,0.0
2015-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-74.0
2015-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-24.0
2015-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-1133.0
2015-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,1290.0
2015-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,157.0
2015-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,25.0
2015-09-30,T3,6.01.01,Caixa Gerado nas Operações,-2308.0
2015-09-30,T3,6.01.02,Variações nos Ativos e Passivos,2333.0
2015-09-30,T3,6.01.03,Outros,0.0
2015-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-713.0
2015-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,641.0
2015-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,-47.0
2015-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,167.0
2015-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,120.0
2016-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,1152.0
2016-03-31,T1,6.01.01,Caixa Gerado nas Operações,1192.0
2016-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-40.0
2016-03-31,T1,6.01.03,Outros,0.0
2016-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-1636.0
2016-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,391.0
2016-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2016-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-93.0
2016-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,293.0
2016-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,200.0
2016-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,3265.0
2016-06-30,T2,6.01.01,Caixa Gerado nas Operações,-12305.0
2016-06-30,T2,6.01.02,Variações nos Ativos e Passivos,15570.0
2016-06-30,T2,6.01.03,Outros,0.0
2016-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-2515.0
2016-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-717.0
2016-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2016-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,33.0
2016-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,293.0
2016-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,326.0
2016-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,5126.0
2016-09-30,T3,6.01.01,Caixa Gerado nas Operações,-14798.0
2016-09-30,T3,6.01.02,Variações nos Ativos e Passivos,19924.0
2016-09-30,T3,6.01.03,Outros,0.0
2016-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-2860.0
2016-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,-2305.0
2016-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2016-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,-39.0
2016-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,293.0
2016-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,254.0
2017-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,5604.0
2017-03-31,T1,6.01.01,Caixa Gerado nas Operações,-4471.0
2017-03-31,T1,6.01.02,Variações nos Ativos e Passivos,10075.0
2017-03-31,T1,6.01.03,Outros,0.0
2017-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-3005.0
2017-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-2814.0
